packet	commit	root	prior_depth	pass2_depth	controlling_files	remaining_scope
WP	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-06-logarithmic-core/window-one-positivity	PASS1_PAPER_REVIEW_WITH_NUMERICAL_HOLD	PAPER_RECHECK_AND_CERTIFICATE_SUBSET_REPLAY	FILES.tsv	original package integrity/rejection suite and separate special-function implementation; no all-window sign
IE	c4fb013692c51d6b26b8a3c33200615af764da82	standalone/2026-09-08-astra-intrinsic-entropy	PASS1_PAPER_REVIEW_WITH_NUMERICAL_HOLD	PAPER_RECHECK_AND_CERTIFICATE_SUBSET_REPLAY	FILES.tsv	full check.py/test package not run; HC rate stays inherited; no J=0
RC	31a35a90b0b924dc98a2c89c463fb59577f45a4e	standalone/2026-09-08-rational-residual-capture	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	three advertised finite-support minimum certificates not replayed; parent normalization/precedessor sequence remains in queue
ADG	e4a486d3fd4009e3722e9e93f35710b834fbd195	standalone/2026-09-08-astra-divisor-gap	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	author package suite not run; minor PR prose count should be eleven primes; full arithmetic-to-Weil adapter remains open
DPG	3a82b80da82edbcd65d4538418a3d51d6030f058	standalone/2026-09-08-astra-divisor-poincare	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	author certificates/suite not replayed; no rectangular-to-knapsack spectral substitution
DC10	6b309554bf1e2f83a83325cd54038f5a0b9b0014	standalone/2026-09-05-astra-theta-count-closure/divisor-cusp-pass10	PREINTEGRATION_HELD_DEPENDENCY	SELECTED_PAPER_RECONSTRUCTION	FILES.tsv	full cross-source interface and remaining old #790 layers not rereviewed; means/cofinal capture remain open
FR	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-future-realization	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	fixed-horizon ideal and compact numerical certificate still requires complete replay
FC	2d683186cb3dd4f304159d8176215ceae8ac59fb	standalone/2026-09-07-astra-feedback-and-conditioning	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	author code not replayed; no varying-controller output bound
ST	dc7babb830cb696810fb68bd74f6a33459f5f921	standalone/2026-09-07-astra-source-stability	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	author code not replayed; constants not practical cost certificates; no intrinsic-floor bound
OEC	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-logarithmic-domain-transfer	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	ABEL_AND_ATTEMPT.md and whole author package not read/replayed; no critical upper bound
EPD	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-endpoint-prime-discrepancy	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	ATTEMPT.md and author package not read/replayed; no entropy/discrepancy upper bound
PDS	946dedfa3f6ec2d74f3f0f00f9ca511abf9652d7	standalone/2026-09-07-astra-prime-discrepancy	PASS1_TRIAGE_ONLY	MAIN_PAPER_RECONSTRUCTION_WITH_BOUNDED_REVIEWER_CHECKS	FILES.tsv	ATTEMPT_AND_REVIEW.md and author package not read/replayed; entropy-feedback sibling remains unread
