semantic_id	lean_declaration	exact_source_claim	present	independent_build	statement_verdict	conditionality	trust_verdict	evidence	required_fix	integration_recommendation	notes
CONSUMER.MELLIN.TWO_ROW	RiemannFormal.Arithmetic.FixedRows.rows23_no_common_zero	PR #652 24ab6455... L-99602	YES	BUILD_FAILURE	FORMALLY_VERIFIED	UNCONDITIONAL_FINITE_ALGEBRA	STATIC_CLEAN	Exact elimination gives -3(a-1)(a-2); light symbolic replay passed.	Add Re z adapter and independent Lean build.	ACCEPT_AFTER_BUILD	No analytic producer is proved.
CONSUMER.MELLIN.FIVE_THREE	RiemannFormal.Arithmetic.FixedRows.fiveThree_nonzero	PR #649 433fd366... L-99261	YES	BUILD_FAILURE	FORMALLY_VERIFIED	UNCONDITIONAL_FINITE_ALGEBRA	STATIC_CLEAN	5*P2+3*P3 is normalized correctly and factors exactly; replay passed.	Add exact detector linkage/source lock and build.	ACCEPT_AFTER_BUILD	The theorem is numerator algebra, not eventual positivity.
ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	RiemannFormal.Arithmetic.SourceIdentities.firstOwner_eq_nativeEuler	PR #652 24ab6455... L-99601	YES	BUILD_FAILURE	STATEMENT_MISMATCH	UNCONDITIONAL_GENERIC_IDENTITY	STATIC_CLEAN	Actual theorem is a recursion on List (R×R) proving a scalar product identity.	Rename and formalize labelled parity/future-prime shift-algebra identity.	DO_NOT_MAP_TO_CANONICAL	Missing L-99601.1-.7 data and quantifiers.
ARITH.SHARP.ALPHA_NATIVE_PROMOTION	RiemannFormal.Arithmetic.SourceIdentities.r_vs_two_r_sq_witness	PR #652 24ab6455... R-99600	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	LOCAL_REFUTATION	STATIC_CLEAN	Exact r versus 2r^2 separator and general 0<r<1/2 inequality.	Tie r to prime activity and contracted source definitions.	ACCEPT_LOCAL_ONLY	Does not by itself formalize the complete source tree.
ARITH.SHARP.COMPACT_HALL_RN	RiemannFormal.Arithmetic.SourceIdentities.rnRatio_cocycle	PR #652 24ab6455... L-99600	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	GENERIC_RN_COCYCLE_ONLY	STATIC_CLEAN	Generic projective ratio cocycle is exact.	Do not promote to the combined compact-Hall claim.	ACCEPT_LOCAL_ONLY	B.tsv correctly leaves the combined claim blocked.
ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.rn_raw_cutoff_witness	PR #576 0f6ea6ea... R-97400 plus PR #667	YES	BUILD_FAILURE	STATEMENT_MISMATCH	TOY_NUMERIC_WITNESS	STATIC_CLEAN	The statement is only an abstract ratio at 1 and 2.	Formalize actual raw/RN definitions and (16,4,4) fixture.	REJECT_CANONICAL_MAPPING	Name and registry prose overstate scope.
ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.normalized_p_inv_ne_p_inv_sqrt_witness	PR #667 normalization correction	YES	BUILD_FAILURE	STATEMENT_MISMATCH	TOY_NUMERIC_WITNESS	STATIC_CLEAN	The statement is 1/4 != 1/2.	Quantify prime p and normalization maps.	REJECT_CANONICAL_MAPPING	No source operator appears.
ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.response_capacity_coefficients_differ	reviewed response/capacity firewall	YES	BUILD_FAILURE	FORMALLY_VERIFIED_WITH_FIXES	LOCAL_TYPE_WITNESS	STATIC_CLEAN	Different indexed types and coefficient-1 toy witness.	State public-constructor reconstruction limitation.	ACCEPT_LOCAL_ONLY	Direct role substitution is blocked; provenance laundering is not.
ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.eta_prime_pow	PR #696 f4016db5... L-102010.1	YES	BUILD_FAILURE	FORMALLY_VERIFIED	UNCONDITIONAL_ARITHMETIC_FUNCTION	STATIC_CLEAN	Exact central-binomial coefficient at every prime power.	Independent build.	ACCEPT_AFTER_BUILD	No analytic convergence claim is made.
ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.eta_mul_eta	PR #696 f4016db5... L-102010.2	YES	BUILD_FAILURE	FORMALLY_VERIFIED	UNCONDITIONAL_DIRICHLET_CONVOLUTION	STATIC_CLEAN	Exact arithmetic-function convolution; 500 independent rational cases passed.	Independent build.	ACCEPT_AFTER_BUILD	ArithmeticFunction.zeta denotes the constant-one positive-integer function.
