case_id	pr	exact_target_or_review_ref	negative_record	propagated_shorthand	correct_classification	surviving_scope	audit_confidence
RV26001-01	59	401e843f3c4c1e0021487537a512aab9413cd15f	integration/2026-08-01/ledger/batch-B.tsv	REJECTED mathematical contribution	LIFECYCLE_REJECTED__NO_MATHEMATICAL_VERDICT	obsolete matched-pole trigger branch; theorem content belongs to parent artifacts	HIGH
RV26001-02	63	a379b14d4d8cbfd39529206617e28ebafefa353b	integration/2026-08-01/ledger/batch-B.tsv	REJECTED mathematical contribution	LIFECYCLE_REJECTED__NO_MATHEMATICAL_VERDICT	trigger-only fifty-shard workflow; no theorem was contradicted	HIGH
RV26001-03	135	fb3085e4aca61592ef1c86f36ba3581415ba665d	integration/2026-08-01/ledger/batch-G.tsv	REJECTED mathematical contribution	LIFECYCLE_REJECTED__NO_MATHEMATICAL_VERDICT	obsolete PA1 provenance contract; corrected workflow is a separate object	HIGH
RV26001-04	165	2e16425d5865789db113ff37709a9565f022f881	R-15407	Farey local-second-moment claim refuted	DERIVATION_REJECTED__STATEMENT_OPEN	critical analytic-totient second-moment estimate and its conditional implication to RH remain open; gcd-chain and cotangent derivation fail	HIGH
RV26001-05	243	225c5e3d231ac23b6f487cd43e0dc89d48d3db1c	R-9510 at 6485604bb08acdfbae46b227c3ab61c3c5f073a2	carry-profile positivity refuted	DERIVATION_REJECTED__STATEMENT_OPEN	positive-Bernstein/conditional-Hankel middle line fails; pointwise carry-profile positivity is not disproved	HIGH
RV26001-06	231	f32aae44411ec1b635b32490f2836efde58e4466	R-22802	Farey/Mobius critical-cell route refuted	SURROGATE_REFUTED__SPECIFIC_STATEMENT_OPEN	uniform arbitrary-vector cluster norm is false; the source-specific Mobius scalar estimate remains open	HIGH
RV26001-07	219	4a472026d140c3c2d8fdd80da12a36fdb4151d48	R-21903	SH(L) theorem refuted	CONDITIONAL_THEOREM_SURVIVES__CONSTRUCTION_BLOCKED	SH(L) implies RH remains the retained conditional implication; globally positive-Hankel cellwise interpolation cannot construct SH(L)	HIGH
RV26001-08	229	2fc74c11b9929f694d8c13d060c9d55b99dc9621	R-23001 and L-23004	conditional-Hankel method refuted	INSTANCE_REFUTED__ABSTRACT_CRITERION_SURVIVES	the exact compact stop-loss adjoint has a negative terminal atom; the zero-mass conditional-Hankel criterion remains valid	HIGH
RV26001-09	239	556e45a02d437a96c06d991bf140cb184dcf1803	R-23702	balanced Mobius contraction refuted	SURROGATE_REFUTED__SPECIFIC_STATEMENT_OPEN	absolute bounded face-rank and C0/K counting are false; source-specific signed opposite-parity contraction remains open	HIGH
RV26001-10	254	058c95c04a24e3bc7d2bd6bb9a94568187199f30	R-25301	parabolic carry correction refuted	SURROGATE_REFUTED__SPECIFIC_STATEMENT_OPEN	nonnegative monotone Divisibility Cover costs Omega(sqrt X); signed dipole transport into existing slack remains open	HIGH
RV26001-11	173	7085396b3c7e033d50ac4c031c5acdbe9b7814a6	R-16001	CvS coefficient programme unsatisfiable	SURROGATE_REFUTED__ACTUAL_TARGET_OPEN	sampled-Xi hard-window surrogate has an empirical/partial scale obstruction; actual CvS Fourier-coefficient target and cofinal incompatibility remain open	HIGH
RV26001-12	87	a374379b7adcac44f16462b9f75238c81a45b11d	R-5602	zero-count/gap programme refuted	OVERSTRONG_IMPLICATION_REFUTED__FINITE_CRITERION_SURVIVES	counting exclusivity and sign-change deficit implications are false; exact slab discrepancy and gap-or-collision criteria remain proposed and unrefuted	HIGH
RV26001-13	163	c3ebadec228d79b802af89c8a01759c3290c32bf	R-15601	capacity-saturation route refuted	SURROGATE_REFUTED__WEIGHTED_TARGET_OPEN	dimension-only threshold-index comparison for unrelated packets is false; leverage/weighted trace-tail capacity criterion remains the correct target	HIGH
RV26001-14	192	6c1a3a73de6b020aabaf1dff6cda9b8c7129af3f	R-18901	ambient complement cannot be closed	UNAUGMENTED_INSTANCE_REFUTED__AUGMENTED_STATEMENT_SURVIVES	old packet U0 need not capture the deficit; canonical finite high-deficit augmentation gives the declared complement floor at fixed support	HIGH
RV26001-15	206	ff659984de0ab0c397ebefad393bc585c9007bc2	R-20501	Mobius-tail/Schur route refuted	SUFFICIENT_CONDITION_NOT_NECESSARY__JOINT_TARGET_SURVIVES	absolute tail smallness is overstrong; only the negative part of the joint Schur-corrected residual is load-bearing	HIGH
RV26001-16	208	8a573d0245411313326223d8afb792e95eeef073	R-20701	support averaging / square-support route refuted	SELECTION_SHORTCUT_REFUTED__EXACT_IDENTITIES_SURVIVE	averaged positivity cannot select a positive support; centered-prime convolution and square-screw principal-coordinate identities survive	HIGH
RV26001-17	183	ceebb12b121695f2125152b8963238b1a9f0008e	R-17201	Bohr/notch mean-square route refuted	LIMIT_TO_FINITE_TRANSFER_REFUTED__FINITE_METHOD_SURVIVES	limiting Bohr variance is not a finite-block bound; exact finite sinc/Gram ceilings and certified notch moats remain separate results	HIGH
RV26001-18	199	4158e0d3e7f91829a6c545308605ea8177023aa3	R-19701	Schur-complement route refuted	REPAIR_MECHANISM_REFUTED__FINAL_EQUIVALENCE_SURVIVES	positive-complement elimination cannot repair a negative kernel; the Schur-corrected kernel floor is instead the final RH-equivalent sign target	HIGH
