sequence	scope	working_directory	command	exit_code	classification	log	first_result
001	exact-head	riemann-formal-c	git status --porcelain=v1 --untracked-files=all	0	PASS	raw/C/000_freeze_metadata.log	Detached worktree initially clean
002	exact-head	riemann-formal-c	git rev-parse HEAD	0	PASS	raw/C/000_freeze_metadata.log	b20ee9b3678e5d8fa32b04b156bc02cec782a97b
003	exact-head	riemann-formal-c	git rev-parse HEAD^{tree}	0	PASS	raw/C/000_freeze_metadata.log	ed817c346294758ae1db773edba78d4527bace54
004	exact-head	riemann-formal-c	git rev-parse HEAD^	0	PASS	raw/C/000_freeze_metadata.log	4863c31dd497ffe69ea400fe29275decf4cb5d29
005	exact-head	riemann-formal-c	git rev-parse refs/remotes/origin/formal/030-xi-operator-qa	0	PASS	raw/C/000_freeze_metadata.log	Remote source branch exactly matches HEAD
006	exact-head	riemann-formal-c	git show HEAD:formal/lean-toolchain	0	PASS	raw/C/000_freeze_metadata.log	leanprover/lean4:v4.33.0-rc2
007	exact-head	riemann-formal-c	git rev-parse HEAD:formal/lean-toolchain	0	PASS	raw/C/000_freeze_metadata.log	Blob c084c7fbe586b0276863b66f16d2955a43bc3fc6
008	exact-head	riemann-formal-c	git rev-parse HEAD:formal/lake-manifest.json	0	PASS	raw/C/000_freeze_metadata.log	Blob f9c02d809750cf37e2ae9e19ac635f017e9efe82
009	exact-head	riemann-formal-c	bash -lc "git show HEAD:formal/lean-toolchain | sha256sum"	0	PASS	raw/C/000_freeze_metadata.log	Committed bytes SHA-256 0d3c76ccd8772d8bcbe207241421a760312b71a6aa82f84194391fdf5cb026d6
010	exact-head	riemann-formal-c	bash -lc "git show HEAD:formal/lake-manifest.json | sha256sum"	0	PASS	raw/C/000_freeze_metadata.log	Committed bytes SHA-256 6be307e0de2294f99ce68e80903cd4cc88e77b6797c853c67be5cd9f6a1db453
011	exact-head	riemann-formal-c	git merge-base --is-ancestor 573eb6aa42c3d9469462c91c6b3ddfb8ab36d77f HEAD	0	PASS	raw/C/068_bootstrap_ancestry.log	Expected bootstrap is exact merge base
012	toolchain	riemann-formal-c/formal	elan --version	0	PASS	raw/C/026_toolchain_versions.log	elan 4.2.1
013	toolchain	riemann-formal-c/formal	lean --version	0	PASS	raw/C/026_toolchain_versions.log	Lean 4.33.0-rc2 commit d8b18978322de05a8f3dba51ef03cf5461676c17
014	toolchain	riemann-formal-c/formal	lake --version	0	PASS	raw/C/026_toolchain_versions.log	Lake 5.0.0-src+d8b1897
020	dependency	riemann-formal-c/formal	for each lake-manifest package: git -C .lake/packages/<name> rev-parse HEAD	0	PASS	raw/C/025_dependency_checkout_verification.log	All 10 package heads exactly match committed manifest; all tracked package statuses clean
030	C-retained-suite-initial	riemann-formal-c/formal	bash scripts/run_c_repair_validation.sh	1	DEPENDENCY_FAILURE	raw/C/001_run_c_repair_validation.log	First formal command failed in cache get on Windows sharing error 32 renaming global .ltar.part
031	coordination	riemann-formal-c/formal	lake exe cache get	NA	NOT_COMPLETED	raw/C/002a_lake_exe_cache_get_coordinator_interrupted.log	Started immediately before serialization instruction and interrupted before output or process exit
032	C-retained-suite-recovery	riemann-formal-c/formal	bash scripts/run_c_repair_validation.sh	1	DEPENDENCY_FAILURE	raw/C/036_run_c_repair_validation_recovery.log	Cache completed; first build cause was transient unreadable Mathlib artifacts, followed by persistent package collision and local source failures
033	common	riemann-formal-c/formal	lake exe cache get	0	PASS	raw/C/038_lake_exe_cache_get_common.log	Serialized no-op: no files to download; all 8681 files already decompressed
034	common	riemann-formal-c/formal	lake build	1	LEAN_COMPILE_FAILURE	raw/C/039_lake_build_common.log	Persistent duplicate-library resolution to missing Zeta23 comparator path plus independent local compile errors in ChallengeDeps.XiPickOrderThreeConditional, ReciprocalConcavity, and FiniteMatrix
035	common	riemann-formal-c/formal	python3 scripts/generate_registry.py	0	PASS	raw/C/040_generate_registry.log	Generated 139 claims and 12 delta rows; Git tree remained clean
036	common	riemann-formal-c/formal	python3 scripts/validate_registry.py	0	PASS	raw/C/041_validate_registry.log	Registry validation passed
037	common	riemann-formal-c/formal	python3 scripts/verify_source_locks.py	0	PASS	raw/C/042_verify_source_locks.log	Generic committed source locks passed for 139 claims
038	common	riemann-formal-c/formal	python3 scripts/validate_blueprint.py	0	PASS	raw/C/043_validate_blueprint.log	Blueprint scaffold passed with 3 fragments
039	common	riemann-formal-c/formal	bash scripts/check_no_sorry.sh	1	LEAN_COMPILE_FAILURE	raw/C/044_check_no_sorry.log	Static trust scans passed; embedded comparator build failed on package collision and local Lean errors, so this is not a no-sorry violation
040	common	riemann-formal-c/formal	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	raw/C/045_check_axioms.log	Generated 17-declaration audit but RiemannFormal.olean does not exist after failed build
050	C-comparator	riemann-formal-c/formal	lake build Challenge.XiPickThreeNode	1	COMPARATOR_FAILURE	raw/C/050_lake_build_bare_Challenge_XiPickThreeNode.log	Missing Zeta23 comparator path and local ChallengeDeps definitions depend on noncomputable real division
051	C-comparator	riemann-formal-c/formal	lake build Solution.XiPickThreeNode	1	COMPARATOR_FAILURE	raw/C/051_lake_build_bare_Solution_XiPickThreeNode.log	Same package collision and local source failure; FiniteMatrix also fails
