semantic_id	family	final_verdict	integration_action	destination	required_fix	source_pr	source_head_sha	source_path	priority	notes
RH	terminal	OPEN_RH_EQUIVALENT	STATUS_ONLY	STATUS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/INTEGRATION_READY.md	STATUS	STATUS_ONLY
CONSUMER.MELLIN.FIXED_ROW	mellin_landau	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/mellin_landau/	State z=s+1/2, finite abscissa, positive-real removability, and multiplicity.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	P1	CANONICALIZE_WITH_FIXES
CONSUMER.MELLIN.TWO_ROW	mellin_landau	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/mellin_landau/		652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	P1	CANONICALIZE
CONSUMER.MELLIN.FIVE_THREE	mellin_landau	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/mellin_landau/		649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	P1	CANONICALIZE
CONSUMER.MELLIN.ANNULAR_ROWS23	mellin_landau	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/mellin_landau/	Use the corrected P_Lambda normalization and split the two source files.	547	d60f93b0e207a83a283fb229eb988aa4c404765d	claims/lemmas/L-96010-fixed-annular-row-reciprocal-zeta-mellin-transform.md|claims/lemmas/L-96011-exact-two-row-open-strip-noncancellation.md	P1	CANONICALIZE_WITH_FIXES
CONSUMER.MELLIN.ZERO_SAFE_BOX	mellin_landau	VERIFIED	EXTRACT_CANONICAL_PACKET	research/integrated/mellin_landau/		653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	P1	CANONICALIZE
CONSUMER.MELLIN.SPECIALIZED_LANDAU	mellin_landau	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/mellin_landau/	State local integrability, nonzero density, finite abscissa, and functional-equation reflection.	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	P1	CANONICALIZE_WITH_FIXES
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	mellin_landau	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/mellin_landau/	Keep source, row, and signed defect fixed; do not relabel the defect as positive source.	650	3f9e80f09fe1f595927ea7dce6fb49ac68c5c21b	claims/lemmas/L-99282-holomorphic-perturbation-landau-transfer.md	P1	CANONICALIZE_WITH_FIXES
API.MELLIN.SUBPOWER_NEGATIVE_MASS	mellin_landau	VERIFIED_WITH_FIXES	EXTRACT_AFTER_FIXES	research/integrated/mellin_landau/	Represent the arithmetic estimate as a separate open premise.	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md|claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	P1	CANONICALIZE_WITH_FIXES
CONSUMER.MELLIN.MOVING_ROW_SELECTION	mellin_landau	GAP_BLOCKED	ARCHIVE_OR_EXCLUDE	HISTORY.md	Replace with fixed rows 2,3 or the fixed 5:3 scalar.	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	P2	ARCHIVE_WITH_GAP
OPEN.ARITH.ROWS23_NATIVE	mellin_landau	OPEN_SUFFICIENT_FOR_RH	REGISTER_OPEN_OR_BLOCKED	OPEN_CUTS.md		0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN	REGISTER_OPEN_CUT
