sequence	source_head	path	merge_result	classification	mechanical_resolution	verification
1	A ae0887b8125601c98dc809cffe01c7f1c78bb998	.	CLEAN_MERGE	lane application	Applied A first from exact bootstrap; no conflict.	A merge commit tree equals exact A tree 2a0482258f6063d9be314042382203e64cb09fcc.
2	B 6d42bbc31c81e7d6a03909e205b56f30f6f7b49a	formal/comparator/PrintAxioms/RH.lean	CONTENT_CONFLICT	axiom topic coverage	Retained A's Mellin and conditional-RH print superset; B arithmetic prints remain in their dedicated module.	Final blob equals A blob 1be898da684787f9f9e8ca497a2b753d9f2b3c34.
3	B 6d42bbc31c81e7d6a03909e205b56f30f6f7b49a	formal/scripts/audit_axiom_output.py	CONTENT_CONFLICT	parser implementation	Selected B's strict CRLF-normalizing multiline fail-closed parser.	Final blob equals B blob 3b32ad286c4254f29c109ed6a89ced97c8742940.
4	B 6d42bbc31c81e7d6a03909e205b56f30f6f7b49a	formal/scripts/axiom_print_modules.txt	ADD_ADD_CONFLICT	manifest coverage	Unioned root, Analysis, Arithmetic, Mellin, ArithmeticFixedRows, and RH print modules without duplicates.	Fail-closed manifest/discovery set had 6 paths after B.
5	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/comparator/PrintAxioms/RH.lean	CONTENT_CONFLICT	axiom topic coverage	Retained A's RH print superset; C prints remain in dedicated modules.	Final blob equals A blob 1be898da684787f9f9e8ca497a2b753d9f2b3c34.
6	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/scripts/audit_axiom_output.py	CONTENT_CONFLICT	parser implementation	Retained the selected exact B parser; did not replace it with C's branch variant.	Final blob equals B blob 3b32ad286c4254f29c109ed6a89ced97c8742940.
7	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/scripts/axiom_print_modules.txt	ADD_ADD_CONFLICT	manifest coverage	Unioned every committed A/B/C axiom-print module; deduplicated RH and root audit.	Final manifest exactly matches all 9 discovered committed print modules.
8	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/scripts/check_axioms.sh	CONTENT_CONFLICT	fail-closed runner aggregation	Retained manifest discovery, C generated-registry audit, low concurrency, and output retention; covered nonempty declarations from A.tsv, B.tsv, C.tsv, and C_API.tsv.	33 unique branch-owned registry declarations; exact allowlist remains propext, Classical.choice, Quot.sound.
9	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/RiemannFormal/AxiomAudit.lean	AUTO_MERGED	aggregate axiom coverage	Accepted clean line union of bootstrap/A and C print sections; B remains in Arithmetic/AxiomAudit.lean.	Root audit contains bootstrap, A analytic/upstream, and C operator/refutation sections.
10	A+B+C	formal/comparator/README.md	AUTO_MERGED_PLUS_COVERAGE	command aggregation	Retained shared comparator instructions and listed the fail-closed audit plus all six dedicated comparator print modules.	No mathematical declaration or trusted import changed.
11	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/RiemannFormal/Operator/XiExternalInputs.lean	OWNER_APPROVED_INPUT	public statement shape	Accepted C head's approved Nonempty (ActualXiReserveAllocation inputs.grouped) proposition unchanged.	No integration-time theorem-type edit.
12	C 381a5a98ade7c6bad7122e5182c2fc07332dc747	formal/RiemannFormal/Operator/XiSourceSpecific.lean	OWNER_APPROVED_INPUT	public statement shape	Accepted C head's approved Nonempty (ActualXiReserveAllocation grouped) proposition unchanged.	No integration-time theorem-type edit.
13	A ae0887b8125601c98dc809cffe01c7f1c78bb998	formal/RiemannFormal/Analysis.lean	POST_MERGE_TRUST_CLOSURE_CHECK	aggregate import boundary	Removed only the aggregate import of Analysis.ComparatorSmoke because that standalone smoke imports RiemannComparatorSolution.MellinAPI; retained the smoke file for explicit validation.	Trusted aggregate closure contains no Solution import; no declaration changed.
14	A+B+C	formal/scripts/audit_axiom_output.py; formal/scripts/test_audit_axiom_output.py	POST_MERGE_FAIL_CLOSED_CHECK	audit parser hardening	Added exact expected/seen output-set equality to B's multiline/CRLF parser and a standard-library regression suite.	Six tests pass, including unexpected, missing, sorryAx, forbidden-axiom, and unterminated-payload rejection.
15	A+B+C	formal/scripts/check_no_sorry.sh	POST_MERGE_FAIL_CLOSED_CHECK	comparator placeholder coverage	Generalized the boundary loop to every direct uniquely prefixed Challenge topic; each must have one placeholder and matching clean ChallengeDeps/Solution modules.	Exactly 7 topics; each Challenge has one placeholder and every paired dependency/solution source has none.
16	A+B	formal/registry/deltas/A.tsv; formal/registry/deltas/B.tsv	POST_BUILD_REGISTRY_FAILURE	duplicate semantic owner reservation	Retained A's nonempty authoritative API.MELLIN.SUBPOWER_NEGATIVE_MASS row verbatim and removed only B's blank/deferred duplicate reservation; regenerated the normal map.	A remains PROVED_CONDITIONAL; all other A/B rows unchanged; 139 unique canonical IDs.
