packet_id	first_commit	last_commit	family	principal_files	claim_ids	existing_review_coverage	controlling_later_review	strongest_surviving_result	first_broken_arrow	final_verdict	integration_action	notes	commit_count	cumulative_end_index
DM-001	de605b718682b588dfad6736235347923f194dab	b812a249d463772dc66e94d252449ed1529c5923	Brownian reviewed-state synchronization	integration/2026-08-11/CUTOFF.yaml; integration/2026-08-11/README.md; integration/2026-08-11/CANONICAL_EXTRACTION_PLAN.md; integration/2026-08-11/NEXT_INTEGRATOR.md; integration/2026-08-11/POST_CUTOFF_CLAIM_RESOLUTIONS.tsv; integration/2026-08-11/POST_CUTOFF_REFUTATION_EVIDENCE.tsv	none; metadata only	Merged PR #388 and follow-up reviewed Brownian front-door state	August 11 integration and Brownian review line; Reviewer B PR #708 imports the Bohr-instability disposition	No new theorem; synchronizes the reviewed Brownian refutations and surviving finite/local results	not applicable	METADATA_ONLY	Retain as historical provenance; do not count as a new scientific packet	Seven consecutive commits; no new research claim.	7	7
DM-002A	4996719fc2d804f3ae2416930f25045880c60557	5350f8a81702e4cd6ff9f7b0cd59c6a523dfcffe	Cauchy/Jordan positive-source and scattering foundation	claims/lemmas/L-91014-generalized-jordan-cocycle-divisor-isometry.md through claims/lemmas/L-91020-boundary-jordan-channel-is-cp-and-negative-mass-contracting.md; experiments/X-91014-source-scattering-assembly/	L-91014; L-91015; L-91016; L-91017; L-91018; L-91019; L-91020	Family-level overlap in Reviewer B PR #708; direct lineage hostile correction in PR #400	PR #400 at 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact positive divisor isometry and logarithmic coproduct; positive tail/Hankel Gram; explicit all-pass signature; exact finite-jet and CP correlation-channel identities	No lossless source-to-completed-boundary physical intertwiner; forward CP contraction cannot be reversed	VERIFIED_WITH_FIXES	Canonicalize selected local operator identities with explicit domain, Fourier-sign and non-conclusion scope	The source/scattering algebra is valuable standalone mathematics, but does not supply the RH-bearing output domination.	9	16
DM-002B	a7db1ffcd74211aa949606b22ca77d9fe4e0a42b	3fed211942d51d2c01a19bf89aa502ed10a4b811	Cauchy normalized recurrence, heat band, Hardy factor and prime semigroup	claims/lemmas/L-91021-unconditional-large-scale-cauchy-gate.md through claims/lemmas/L-91029-positive-jordan-channel-is-a-compound-poisson-prime-semigroup.md; claims/theorems/T-91005-normalized-sixteenfold-cauchy-recurrence-is-rh-equivalent.md	L-91021; L-91022; L-91023; L-91024; L-91025; L-91026; L-91027; L-91028; L-91029; T-91005	Reviewer B PR #708 operator-family overlap; PR #400 direct correction; PRs #403-#404 later Hardy/model-space descendants	PR #400 at 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	Exact sixteenfold rational storage and scalar Hardy factor; completed xi scattering cocycle; safe-line compound-Poisson carré du champ; unconditional high-scale terminal recurrence	Prime-side/completed-boundary positivity of the residual Hardy square; T-91005 itself is RH-equivalent	VERIFIED_WITH_FIXES	Extract exact local theorems; register T-91005 as OPEN_RH_EQUIVALENT rather than progress	L-91024 global complete monotonicity is conditional on RH. L-91021/L-91028 need explicit uniform-asymptotic hypotheses and effective-range wording.	10	26
DM-002C	b837c12199dd407116f604ce6c938039d1a76da4	b837c12199dd407116f604ce6c938039d1a76da4	Cauchy-Jordan Hardy intertwiner proposal wrapper	claims/theorems/T-91006-cauchy-jordan-hardy-intertwiner-full-rh-proposal.md	T-91006; CJHI	Directly named and corrected by PR #400; family reviewed in Reviewer B PR #708	PR #400 at 7dc9fec9eb5fab4ee9340ddbc5a52e36a6ab617e	A precise formulation of the missing source-to-Hardy first-chaos domination	Completed safe-source carré du champ to lossless boundary Hardy Gram with coefficient-one return	OPEN_RH_EQUIVALENT	Archive the full-proof wrapper; retain CJHI only as an explicit open interface, superseded in wording by PR #400 first-chaos domination	The file itself says the intertwiner is open. It does not establish RH.	1	27
DM-003A	1aa5878d42cedf8a7bda0a8200582595bd51ee90	af2bec38df64bc18086de0c93d256149c07d86ac	P79 finite low-prefix Hall and target-flow factor-54 proposal	claims/lemmas/L-91347-p79-finite-low-prefix-target-and-score-hall.md; claims/lemmas/L-91348-shifted-eight-target-flow-has-bounded-score-debt.md; claims/theorems/T-91303-p79-target-flow-factor54-resolution-proposal.md; experiments/X-91126-p79-finite-low-prefix-hall/	L-91347; L-91348; T-91303	Native-source family overlap in Reviewer A PR #709; direct corrections R-91308/R-91309 on main; PR #431 later controls the direct-row successor	R-91308 and R-91309 on main; PR #431 at 78a622e32ef36e587099bb95cb791461b75d26bf	Conditional scalar target/score Hall-flow algebra and bounded scalar debt once true causal Hall capacities are supplied	Original finite-cell proof was invalid; target-exact Hall residual does not type the arithmetic row	SUPERSEDED	Exclude T-91303 and the original checker; retain only abstract conditional Hall-flow algebra under the later causal replacement	The theorem conclusion was later re-attacked with a different causal checker; this packet is not controlling.	5	32
DM-003B	a1c243935e18b78af5959ed7e714b06764fdc9d5	d688cc7cb73eea9e50f10352a50516ab2c4f4625	Corrected-cell and direct-Euler P79 factor-54 proposal	claims/refutations/R-91308-l91347-global-convex-lower-bound-used-outside-cell.md; claims/lemmas/L-91350-p79-low-prefix-hall-corrected-cell-derivative-certificate.md; claims/refutations/R-91309-target-hall-residual-does-not-automatically-type-the-arithmetic-row.md; claims/lemmas/L-91351-p79-one-prime-splice-is-a-terminal-child-plus-positive-arithmetic-row.md; claims/theorems/T-91304-direct-euler-row-factor54-resolution-proposal.md; claims/observations/O-91311-direct-row-factor54-final-proof-dag.md; experiments/X-91127; X-91128; X-91129	R-91308; L-91350; R-91309; L-91351; T-91304; O-91311	Exact direct-main reconstruction in PR #431; corrected score/Hall review in PR #436; native-source overlap in Reviewer A PR #709	PR #431 at 78a622e32ef36e587099bb95cb791461b75d26bf; PR #436 at 9aeccd55779689d3ee105d16a0caf6f600ff1ea2	Exact one-prime row, target and score split identities; inherited-row positivity at stated scope; exact first-moment formula	L-91350.2 omits parent activation cutoffs; L-91351 score-surplus premise is false; source-labelled branch homogeneity and noninherited rows remain unproved	GAP_BLOCKED	Canonicalize exact split identities and refutations only; exclude L-91350/X-91127, the false surplus, and T-91304 full wrapper	PR #436 supplies later causal Hall and literal-entropy replacements, but leaves LRPT/SFFEP open.	16	48
DM-003C	4e203a42ec4dae6590d15f8c92a56d28c0ae2a5a	9c7538559d7f56c2914b39aed5a1fb3fbf7ce131	Causal nonduplicating packet budget	claims/lemmas/L-91355-constant-mode-hazard-weights-give-a-nonduplicating-causal-packet-budget.md; experiments/X-91131-nonduplicating-causal-packet-budget/	L-91355	PR #439 exact continuation; Reviewer A PR #709 source-normalization overlap	PR #439 at 706445c01d4a5c9f852a4faf1329bd9858dc727a	Exact first-hazard partition, nonduplicating packet identity, and total canonical child coefficient below 1/8	Positivity/type admissibility of the survival and causal residual packets in the literal ordinary/radix-four physical cone	VERIFIED_WITH_FIXES	Canonicalize as an abstract/source-ledger theorem with packet-typing hypotheses explicit	It closes mass accounting, not the native physical producer.	5	53
DM-004	29e093940e9fdc7b96c103da40a729b23aa7e549	994bd4bedcc8b61cebabaf005cc69225fc3fe459	T-96000 direct fixed-row Mellin-Landau packet	claims/refutations/R-96000-pr537-endpoint-normalization-is-not-the-direct-consumer.md; claims/lemmas/L-96000-fixed-row-mellin-transform-of-the-full-mobius-spline.md; claims/lemmas/L-96001-the-row-kernels-cannot-cancel-an-open-strip-zero.md; claims/theorems/T-96000-prime-sieved-row-positivity-directly-implies-rh.md; experiments/X-96000-prime-sieved-row-mellin-landau/	R-96000; L-96000; L-96001; T-96000	PR #544 hardens the producer boundary; Reviewer A PR #709 and Reviewer B PR #708 independently review the analytic consumer	PR #544 at d4dcd1256dc9c8e110c860cff87b3f89aee842a5; PR #708 at eb1987502ef9043e782ac6ab1e19c47be9daef93; PR #709 at 55fe0b6f23d9163e2b602608da84194ba243d7c4	Exact fixed-row reciprocal-zeta Mellin transform and large-row noncancellation	Simultaneous global positivity of the prime-sieved native rows; PR #544 rejects the FRONTIER-CHAIN producer	CONDITIONAL_EXACT	Canonicalize L-96000/L-96001 as analytic predecessors, preferably superseded by fixed rows 2,3 or fixed 5:3; exclude T-96000 as a proof	Choosing a row after a hypothetical zero is logically harmless only if all rows are supplied simultaneously; the missing all-row producer is the real blocker.	11	64
DM-005	203e7cd3d35ff41556ccc37e5544355b057dd1b2	f789265569013ebff254b082c2e0428970bdaf57	Publication probes and duplicate recovery stubs	integration/2026-08-18/T97400_PUBLICATION_TEST.md; standalone/2026-08-18-parity-completed-scalar-lorenz/REMOTE_TEST.md	none	Not scientific; recovery/probe only	none	none	not applicable	DUPLICATE_RECOVERY	Exclude from scientific results; retain only if useful as publication provenance	Two one-line remote publication tests.	2	66
DM-006	bac504b2d227669d9d5310d96e6cf805f6376ff2	bac504b2d227669d9d5310d96e6cf805f6376ff2	Agentic Polymath README branding	README.md	none	Direct documentation change	none	none	not applicable	DOCUMENTATION_ONLY	Retain as repository branding; no scientific status effect	One commit.	1	67
DM-007	7472f585892e2aebf11e9749131f2e490e55743b	677203992eb0168920365ee45ae9db76bfa97dcf	T-99930 critical Taylor renormalization packet	claims/lemmas/L-99930-activation-zero-supercritical-positivity.md; claims/lemmas/L-99931-euler-taylor-positive-remainder-ladder.md; claims/lemmas/L-99932-critical-renormalized-kernel-and-zero-safe-consumer.md; claims/refutations/R-99930-supercritical-positivity-does-not-cross-the-critical-carrier.md; claims/theorems/T-99930-critical-taylor-renormalization-frontier.md; experiments/X-99930-critical-taylor-renormalization/; standalone/2026-08-20-critical-taylor-renormalization/	L-99930; L-99931; L-99932; R-99930; T-99930	Reviewer A PR #709 SHARP/critical-variation review; Reviewer B PR #708 Mellin/wavelet overlap	PR #663 at fa081e81044a81e76f48cb9878a659d749e98427; PR #668 at 15719b975115ecad1b23264c6a6303899b4c99dc; PR #709 at 55fe0b6f23d9163e2b602608da84194ba243d7c4	Global activation-zero positivity for m>=2; positive Euler-Taylor remainder ladder through exponent 3/2; exact zero-safe critical scalar and Mellin consumer	Subpower negative mass or upper envelope for the last critical scalar; supercritical positivity does not control it	CONDITIONAL_EXACT	Canonicalize L-99930/L-99931 and R-99930; retain L-99932 as a fixed conditional consumer; classify T-99930's remaining estimate OPEN_RH_EQUIVALENT	Later SHARP/critical-variation work strengthens the m>=2 theorem and proves that the terminal weighted-variation estimate is RH-equivalent.	18	85
