kind	id	role	exact_sha	status_at_cutoff
main	main	publication base and live canonical front door	9c7538559d7f56c2914b39aed5a1fb3fbf7ce131	current
review_pr	#369	elementary carry/Pascal/Cycle-Debt review	0f4cc8afd0dcfeabb3357225cbf6afd8f065a231	open draft review
source_pr	#272	Cycle-Debt primal/dual and capacity metric	fa787eed202aef67b2a4e23a64aeedfb05f93645	open draft
source_pr	#335	Markov occupation and one-policy Green-debt factorization	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	open draft
review_pr	#371	Q4 reflected-Jordan/inertia reconstruction	fd9292cac2e12e825135b8949b3c3b778f4344d0	open draft review
source_pr	#362	filtered-Chebyshev compact innovation and RH=>PIG	31c57c56c00c0a062a49a126d4e5a68ff28e9fe8	open draft
source_pr	#383	Q4 Fourier/Haar/mean and R-90412 scope correction	d764be15bd8ea902ad260484eab44d19a9e82175	open draft
source_pr	#386	Q4 singular Fourier and weighted-Goldbach normal form	66e60006bedbababefae22ad8f88f06753139a2b	open draft
live_exclusion	#461	active safe-Xi/fractional-string lane	ea633d416609565b3926f37c9302c93e1b818e2d	open draft
live_exclusion	#469	active native-root/factor lane	3cf685181bd367b92cdcfeef9249e0b9b542a09e	open draft
live_exclusion	#470	latest active native-root compiler/separator lane	a05584ac5c5227d56e9c2eb45c6530b68987cbb0	open draft; appeared during packet construction
