route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
carry-pascal	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23808-atomized-carry-entropy-and-pascal-cocycle.md	L-23808	Atomized carry rows and Pascal four-cycle identities are exact finite arithmetic identities.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	neutral	finite carry matrix; Pascal cocycle	all exact finite identities		import canonical	Do not attach any sign conclusion to the identities alone.
carry-divergence	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23810-mobius-divergence-balanced-fragmentation-equivalence.md	L-23810	Carry saturation is equivalent to the Möbius node-divergence equation partial d = R_X.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	neutral	L-23808; Möbius inversion	full finite equivalence		import canonical	This is the preferred finite front door.
fragmentation-farkas	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23813-balanced-fragmentation-farkas-and-randomized-producer.md	L-23813	Positive balanced fragmentation is equivalent to nonnegative pairing with all balanced-superadditive dual potentials.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	neutral	L-23810; finite-dimensional Farkas	primal/dual equivalence and descending producer identity		import canonical	Producer sign is a separate theorem.
carry-packing	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23814-universal-one-pass-balanced-carry-packing.md	L-23814	The central first-difference packing is feasible and has entropy 4 log(2) sqrt(X)+O(log^2 X).	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active partial result	quantitatively insufficient for RH	L-23808; monotonicity of w_X	unconditional positive lower-bound mechanism		import as strongest elementary constant	Critical constant remains 4.
frozen-binary-ternary-flow	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23811-explicit-binary-ternary-signed-carry-flow.md	L-23811	The frozen half-binary/half-ternary recurrence is an exact signed solution of the divergence equation.	ROUTE INFRASTRUCTURE	VERIFIED	survives as identity	neutral	L-23810	exact signed flow identity only	R-90201	retain identity; remove positivity expectations	The exact flow remains useful as a counterexample-bearing model.
frozen-weighted-negative-btf	247;356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201/BTF	The frozen producer weighted negative variation is X^{o(1)}.	REFUTATION	FALSE	refuted antecedent	would imply RH if true	L-23811; L-90204-L-90207	conditional BTF-to-RH consumer remains valid	R-90201	do not integrate as open	A fixed coefficient has negative excursions not O(X^delta) for delta<0.4965737487.
frozen-absolute-btf	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	The frozen absolute BTF sum sqrt(n)|A_X(n)| is X^{o(1)}.	REFUTATION	FALSE	refuted antecedent	would imply RH if true	L-90204-L-90207	conditional downstream algebra only	R-90201	mark false	The node-two trace alone forces near-square-root excursions.
mixed-renewal-mpr	247	6c4dadc97db57a3cf352c9f72fab3bedce792382	claims/lemmas/L-23815-mixed-one-third-half-pascal-renewal.md	L-23815/MPR	The 31/32 one-third plus 1/32 half producer is pointwise nonnegative at every endpoint.	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	live but weakened	would imply RH	L-23810; fixed mixed policy	finite exact recurrence and finite reconnaissance	L-90208 rules out only a source-independent gap	retain as source-specific conjecture	Finite atomic no-gap does not itself refute numerator-specific positivity.
full-coordinatewise-gfep	351;356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	Every frozen binary-ternary first-entrance exit coordinate is eventually nonnegative.	REFUTATION	FALSE	refuted	conditional GFEP-full to RH remains valid	L-90204-L-90207	finite positive bands and exact kernels survive	R-90201	mark false with policy and exit qualifiers	Fixed exit (n,p)=(2,2) changes sign at arbitrarily large integers.
positive-gfep-kernels	355	2107c85370369372361bb6b82b79ebf0676eb283	claims/lemmas/L-90101-stieltjes-positive-gfep-kernels-and-sparse-producer.md	L-90101	Every nonnegative exit trace has nonnegative Abel/Stieltjes first-entrance packet coefficients.	UNCONDITIONAL THEOREM	VERIFIED	active infrastructure	neutral	finite Abel summation	packet positivity for coordinate and sparse traces	R-90201 refutes only the Möbius aggregate sign	import and preserve distinction	Positive packets do not imply positive arithmetic aggregate.
nonnegative-flow-dual	355	2107c85370369372361bb6b82b79ebf0676eb283	claims/theorems/T-90101-genuine-nonnegative-flow-duality-and-scope-correction.md	T-90101	For y>=0 the exact dual cone is h>=0 and Lh>=0, with boundary pixels and internal Green-charge extreme rays.	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	active infrastructure	neutral	finite LP duality	genuine nonnegative throughput problem	signed-transshipment interpretation superseded	import corrected dual	Do not use the signed LP dual for the nonnegative-flow problem.
sparse-producer-positivity	355;356	1a60df88aadac731ec32e48a87b74537662114dd	claims/refutations/R-90201-frozen-gfep-exit-and-producer-eventual-positivity-fail.md	R-90201	The actual sparse producer of the frozen policy is eventually pointwise nonnegative.	REFUTATION	FALSE	refuted for frozen policy	would imply RH if true	L-90101; L-90204-L-90207	positive sparse packet kernel survives	R-90201	mark false with frozen-policy qualifier	Other policies and signed sparse pairings remain open.
finite-atomic-policy-gap	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90208-finite-atomic-no-gap-and-uniform-pascal-resonance-free.md	L-90208	Every stationary finite fixed-ratio fragmentation characteristic has nonreal zeros arbitrarily close to the conservation line.	UNCONDITIONAL THEOREM	VERIFIED	mechanism-class no-go	neutral	Dirichlet approximation; Rouche	closes source-independent spectral-gap strategy only		import as generic no-go	Does not rule out source-specific numerator cancellation or adaptive policies.
uniform-continuum-policy	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90208-finite-atomic-no-gap-and-uniform-pascal-resonance-free.md	L-90208	The uniform continuum split has characteristic (u-1)/(u+1) and only the conservation zero.	UNCONDITIONAL THEOREM	VERIFIED	active infrastructure	neutral	non-atomic split law	resonance-free deterministic geometry		import as policy contrast	Arithmetic source control remains open.
ordered-quarter-balanced-policy	356	1a60df88aadac731ec32e48a87b74537662114dd	claims/lemmas/L-90212-ordered-quarter-balanced-markov-policy-and-spectral-gap.md	L-90212	An explicit size-dependent quarter-balanced policy has an exact sliding-band Green recurrence and a strict continuum gap.	UNCONDITIONAL THEOREM	VERIFIED	live route	potential RH mechanism	L-33107; finite triangular recurrence	finite policy formula and continuum nonlattice gap		revive as adaptive-policy front	Finite arithmetic negative occupation and finite-to-continuum stability are open.
markov-fragmentation	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33107-size-weighted-fragmentation-is-markov-occupation.md	L-33107	Size-weighted balanced fragmentation is exactly the descending Markov equation M-MP=s, with a converse reconstruction.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	neutral	L-23810	exact primal coordinate change		import canonical	Core Rosetta-stone identity.
cycle-debt-policy-dual	335	188bd0362c3a9f88adcbcf5298bf8eeade4016cf	claims/lemmas/L-33108-cycle-debt-duals-factor-through-policy-capacity-drift.md	L-33108	Every policy dual factors through a bounded fraction of exact capacity drift, yielding a negative Green-occupation upper bound.	UNCONDITIONAL THEOREM	VERIFIED	canonical infrastructure	potential RH mechanism	L-33107; finite potential theory	policy-level optimized-debt normal form		import canonical	No martingale-to-cycle bridge remains after this identity.
