item	frozen_ref	classification	load_bearing_in_T27501	note
L-23823	58c70a81dce76cd84ea50a60c15c227537f240c1	PROPOSED_COMPLETE_PENDING_REVIEW	yes	normalized continuum shell-tail order and moat
L-23824	58c70a81dce76cd84ea50a60c15c227537f240c1	PROPOSED_COMPLETE_PENDING_REVIEW	yes	zero-cost logarithmically weighted prime transport
L-23825	58c70a81dce76cd84ea50a60c15c227537f240c1	PROPOSED_COMPLETE_PENDING_REVIEW	yes	finite shell profile and exact Chebyshev sampling remainder
L-23826	58c70a81dce76cd84ea50a60c15c227537f240c1	PROPOSED_COMPLETE_PENDING_REVIEW	yes	in-support charge and dyadic shell assembly
T-23811	58c70a81dce76cd84ea50a60c15c227537f240c1	PROPOSED_COMPLETE_CONDITIONAL	yes	WSTS implies prime ramp and RH
L-27501	current_branch	PROPOSED_COMPLETE_PENDING_REVIEW	yes	RH implies WSTS with O(log^4 X)
T-27501	current_branch	PROPOSED_COMPLETE_EQUIVALENCE	yes	WSTS iff RH
WSTS	current_branch	UNPROVEN_RH_EQUIVALENT	yes	sole unconditional arithmetic hinge
parabolic_seed	5f2b25f89afbb90a3bc4ca6d40148f530303eb54	PROPOSED_COMPLETE_PENDING_REVIEW	yes	sharp 4 sqrt X objective
prime_only_reduction	5f2b25f89afbb90a3bc4ca6d40148f530303eb54	PROPOSED_COMPLETE_PENDING_REVIEW	yes	proper powers cost O(log^2 X)
positive_endpoint_frame	e0ad1484d70098eb7c8be17655ea08568d5e2cd2	PROPOSED_COMPLETE_PENDING_REVIEW	no	alternative explicit positive producer
ESBT_ESGS	e0ad1484d70098eb7c8be17655ea08568d5e2cd2	UNPROVEN_RH_BEARING	no	endpoint-scale blocker route
positive_zero_tax_deformation	9f5ac31cb975fd95a46eabf5af0b648e7c6bd126	PROPOSED_COMPLETE_PENDING_REVIEW	no	finite positivity geometry; optimum equals actual prime ramp
PTQ	9f5ac31cb975fd95a46eabf5af0b648e7c6bd126	UNPROVEN_RH_BEARING	no	prime-tail queue route
PTC	efec844e7690e1102d9b07c696b71ae495c97d39	UNPROVEN_RH_BEARING	no	proper-power-neutral prime-tail charge
DGB5	4d4b7b9f024c8071a1023568ebee9ffb0ba25b16	UNPROVEN_RH_BEARING	no	fifth-scale cross-residue boundary ledger
F5TC	51ce086be09be6849c89aa69e22fcff2665b0c03	UNPROVEN_RH_BEARING	no	physical normal-to-carry transition map
FAGD	1efc886cc2cd41f01b51c9d8ca789379d174aad9	UNPROVEN_RH_BEARING	no	finite arithmetic Green deformation
ADF	6d370d5a8c1a2ab11eb1af0581fe3c605863a757	UNPROVEN_OVERSTRONG_AS_STATED	no	annular dual frame near-null direction
BJD	382526df0e9a2b397612ef7d7288de53cc85e996	UNPROVEN_RH_BEARING	no	boundary-jet domination
bottom_charge	b67f3ee4e5c20fdd23ad0923641d452c4a89da83	UNPROVEN_RH_EQUIVALENT	no	one scalar carry-inverse sign
PGC	a0d5a319d0844a539f5c15dd34d30cd65fe66c1f	UNPROVEN_RH_BEARING	no	parity-Green coercivity
physical_two_frequency_block	3a227e7595e1fe9e38956048297aa97531c80e4e	PROPOSED_COMPLETE_PENDING_REVIEW	no	exact adapter; no estimate by itself
fixed_ratio_shell	2d5043070e15fe6be94307381f4023eaa48c17a5	PROPOSED_COMPLETE_PENDING_REVIEW	yes	mandatory scalar firewall
RH	current_branch	UNPROVEN	ultimate	no accepted proof in live graph
