item_id	frozen_source	locator	reviewer	coverage	dependencies	disposition	notes
BASE	8d16f8d9c475db290bc85e53d775b93b9bcdb336	/	C	ref-and-root-read	RELEASE	audit-only	root=91742c176e5f7e5df8669e9a55f258c4889a1c12
RELEASE	8d16f8d9c475db290bc85e53d775b93b9bcdb336	canonical/2026-08-22/manifest.json	C	full-read	REVIEW-C;REVIEW-D	preserve	blob=446aec7e1c6d7b1d40a7747f3c9b161d03efdad3; 139 claim rows is not 139 fully formalized theorems
REVIEW-C	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/PR_CENSUS.tsv	C	341-head-cells-read	REVIEW-D	preserve	blob=0c49ffb662312f402097b576b399e50b642fdfa2; 340 PR objects plus absent #417
REVIEW-D	06c8ea18ffe20c7efa01b0fdacb8ebea0a2b5b22	PR721	C	metadata-and-release-manifest	REVIEW-C	preserve	333 dispositions is a different denominator; no fresh scientific acceptance
OLD-337	36b3bebea80e18f965f304638e2123c4d2363a09	PR337	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=36b3bebea80e18f965f304638e2123c4d2363a09; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-368	023434958a4c115c4d1f7d93ea310716f8bd81ae	PR368	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=023434958a4c115c4d1f7d93ea310716f8bd81ae; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-369	0f4cc8afd0dcfeabb3357225cbf6afd8f065a231	PR369	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=0f4cc8afd0dcfeabb3357225cbf6afd8f065a231; comparison=MATCH; observation_pass=2; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-370	ad77d151ab2e753595a8b2b9d49ac0ba9e601634	PR370	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=ad77d151ab2e753595a8b2b9d49ac0ba9e601634; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-371	fd9292cac2e12e825135b8949b3c3b778f4344d0	PR371	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=fd9292cac2e12e825135b8949b3c3b778f4344d0; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-372	9b9c2536d89b65cb999ec08e20fce3386383803a	PR372	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=9b9c2536d89b65cb999ec08e20fce3386383803a; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-373	34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794	PR373	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=34fe2037ba33bc61fc1e6ce04c7e74ab7b13e794; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
OLD-374	b0cb5a6360771ff7b890531e10fc03c70c394052	PR374	C	B1	REVIEW-C	H0	Historical source pin preserved; current_observed_head=b0cb5a6360771ff7b890531e10fc03c70c394052; comparison=MATCH; observation_pass=1; see pass2/HISTORICAL_HEAD_COMPARISON.tsv. Version coverage is not new scientific acceptance.
