edge_id	premise_semantic_ids	conclusion_semantic_id	edge_type	source_pr_sha	review_verdict	first_missing_input	rh_role	notes
E-CONSUMER-POS	CONSUMER.MELLIN.EVENTUAL_POSITIVITY_LANDAU & CONSUMER.MELLIN.ROWS_2_3_COMMON_ZERO_EXCLUSION	RH	conditional implication	PR653@e928fd615d753882706bb88c51b717bd8d4a86ba	CONDITIONAL_EXACT	eventual positivity of one fixed row/scalar	sufficient	Consumer is exact; producer is open.
E-CONSUMER-NEG	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS & CONSUMER.MELLIN.ROWS_2_3_COMMON_ZERO_EXCLUSION	RH	conditional implication	PR653@e928fd615d753882706bb88c51b717bd8d4a86ba	CONDITIONAL_EXACT	subpower negative mass of one fixed detector	sufficient	No Hall/source tree is needed by this analytic edge.
E-FIRSTOWNER	ARITH.NATIVE.SEQUENTIAL_FIRST_OWNER & ARITH.NATIVE.FCHD67 & CONSUMER.MELLIN.ROWS_2_3_COMMON_ZERO_EXCLUSION	RH	hyperedge	PR652@24ab64551225f2dba9aa53a533eb9b0285c6e363	OPEN_SUFFICIENT_FOR_RH	ARITH.NATIVE.FCHD67	producer route	FCHD67 is the first open arithmetic input.
E-SHARP-POWER-WALL	ARITH.SHARP.POWER_POSITIVITY_M_GE_2	ARITH.SHARP.CRITICAL_VARIATION_CONDITION	non-implication	PR663@fa081e81044a81e76f48cb9878a659d749e98427	FALSE	critical m=1 weighted variation	firewall	Supercritical positivity does not orient the critical row.
E-SHARP-CV	ARITH.SHARP.CRITICAL_VARIATION_CONDITION	RH	equivalence	PR668@15719b975115ecad1b23264c6a6303899b4c99dc	OPEN_RH_EQUIVALENT	critical weighted variation estimate	equivalent criterion	The equivalence theorem is valid; the condition is open.
E-WAVELET-ENERGY	ARITH.WAVELET.CRITICAL_ENERGY_CONDITION	RH	equivalence	PR675@7b28224ba1b072d4ccd5b93ad37c0a64e7939740	OPEN_RH_EQUIVALENT	critical cumulative wavelet energy	equivalent criterion	Not independent evidence for RH.
E-LPMW-BVD-OLD	ARITH.WAVELET.MINIMAL_RATIO8	GRAPH.XD.SAME_K1_TRANSLATION	invalid historical edge	PR705@027ea8bd5c879a190e9e22620c245a81f7b93b73	FALSE	kernel normalization mismatch	graph correction	Original K0/K1 edge is removed.
E-LPMW-BVD-CORRECT	GRAPH.XD.SAME_K1_TRANSLATION	ARITH.NEAR_COLLISION.SIGNED_GATE	translation	PR705@027ea8bd5c879a190e9e22620c245a81f7b93b73	VERIFIED_WITH_FIXES	same-K1 signed terminal estimate	XD coordinate change	Translation is exact modulo L1, not a bound.
E-DICKMAN-CORRIDOR	ARITH.DICKMAN.COMPLETE_BASE_STIELTJES & ARITH.DICKMAN.HEREDITARY_CORRIDOR	ARITH.DICKMAN.CRITICAL_PROFILE_GATE	reduction	PR614@d5b94d7dd8e341dca73c2b5ff899a9adf2d1585f	OPEN_SUFFICIENT_FOR_RH	critical future-profile estimate	producer reduction	The mesoscopic corridor does not cover the critical block.
E-DOUBLE-OWNER	ARITH.OWNER.DOUBLE_OWNER_DECOMPOSITION	ARITH.OWNER.MIXED_COBOUNDARY	proved implication	PR695@5b549abb560e87718f1977d72bf6d3a18165af90	VERIFIED		structural	Exact coefficient partition to boundary telescope.
E-CUBIC-COLLAR	ARITH.OWNER.MIXED_COBOUNDARY & ARITH.CUBIC.COMPENSATED_PREFIX_COAREA & ARITH.CUBIC.TWO_CERTIFICATE_GATE	RH	hyperedge	PR701@b8fa864f257cce623b020ff94b09c5afcbcabdee	OPEN_SUFFICIENT_FOR_RH	APCC100723 and DPCC100723	conjunctive producer	Both one-sided certificate masses remain open.
E-Vaughan-Half	ARITH.VAUGHAN.LARGE_DIVISOR_REWRITE & ARITH.VAUGHAN.RATIO4_FACTOR & ARITH.HALF_DIVISOR.ONE_FIELD	ARITH.NEAR_COLLISION.SIGNED_GATE	proved reduction	PR702@89f995450977c3590aada0c1447a7e6af7fcd9ac	VERIFIED_WITH_FIXES		XD reduction	Exact algebra leaves one signed near-collision estimate.
E-NEAR-RH	ARITH.NEAR_COLLISION.SIGNED_GATE	RH	conditional implication	PR702@89f995450977c3590aada0c1447a7e6af7fcd9ac	OPEN_SUFFICIENT_FOR_RH	HCNC103100	producer route	Via HHFE/BVD and the fixed consumer.
E-OCCUPANCY-HHFE	ARITH.PHASE.CUBIC_GRAM & ARITH.PHASE.SOURCE_SQUARE_ROOT & ARITH.OCCUPANCY.BPOE	ARITH.NEAR_COLLISION.SIGNED_GATE	hyperedge	PR707@7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	OPEN_SUFFICIENT_FOR_RH	BPOE103300	physical occupancy	Amplitude and source square-root are proved; occupancy is not.
E-PERRON	GRAPH.PERRON.ABSORPTION & GRAPH.QUADRATIC_WAVELET.BRIDGE & GRAPH.PERRON.JOINT_MATRIX	RH	hyperedge	PR697@e878c3717cd8124564e5400b2ec5db035e3a4088	OPEN_SUFFICIENT_FOR_RH	source-faithful subcritical arithmetic matrix	conjunctive CV/XD route	Abstract matrix theorem does not supply arithmetic rows.
E-SPARSITY-ENERGY	GRAPH.CONJUNCTIVE.SPARSITY_ENERGY	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	conditional implication	PR698@a10d6a40105142de2708632589c458d7534f556a	CONDITIONAL_EXACT	both bad-set sparsity and derivative-energy estimates	AND-gate	Deterministic inequality is proved; arithmetic premises open.
E-REGIONAL-SCHUR	GRAPH.CONJUNCTIVE.REGIONAL_SCHUR	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	conditional implication	PR698@a10d6a40105142de2708632589c458d7534f556a	CONDITIONAL_EXACT	regional row and column bounds on one source partition	AND-gate	No regional arithmetic coercivity is proved by the matrix lemma.
E-TWO-DEFECT	GRAPH.TRANSPORT_COLLAR & GRAPH.TWO_DEFECT_HYPEREDGE	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	conditional implication	PR700@18737409b6fa1c0a20096e5939a60cfc933d251c	CONDITIONAL_EXACT	transport crossing and unmatched collar bounds	AND-gate	Same coupling and observable are mandatory.
E-MATCHED	GRAPH.MATCHED_TRANSFER & GRAPH.MATCHED_MATRIX_CLOSURE	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	conditional implication	PR704@66f755df4321a03874e0da3f61b033300173e364	CONDITIONAL_EXACT	matched terminal estimates	carrier-preserving AND-gate	Transfer may depend on horizon, detector may not.
E-ROOT	FIREWALL.MELLIN.ROOT_CONTAINING_SQUARE & GRAPH.ROOT_EXCESS.ABSORPTION & GRAPH.ROOT_RETURN.CONTRACT	CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	conditional implication	PR706@44828a27c63bfc57dce12d67e980db33f4d55c3a	CONDITIONAL_EXACT	strict root return and root-free packing	scalar Schur quotient	Excess alone is insufficient.
