review_id	packet_id	source_commit	source_path	source_blob	claim	recommendation	exact_scope	review_reason	required_dependencies	remaining	canonical_acceptance_changed
P3.ANT.01	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	Explicit three-moment bounded native completion	RECOMMEND_SCOPED_COMPONENT	Every integer Y>=2; support<8Y; p(1)=0,pprime(1)=1,p(0)=-2; fixed prescribed completion	Moment equations and disjoint coefficient blocks reconstructed; harmonic-divisor bound retains all n	Literal Möbius prefix and all nonsquarefree correction indices	Original package/rejection suite is not executed in this pass.	false
P3.ANT.02	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	Classical-scale complete native energy saving	RECOMMEND_SCOPED_COMPONENT	E(pYc)<<Y exp(-c (logY)^(3/5)(loglogY)^(-1/5)); unknown constants; large Y	Complete twisted partial summation retains 1+abs(t); frequency split gives delta^(3/8)	Unconditional Lee-Leong Mertens and soft zeta convexity; full Plancherel identity	Not fixed power or subpower. No explicit constants/threshold or external campaign certified.	false
P3.ANT.03	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	Sharp coefficient-uniform graph-to-physical comparison	RECOMMEND_SCOPED_OBSTRUCTION	Fixed-ratio tail blocks; all balanced coefficients and indicated fixed jets; optimal order Y/logY	Retained lower-parent edges pay logY diagonal; explicit three-jet variation forces Y physical cost	Complete original graph on 1..N; same physical residual norm	Not a lower bound for selected native minimizers or a growing-jet assertion.	false
P3.ANT.04	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	Complete variation-profile constant	RECOMMEND_SCOPED_COMPONENT	All rational cells [1,4096] plus analytic full tail; Cstar in stated interval	Independently reconstructed 4095 cells and tail; no author code	Exact H/F profile and positive analytic tail majorant	Not an optimized leading constant or actual-zeta error. Author packaging not replayed.	false
P3.ANT.05	ANT	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-08-arithmetic-norm-transfer/PROOF.md	57cf309490af3f5650326ffe86c4e44fc6b0e3c3	Source-specific subpower residual upper bound	RETAIN_OPEN	One unbounded sequence of native completions	Classical saving remains exponent 1-o(1)	Actual prefix, moment constraints and complete energy	No upper bound closing RH is supplied.	false
P3.GCP.01	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	Exact squarefree and fixed-prime geometric centered spectra and root-visible modes	RECOMMEND_SCOPED_COMPONENT	Squarefree full prime boxes; countable all-exponent spaces over a fixed finite prime alphabet	Product eigenbasis and root invisibility of higher one-prime modes checked	Specified normalized harmonic measure and closed graph form	No transfer to n<=N or an unrenormalized all-prime operator.	false
P3.GCP.02	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	Root contrast sum and optimal anchored secular equation	RECOMMEND_SCOPED_COMPONENT	G=sum bD/lambdaD; C unique above inverse centered gap	Positive rank-one/root evaluation reduction; complete nonempty subsets retained	Root evaluation continuity; finite visible-mode reduction in geometric case	Original package/rejection suite is not executed in this pass.	false
P3.GCP.03	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	Sharp anchoring asymptotics	RECOMMEND_SCOPED_COMPONENT	Gsf=(1/zeta2)loglogP+O1; Ggeo=loglogP+O1; C-G=O(1/loglogP)	Euler return-product factorization and full tail comparison; bounded second inverse moment	Elementary Chebyshev/factorial estimates; actual real Euler identity	Anchored sharpness only; not centered sharpness for arbitrary downsets.	false
P3.GCP.04	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	Actual P13 logarithmic capacities	RECOMMEND_SCOPED_COMPONENT	Two 63-mode root contrasts and two secular brackets	Reviewer atanh-log intervals and complete subset sum independently reproduce endpoints	All six actual prime bases and all 63 nonempty visible subsets	Original producer/CLI suite not rerun; analytic asymptotics are not finite-code consequences.	false
P3.GCP.05	GCP	528b33ac8d57b5a046260ee45d585cd3fe720f4c	standalone/2026-09-08-astra-grounding-capacity/PROOF.md	2c22794bf7d883076fa3725f758c2f74a8ccd77d	Exact root-shaped retained-channel Schur criterion	RECOMMEND_CONDITIONAL_COMPONENT	c>=abs(tau)^2 G for the specified root coupling	Explicit Green completion gives both implication directions	Actual retained coupling must have this root form	Actual Weil/gamma coupling not identified or paid.	false
