reviewer	sequence	scope	working_directory	command	exit_code	classification	log	first_result
A	1	exact-head-or-diagnostic	repo root	git rev-parse HEAD	0	PASS	raw/A/00_freeze_initial.log	9ed8988218fd9c3e1da33bde81361262fc0aa747
A	2	exact-head-or-diagnostic	repo root	git rev-parse 'HEAD^{tree}'	0	PASS	raw/A/00_freeze_initial.log	2c6e967344eb373843a018a5415f7dce6ba39b94
A	3	exact-head-or-diagnostic	repo root	git rev-parse 'HEAD^'	0	PASS	raw/A/00_freeze_initial.log	7f9959088610efb7ee7cd01cfce1ad6cda397d61
A	4	exact-head-or-diagnostic	repo root	git rev-parse refs/remotes/origin/formal/010-upstream-analysis	0	PASS	raw/A/01_tool_versions.log	Remote branch resolves to requested head
A	5	exact-head-or-diagnostic	repo root	git status --short --branch	0	PASS	raw/A/00_freeze_initial.log	Detached clean worktree
A	6	exact-head-or-diagnostic	formal	lean --version	0	PASS	raw/A/02_formal_tool_versions.log	Lean 4.33.0-rc2 commit d8b18978322de05a8f3dba51ef03cf5461676c17
A	7	exact-head-or-diagnostic	formal	lake --version	0	PASS	raw/A/02_formal_tool_versions.log	Lake 5.0.0-src+d8b1897
A	8	exact-head-or-diagnostic	formal	lake exe cache get	1	DEPENDENCY_FAILURE	raw/A/10_lake_exe_cache_get.log	Windows error 32 renaming shared Mathlib cache .ltar.part during concurrent fetch
A	9	exact-head-or-diagnostic	formal	lake exe cache get	0	PASS	raw/A/11_lake_exe_cache_get_retry.log	Serialized recovery: no download; 8478 cached files decompressed
A	10	exact-head-or-diagnostic	formal	lake build	1	LEAN_COMPILE_FAILURE	raw/A/12_lake_build.log	First logged failure is duplicate-library target resolution under Zeta23; deterministic local errors also occur in ChallengeDeps.MellinAPI and RiemannFormal.Upstream.MathlibBridge
A	11	exact-head-or-diagnostic	formal	python3 scripts/generate_registry.py	0	PASS	raw/A/13_generate_registry.log	Generated map: 139 claims, 5 delta rows; tracked tree remains clean
A	12	exact-head-or-diagnostic	formal	python3 scripts/validate_registry.py	0	PASS	raw/A/14_validate_registry.log	Registry passes: claims=139 stated=2 proved=2 conditional=2
A	13	exact-head-or-diagnostic	formal	python3 scripts/verify_source_locks.py	1	SOURCE_LOCK_FAILURE	raw/A/15_verify_source_locks.log	Zeta23.RH_implies_on_line absent from A_UPSTREAM_REUSE.tsv
A	14	exact-head-or-diagnostic	formal	python3 scripts/validate_blueprint.py	0	PASS	raw/A/16_validate_blueprint.log	Blueprint scaffold passes with 3 fragments
A	15	exact-head-or-diagnostic	formal	bash scripts/check_no_sorry.sh	0	PASS	raw/A/17_check_no_sorry.log	Trusted targets contain no sorry/admit or custom axiom/opaque declaration
A	16	exact-head-or-diagnostic	formal	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	raw/A/18_check_axioms.log	RiemannFormal.olean is absent because the default trusted build failed
A	17	exact-head-or-diagnostic	formal	lake build Challenge.MellinAPI	1	COMPARATOR_FAILURE	raw/A/19_lake_build_Challenge_MellinAPI.log	Local ChallengeDeps.MellinAPI uses unknown identifier ℂ; duplicate library facet also resolves a missing path under Zeta23
