source_id	repository	source_commit	source_path	source_git_blob	source_url	inspection	c_verdict	omissions	local_authenticated_copy
S-PASS1	GettysburgResearch/riemann	7466ad8081101508be7c7acf0065cb2e0944a639	reviews/C/CENSUS.tsv	0d98aab08518bca855b387cdafa2a8e141ef2502	https://github.com/GettysburgResearch/riemann/blob/7466ad8081101508be7c7acf0065cb2e0944a639/reviews/C/CENSUS.tsv	all census fields read and blob authenticated	frozen baseline retained	prior scientific claims not re-reviewed	evidence/PASS1_CENSUS.tsv
S-PRIOR-C	GettysburgResearch/riemann	a6aa936ba8bf538177e34af60db7e2f0a58f8dfd	review/2026-08-22/coverage/PR_CENSUS.tsv	0c49ffb662312f402097b576b399e50b642fdfa2	https://github.com/GettysburgResearch/riemann/blob/a6aa936ba8bf538177e34af60db7e2f0a58f8dfd/review/2026-08-22/coverage/PR_CENSUS.tsv	rows 596..600 freshly read; rest inherited from first pass	PR599 pin is ancestor/scientific input, not current packet head	not all old review proof documents read	
S-568-OLD-CODE	GettysburgResearch/riemann	085d046905bfd32a5725632650039e58bb7fc1f7	experiments/X-97010-parity-grouping-hardening/verify.py	c946104810907deb55db18a4f2897e28618a04db	https://github.com/GettysburgResearch/riemann/blob/085d046905bfd32a5725632650039e58bb7fc1f7/experiments/X-97010-parity-grouping-hardening/verify.py	old metadata + full one-commit diff; exact byte reconstruction authenticated; executed normal/-O	behavior equivalent to current script for retained fixture	primitive directed interval endpoints not recomputed	replay/references/pr568_recorded/verify.py
S-568-NEW-CODE	GettysburgResearch/riemann	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	experiments/X-97010-parity-grouping-hardening/verify.py	f0e8f85e195162d745477cfb69e68b9b24443289	https://github.com/GettysburgResearch/riemann/blob/3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2/experiments/X-97010-parity-grouping-hardening/verify.py	whole file read; local blob authenticated; executed normal/-O	finite parity fixture; hardcoded coefficient equality; imported Decimal endpoints	not ASHP67, Landau or RH	replay/references/pr568_current/verify.py
S-568-OLD-JSON	GettysburgResearch/riemann	085d046905bfd32a5725632650039e58bb7fc1f7	experiments/X-97010-parity-grouping-hardening/results/verification.json	faac15c97c7c39a118f5f8cf4473c9e4e22e30e4	https://github.com/GettysburgResearch/riemann/blob/085d046905bfd32a5725632650039e58bb7fc1f7/experiments/X-97010-parity-grouping-hardening/results/verification.json	metadata + full commit diff; exact formatting reconstructed and blob authenticated	same JSON value as current retained artifact	authenticates retained bytes, not primitive proof	replay/reproduced/pr568_recorded/retained_original_format.json
S-568-NEW-JSON	GettysburgResearch/riemann	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	experiments/X-97010-parity-grouping-hardening/results/verification.json	16236ebf67030b3c81178ec0077c3f69e137ef0d	https://github.com/GettysburgResearch/riemann/blob/3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2/experiments/X-97010-parity-grouping-hardening/results/verification.json	whole file read; produced bytes authenticated	byte-exact replay	primitive proof not rerun	replay/reproduced/pr568_current/verification.json
S-599-L97910	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97910-near-critical-complete-small-prime-cube.md	eb4cfe62a69bc45fa89ad44194eeaee357d7d035	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/claims/lemmas/L-97910-near-critical-complete-small-prime-cube.md	whole claim read; finite expansion/exponent independently reconstructed	local argument consistent GIVEN the declared base source and PNT/Mertens inputs	PR576 base theorem and all analytic dependencies not independently audited	
S-599-L97911	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97911-expanded-terminal-largest-prime-strip.md	fbfcbac7506edea067356273e1a941a1f59c1300	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/claims/lemmas/L-97911-expanded-terminal-largest-prime-strip.md	whole claim read; ownership and terminal-strip estimate reconstructed	consistent conditional Type-I calculation; immediate child only	native Bellman source adapter and uniform external prime estimate not independently formalized	
S-599-L97912	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/lemmas/L-97912-positive-euler-main-and-product-boundary-localization.md	a21dfdaf7e9fff16ba2feda119245e1efedd4881	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/claims/lemmas/L-97912-positive-euler-main-and-product-boundary-localization.md	whole claim read; finite decomposition and strict bulk exponent reconstructed	remainder sign stays open; no positive native asymptotic	base input; analytic estimates; cofinal remainder bound	
S-599-T97910	GettysburgResearch/riemann	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	claims/theorems/T-97910-near-critical-balanced-large-prime-debt-frontier.md	f26a31da4a80b476ede099a04f2e3c4194397409	https://github.com/GettysburgResearch/riemann/blob/8daa0a5d94de56c68a1ce710824b26cacc1a9bbc/claims/theorems/T-97910-near-critical-balanced-large-prime-debt-frontier.md	whole claim read; two alternative open gates separated	conditional interface only; pending integrator reconciliation	exact all-scale native-source/annular-consumer binding and open signed estimates	
