reviewer	source_head	scope	command	exit_code	classification	print_output_verdict	first_result
A	9ed8988218fd9c3e1da33bde81361262fc0aa747	authoritative_runner	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	RiemannFormal.olean absent after trusted build failure
A	9ed8988218fd9c3e1da33bde81361262fc0aa747	analysis_headlines	lake env lean RiemannFormal/Analysis/AxiomAudit.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	RiemannFormal.Analysis.MellinAPI.olean absent
A	9ed8988218fd9c3e1da33bde81361262fc0aa747	mellin_comparator	lake env lean comparator/PrintAxioms/MellinAPI.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
A	9ed8988218fd9c3e1da33bde81361262fc0aa747	rh_comparator	lake env lean comparator/PrintAxioms/RH.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
B	072b4dbd0e4e407728a59110eb4f7214e23f8f8d	authoritative_runner	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT_AND_COVERAGE_GAP	RiemannFormal.olean absent; runner omits both B-owned modules
B	072b4dbd0e4e407728a59110eb4f7214e23f8f8d	arithmetic_headlines	lake env lean RiemannFormal/Arithmetic/AxiomAudit.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	FixedRows.olean absent
B	072b4dbd0e4e407728a59110eb4f7214e23f8f8d	arithmetic_comparator	lake env lean comparator/PrintAxioms/ArithmeticFixedRows.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
C	b20ee9b3678e5d8fa32b04b156bc02cec782a97b	authoritative_runner	bash scripts/check_axioms.sh	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Generated 17-declaration audit, then RiemannFormal.olean was absent
C	b20ee9b3678e5d8fa32b04b156bc02cec782a97b	trusted_headlines	lake env lean RiemannFormal/AxiomAudit.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	RiemannFormal.olean absent
C	b20ee9b3678e5d8fa32b04b156bc02cec782a97b	xi_three_node_comparator	lake env lean comparator/PrintAxioms/XiPickThreeNode.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
C	b20ee9b3678e5d8fa32b04b156bc02cec782a97b	positive_schur_comparator	lake env lean comparator/PrintAxioms/OperatorPositiveSchurRescue.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
C	b20ee9b3678e5d8fa32b04b156bc02cec782a97b	order_three_comparator	lake env lean comparator/PrintAxioms/XiPickOrderThreeConditional.lean	1	AXIOM_AUDIT_FAILURE	NO_USABLE_OUTPUT	Solution module prefix unavailable
