route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
consumer	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/theorems/T-91101-factor54-shadow-reset-would-close-rh-with-logarithmic-debt.md	T-91101	A coefficient-one factor-54 recurrence with bounded debt implies RH	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	current conditional consumer	conditional route to RH	PR #352 endpoint-score consumer	iteration once exact recurrence exists		retain conditional	Does not prove the recurrence
state	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91108-equality-weight-and-sharp-form-a-positive-two-state-renewal.md	L-91108	Psi=L+2R and parallel two-state renewals	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	arithmetic source state	finite Mobius algebra	scalar identity and local renewal		integrate scoped	Does not type L and R as copies of one endpoint law
transport	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-90028-factor-four-block-is-stochastically-dominated-by-the-capped-gamma-target.md	L-90028	Positive factor-four source law admits monotone transport to capped-Gamma target	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	continuum target transport	endpoint/capped-Gamma laws	positive continuum Markov kernel		integrate scoped	Finite and colored source allocation separate
quantization	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91110-positive-martingale-bspline-quantization-is-score-favorable.md	L-91110	Positive local quantization preserves two modes and improves score	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	finite endpoint lift	endpoint state grid	linear positive quantization of a given measure		integrate scoped	Does not construct rough source partition
mismatch	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91114-finite-continuum-mismatch-gains-one-carry-derivative.md	L-91114	Finite/continuum mismatch has q^-3/2 carry response	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	interior capacity payment	L-91110/L-91111	integer-column mismatch bounds and bounded interior safety		integrate scoped	Rough allocation explicitly separate
terminal	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91115-fixed-top-omission-closes-the-terminal-detail-annulus.md	L-91115	Fixed top omission closes integer terminal annulus	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	terminal capacity payment	L-91110/L-91114	integer physical columns		integrate scoped	Not a real-column derivative theorem
rough-support	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91317-active-rough-euler-cubes-are-positive-dilations.md	L-91317	Rough Euler source splits positively and contracts by least prime	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	source provenance and support	Euler cube algebra	positive support routing		integrate scoped	Least-prime labels do not allocate Schur ports
rough-affine	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91318-affine-pascal-dilation-preserves-carry-and-amplifies-score.md	L-91318	Affine lift preserves real-column carry and amplifies score	UNCONDITIONAL THEOREM	VERIFIED	current	physical child lift	continuous Pascal kernel	exact response/target covariance and entropy bound		integrate	Allocation among children separate
rough-completion	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91319-rough-euler-map-has-a-sharp-positive-sharp-preserving-completion.md	L-91319-one	One rough factor has a positive completion preserving SHARP	UNCONDITIONAL THEOREM	VERIFIED	current scoped	one-factor state repair	M_p and N_p algebra	one-factor identity only		integrate scoped	Do not tensorize
rough-completion	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91325-monotone-transport-disintegration-forgets-rough-colors.md	L-91325-cascade	One-factor SHARP identity survives arbitrary completed cascades	UNCONDITIONAL THEOREM	FALSE	false subclaim	load-bearing source ledger	L-91319	one-factor identity survives	REV-PR399-01	mark false	Two-factor exact difference is (0,12rs(1-r)(1-s))
port	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91320-absorbing-59-and-61-makes-the-schur-port-dominate-every-rough-state-correction.md	L-91320-port	Endpoint Schur matrix has reserve exceeding one-prime correction	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	local projective reserve	finite Boolean certificate	PSD/scalar reserve inequality	L-91326 scope correction	integrate scoped	Positive endpoint-row realization is not supplied
parity	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91320-balanced-ray-has-no-upward-parity-and-an-interval-seed-lift.md	L-91320-parity	Balanced Hall transport has an exact positive interval-seed lift	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	local parity projection	finite Hall certificate	finite-window positive seed/divisor destination		integrate scoped	All-generation endpoint-row ledger remains open
row-lift	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91322-normalized-component-row-monotonicity-lifts-the-parity-shadow-exactly.md	L-91322	Finite parity shadow gives exact nonnegative rows on one reset window	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	local endpoint-row positivity	directed 54-cell monotonicity	one-generation finite row theorem		integrate scoped	Explicitly leaves rough-generation composition open
three-state	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91323-rough-euler-action-has-a-fixed-positive-three-state-dilation.md	L-91323	Rough Euler action has positive three-state dilation	ROUTE INFRASTRUCTURE	VERIFIED	current	multiprime positive realization	rank-one port algebra	fixed positive dilation	L-91326/L-91327	retain historical	Scalar port payment still open
color	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91324-positive-functors-erase-rough-colors-without-capacity-loss.md	L-91324-functor	Positive ordinary-column functors preserve assigned PSD ports	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	ordinary physical color erasure	assigned positive branch ports	projection after a valid assignment		integrate scoped	Conservative assignment explicitly separate
fractional	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91324-fractional-column-green-identity-and-continuous-reset.md	L-91324-fractional	Exact fractional switching identity and q^-3/2 bounds	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	continuous child feasibility	finite seed decay	fractional identity, interior bounds, affine covariance		integrate scoped	Terminal real-column omission proof not supplied
terminal	#399	4981bcd2ae05e5a4e41e2877cbf9b4e020081a69	claims/lemmas/L-91324-fractional-column-green-identity-and-continuous-reset.md	L-91324-terminal	Integer top-omission lower bound closes every real terminal column	ROUTE INFRASTRUCTURE	UNPROVEN / GAP	open repair	continuous child terminal feasibility	L-91115 integer-column theorem	possible separate integrated theorem		retain open	Pointwise integer derivative bound is not valid uniformly for real q
