review_id	family	source_label	verdict	sources	reason	required_action	evidence
D2-U001	historical_native_assets	L-94023 common-template primal	ACCEPT_COMPONENT	S01	The same nonnegative coefficient vector multiplies every typed coordinate; finite source representation is well-defined.	Do not infer all-X feasibility or template completeness.	R11
D2-U002	historical_native_assets	L-94023 printed dual alternative	FALSE_AS_WRITTEN	S01	A=G=b=1 admits z=1 and printed dual u=-1,v=1 simultaneously.	Replace plus by minus before G^T v; audit copied separators.	D-F08;R11;Farkas_plus_sign_counterexample
D2-U003	historical_native_assets	L-91671 atomwise allocation and real Farkas	ACCEPT_COMPONENT	S02	Summing atomwise identities proves all coordinates; <=-primal dual sign is correct.	Preserve native vector and nonnegative remainder premises; do not copy R11 sign here.	R12
D2-U004	historical_native_assets	L-91671 guaranteed rational obstruction for real data	REQUIRES_CERTIFICATE_HYPOTHESIS	S02	An infeasible algebraic equality cone can force dual ray t*(-sqrt(2),1), containing no rational separator.	Require rational data or an explicit effective algebraic/symbolic certificate class.	D-F09;R12;Real_data_need_not_have_rational_separator
D2-U005	direct_main_cauchy_jordan	L-91029 safe Euler/compound-Poisson channel	ACCEPT_COMPONENT	S03	Absolute Euler logarithm has positive summable jump coefficients for sigma>1; exponentiation gives the CP semigroup.	No continuation below the source abscissa or self-adjointness is inherited.	R13
D2-U006	direct_main_cauchy_jordan	L-91029.9 Dirichlet identity	FALSE_AS_WRITTEN	S03	One-sided vector and matrix actions can have nonzero imaginary dissipation.	Insert Re and distinguish vector multiplication from matrix conjugation.	D-F10;R13;One_sided_vector_generator_real_part;Matrix_conjugation_generator_HS_real_part
D2-U007	direct_main_cauchy_jordan	L-91029 all iterated carre-du-champ assertion	HOLD_UNSPECIFIED_EXTENSION	S03	Explicit first jump Gram is positive; higher iterates are not defined sufficiently for a blanket theorem.	State the intended iterated tensors and prove their signs separately.	R13
D2-U008	brownian_weil	HC.14 leading trace-class coefficient	FALSE_AS_NORMALIZED	S04;S05	Inherited Fourier zero form gives 2pi*mu(T)*J^*J, not mu(T)*J^*J; discrepancy grows like log T.	Correct leading coefficient or rescale entire Weil form consistently.	D-F11;R14;Fredholm_inherited_Fourier_normalization
D2-U009	brownian_weil	HC.9/13 uniform remainder and fixed-degree conclusion	ACCEPT_WITH_FIXES	S04;S05	Logarithmic gamma difference is dominated by Gaussian-smoothed HS integral; prime phases preserve trace bounds.	Use R14 normalization and sufficiently large positive leading coefficient; index capture remains conditional.	R14
D2-U010	brownian_weil	Gaussian trace-class and prime overlap construction	ACCEPT_INSPECTED_COMPONENTS	S05	Evaluation decay is O(t^-2); rank-one trace sums and Gaussian prime overlap converge absolutely.	Acceptance restricted to inspected §§1-4; no independent complete cardinal-capture verdict.	R14;Gaussian_confinement_trace
D2-U011	brownian_weil	Full exceptional-zero index for confined operator	PENDING_PRIMARY_CAPTURE_AUDIT	S04;S05	S04 imports the super-Gaussian Xi-cardinal theorem; it is not rederived here.	Keep exact-index/RH transfer conditional on the full cardinal-range theorem.	REPORT.md omissions
D2-U012	brownian_weil	Selected-prime Brownian instability	ACCEPT_SECONDARY_PROOF_EXTRACT	S20	Disjoint selected-prime fibres, Steinhaus residual, polygon closure, Kronecker and Hurwitz give the stated producer-class obstruction.	Retain fixed sigma then all-large-N order; no general positive-mixture or arbitrary producer refutation.	REPORT.md;source inspection limited to review extract
D2-U013	direct_main_taylor	L-99930 activation-zero all-real supercritical positivity	ACCEPT_WITH_SCOPE	S06	Labelled-prime contraction at effective exponent>=3/2 and alternating level pairing prove X>1,m>=2.	State G_m(1)=0 and preserve duplicate-67 labels; not ordinary SHARP.	Supercritical_prime_label_threshold;R17
