packet	source	source_commit	packet_path	principal_review	extraction_recommendation	hypotheses_and_boundary	numerical_evidence	mandatory_repairs	other_author_executables
LC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core	pass1 + pass4 source/domain reconciliation	Fixed-L logarithmic operator domain/core; dense strong-residual construction; two-sided effective Schur enclosures and strict conditional finite-certificate criterion	Exact W and primitive metric; constants depend on L; strict all-L consequence assumes RH and classical Littlewood multiplicity bound; actual all-L sign OPEN	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
WP	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/window-one-positivity	pass1/pass2 + pass4 binding	Full complex L2 positivity on every window of length <=1; positive effective S1 via dual H1 Gram	Actual W only on diameter <=1; H^-1 lower norm, not uniform L2 gap; witness atoms are rational test parameters, not certified zeros	Published pass2 authenticated 2049-coefficient / complete-tail replay; not rerun in pass4	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
HT	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares	pass3	Native annular lower bound through X<=10^22; prime-square drift and higher-power remainder	Imports verified zeros only through 3*10^12; complete unknown high tail paid; no new zero census or all-scale sign	Pass3 independent scalar, tail and continuum endpoint budgets	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
AN	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/annular-scalar-route	pass3	Fixed noncancelling compact-annulus criterion and source-preserving local-continuation obstruction	All prime powers, exact gamma correction and fixed offset; eventual sign is not proved	Pass3 bounded native scalar and constant controls	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
ES	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/euler-tail-stability	pass3	Native slope/precision theorem and exact-moment Euler counterfamily	Counterfamily changes large-prime local factors and fails Riemann functional equation; does not counterfeit full safe analytic jet	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
FM	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt	pass3	Exact correlation expansion, unconditional PNT diagonal, RH-conditional fixed-moment obstruction	Raw fixed-even-moment shortcut fails under its stated RH comparison; no failure-count saving or general no-go	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
PC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count	pass3	All prime-power curvature atoms, Green interpolation and negative-run/count implications	Central atoms negative; limsup versus liminf retained; predecessor count target superseded by SS but local lemmas retained	Pass3 finite source/curvature controls	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
SS	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap	pass3	Any fixed power saving in specified negative-failure counts implies RH; source-qualified converse and dichotomy	r=1 or 2, fixed threshold; no count saving proved; positive density needs attained spectral edge	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
MC	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour	pass3	Bounded-coefficient two-jet completion, finite convolution proxy, legal contour and complete high-frequency bound	Exact prefix, both jets and analytic square p(s)^2; logarithmic coefficient energy is not physical energy	No numerical conclusion selected	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
CR	803	db175de165a9077e709b1cb482998171ffc0c6e7	standalone/2026-09-06-logarithmic-core/completion-rigidity-review	pass3	Rank-one signed functional and normalization rigidity; uniform tail and native negative signed test	Positive Hessian does not price intercept; finite-frequency optimization changes complete answer only within paid tail	Pass3 actual m=2 signed-control reconstruction	none	ARCHIVE_ONLY_UNLESS_SEPARATELY_AUDITED; no generic package approval
