claim_id	short_statement	mathematical_type	review_verdict	rh_relationship	notes
R-104517	finite mixed theta matrix PSD is false	REFUTATION	VERIFIED	NONE	strict negative two-orbit origin minor
L-104534	complete modular integration before orbit split	UNCONDITIONAL THEOREM	VERIFIED	ROUTE INFRASTRUCTURE	includes exact scalar quartic and central positivity interval
R-104518	fixed raw theta cutoff has negative high-frequency Laguerre tail	REFUTATION	VERIFIED	NONE	forces adaptive cutoff
L-104535	jet-renormalized adaptive cutoff	UNCONDITIONAL THEOREM	VERIFIED	ROUTE INFRASTRUCTURE	cofinal margins remain open
L-104536	associated-kernel hierarchy and sine-tail criterion	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	SUFFICIENT FOR FIXED-ORDER DESCENT	complete source only
T-104570	corrected dual-route frontier	CONDITIONAL IMPLICATION	VERIFIED WITH FIXES	MSINE OR ACDM IMPLIES alpha2>=alpha3	terminal gates open
MSINE104570	complete modular sine-tail inequality	CONDITIONAL IMPLICATION	UNPROVEN / GAP	SUFFICIENT FOR FIXED-ORDER DESCENT	analytic route
ACDM104570	adaptive cofinal directed margins	CONDITIONAL IMPLICATION	UNPROVEN / GAP	SUFFICIENT FOR FIXED-ORDER DESCENT	certification route
ALPHA2-FROM-ALPHA3	alpha2>=alpha3 from Conrey alpha3	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	FIXED-ORDER REVERSE ROLLE	requires either open gate
RH	Riemann Hypothesis	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	TARGET	not established
