claim	status	evidence
radix-four adjoint identity	PROVED	L-94200
native target dual equals P_Lambda	PROVED	L-94200
physical row dual equals H(d)	PROVED	L-94200
full loss equals F_Lambda plus physical slack	PROVED	L-94201
PR530 full-deficit identity	REFUTED	R-94200 X=3
NEDB controls physical slack	RETAINED	R-94201
NEDB alone implies RH	REFUTED	R-94201
finite endpoint compiler	RETAINED AT FINITE SCOPE	PR530 L-94100/L-94101
cubic small-divisor sector	RETAINED	PR531 L-93265
cubic large-divisor estimate	OPEN RH-BEARING	L-94202
unconditional RH proof	NOT OBTAINED	T-94200
