interface	status	evidence
live base PR #550	FROZEN	20646a78c3e8843001cb49ea0c9741f6d0d446f7
activation through rough placement	PROVED EXACT	L-96501 / X-96500
coefficient magnitude through rough placement	PROVED EXACT	L-96501 / X-96500
cumulative history sign	PROVED EXACT	L-96500--L-96501
odd-history leaf at X=61841	PROVED EXACT	R-96500 / X-96500
E_T(71,13)-O_T(71,13)>17	PROVED DIRECTED RATIONAL	X-96500
parity-blind L-96302 composition	REFUTED AS ARGUMENT	R-96500
full c_X row positivity	OPEN	not refuted
depth-L source identity	PROVED EXACT	L-96502
fixed even-depth local positive reset	REFUTED	R-96501
B_2,200000(2)<-11 and B_2,200000(3)<-2	PROVED DIRECTED MPFR	R-96501 / X-96500
global common-source gluing theorem	PROVED EXACT	L-96503
GPHT23 global producer	OPEN / RH-BEARING	T-96500
two-row Mellin transform	PROVED EXACT	manuscript Section 8
rows-2/3 noncancellation	PROVED EXACT	T-96500 / X-96500
RH	UNPROVED	global producer open
