lock_id	canonical_semantic_id	formal_declaration	source_pr	source_sha	source_path	source_claim_id	formal_scope	status	notes
B-FIXED-ROWS23	CONSUMER.MELLIN.TWO_ROW	RiemannFormal.Arithmetic.FixedRows.rows23_no_common_zero	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	L-99602	exact numerator common-zero algebra on ‖a‖<1	PROVED	No arithmetic row sign or Mellin theorem is included.
B-FIVE-THREE	CONSUMER.MELLIN.FIVE_THREE	RiemannFormal.Arithmetic.FixedRows.fiveThree_nonzero	649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	L-99261	exact fixed 5:3 factorization and noncancellation	PROVED	Finite complex algebra only.
B-FIRST-OWNER-SCALAR	ARITH.SHARP.SEQUENTIAL_FIRST_OWNER	RiemannFormal.Arithmetic.SourceIdentities.scalarFirstOwnerExpansion_eq_finiteEulerProduct	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	L-99601	generic scalar/list recursion only	LOCAL_HELPER_PROVED	Canonical labelled-shift/future-completion theorem remains blocked.
B-RN-16-4-4	ARITH.SHARP.COMPACT_HALL_RN	RiemannFormal.Arithmetic.SourceIdentities.raw_cutoff_ne_rn_child_16_4_4	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	L-99600	exact T(y), parent=5, child=1, density=1/5 fixture	PROVED	Compact Hall moat itself is not formalized.
B-RESPONSE-CAPACITY	ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.response_capacity_coefficients_differ_16_4_4	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99600-exact-compact-sharp-hall-and-rn-cocycle.md	L-99600	typed coefficient distinction at the exact RN cell	PROVED	Role index blocks implicit substitution only.
B-R-VS-2R2	ARITH.SHARP.ALPHA_NATIVE_PROMOTION	RiemannFormal.Arithmetic.SourceIdentities.native_one_prime_ne_contracted_two_child	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/refutations/R-99600-alpha-child-hazard-is-not-the-native-euler-source.md	R-99600	quantified 0<r<1/2 coefficient mismatch	REFUTED_FORMALIZED	Exact native-source promotion firewall.
B-PINV-NORMALIZATION	ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.normalized_p_inv_ne_p_inv_sqrt	667	7c044d232198265974dd8f4a530b98c6653dba55	claims/refutations/R-99900-normalized-box-source-mismatch.md	R-99900	quantified p>1 activity/amplitude mismatch	PROVED	Formal statement is the exact scalar normalization firewall; full box source theorem is separate.
B-DUPLICATE-67	ARITH.SOURCE.TYPING_FIREWALLS	RiemannFormal.Arithmetic.SourceIdentities.duplicate67_same_prime_distinct_labels	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99601-sequential-first-owner-euler-hazard.md	L-99601	label identity and accumulated parity fixture	LOCAL_HELPER_PROVED	Does not establish full disjoint/exhaustive first ownership.
B-ETA-COEFFICIENT	ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.etaCoeff_antidiagonal	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	L-102010	exact central-binomial coefficient convolution	PROVED	Formal power-series-to-Dirichlet-series convergence is not used.
B-ETA-DIRICHLET	ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.eta_mul_eta	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	L-102010	ArithmeticFunction ℚ Dirichlet convolution eta*eta=zeta	PROVED	Exact arithmetic-function scope.
B-GENERIC-ONE-FIELD	ARITH.VAUGHAN.HALF_DIVISOR	RiemannFormal.Arithmetic.HalfDivisor.genericOneFieldConvolution	696	f4016db548afceb31b150547cb6cd48b4cddb77d	claims/lemmas/L-102010-half-divisor-symmetric-one-field-reduction.md	L-102010	generic convolution cancellation with Möbius	LOCAL_HELPER_PROVED	No b_U/h_U, ratio-four kernel, Hardy norm, endpoint, or signed near-collision theorem.
