route	pr	reviewed_sha	path	claim_id	short_statement	mathematical_type	review_verdict	lifecycle	rh_relationship	dependencies	surviving_scope	superseded_or_refuted_by	integration_action	notes
reflected	#241	3a227e7595e1fe9e38956048297aa97531c80e4e	claims/lemmas/L-9518-bireflected-selberg-local-block-identity.md	L-9518	Exact independent-frequency bireflected block	UNCONDITIONAL THEOREM	VERIFIED	current	infrastructure	Selberg identities	two-frequency equality		integrate	never collapse t,s
parity	#263	6ca2028191d997b6f97118883ec069c1916a69a4	claims/lemmas/L-26205-parity-paired-euler-fiber-reserve.md	L-26205	Parity symbol reserve >=45/4	UNCONDITIONAL THEOREM	VERIFIED	current	zero-safe frame	finite algebra	pointwise annulus bound		integrate	both channels retain zeros
parity	#263	6ca2028191d997b6f97118883ec069c1916a69a4	claims/lemmas/L-26206-positive-bezout-parity-reconstruction.md	L-26206	Exact finite Bezout reconstruction	UNCONDITIONAL THEOREM	VERIFIED	current	infrastructure	L-26205	polynomial identity		integrate scoped	budget is not operator norm
source	#268	7e614540377cf2b1b3216a33240879ad8daf7b9b	claims/refutations/R-26802-positive-inverse-primitive-is-rh-blind.md	R-26802	Positive inverse primitive cancels RH pole	REFUTATION	VERIFIED	current firewall	rejects false consumer	Dirichlet factors	exact cancellation		integrate	
source	#268	7e614540377cf2b1b3216a33240879ad8daf7b9b	claims/lemmas/L-26805-rh-sensitive-source-change-half-scale-descent.md	L-26805	RH-sensitive source change has half-scale descent	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	source adapter	R-26802	exact algebra only		integrate scoped	quantitative descent open
pole	#269	4c67408f1dd7cd3d6574bafbf51c50a280bc0384	claims/refutations/R-26902-direct-carry-window-transference-cancels-the-rh-pole.md	R-26902	Pure carry window cancels tested zeta pole	REFUTATION	VERIFIED	current firewall	rejects direct carry consumer	source multipliers	exact pole cancellation		integrate	
pole	#297	409e1764fc708f725aae8dcd3fad9b8ae480bea3	claims/lemmas/L-29001-atomized-nyman-carry-frame.md	L-29001	Vector local energy detects every off-line zero	RH-EQUIVALENT CRITERION	VERIFIED WITH FIXES	current consumer	pole exclusion	vector carry frame	criterion; Q4 adapter absent		integrate scoped	
allpass	#325	8036edcd8b42f1fb3bbee605a6fae3b22985238d	claims/lemmas/L-32404-critical-euler-blaschke-positive-inverse-family.md	L-32404	Euler-Blaschke Q4 factor is all-pass and zero-safe	UNCONDITIONAL THEOREM	VERIFIED	current	infrastructure	finite Euler algebra	exact multiplier		integrate	
reserve	#325	8036edcd8b42f1fb3bbee605a6fae3b22985238d	claims/lemmas/L-32405-q4-balanced-selberg-kummer-reserve.md	L-32405	Balanced Q4 reserve has cofinal moat	UNCONDITIONAL THEOREM	VERIFIED WITH FIXES	current	positive forcing	L-32404; X-32402	cofinal plus finite replay		integrate scoped	spend once
allpass	#325	8036edcd8b42f1fb3bbee605a6fae3b22985238d	claims/lemmas/L-32406-euler-blaschke-scattering-and-current-gauge.md	L-32406	Exact causal all-pass state and current gauge	ROUTE INFRASTRUCTURE	VERIFIED	current	state recurrence	L-32404	finite state identity		integrate	gauge delayed
curvature	#329	219cab4496357867018f300936c877967ac0a81b	claims/lemmas/L-32306-matching-parity-augmented-curvature-absorbs-the-complete-jet.md	L-32306	Augmented curvature absorbs complete local jet	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	local lower ledger	reserve; parity	cofinal local result		integrate scoped	evolution open
reserve	#337	46a4a25ccefbd480d533b03ee5e41d9980f25248	claims/lemmas/L-32705-balanced-parity-paired-selberg-reserve-tends-to-one.md	L-32705	Reserve dominates lower-order forcing cofinally	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	reserve asymptotic	Selberg bounds	scalar comparison		integrate scoped	
reflected	#337	46a4a25ccefbd480d533b03ee5e41d9980f25248	claims/lemmas/L-32710-reflected-individual-terms-factor-through-bare-source-field.md	L-32710	Individual reflected terms factor through bare field	UNCONDITIONAL THEOREM	VERIFIED	current	zero-bare cancellation	reflected algebra	exact factorization		integrate	
curvature	#337	46a4a25ccefbd480d533b03ee5e41d9980f25248	claims/lemmas/L-32711-q4-source-bound-augmented-kummer-reserve.md	L-32711	Augmented scalar curvature is cofinally positive	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	current	lower ledger	L-32705; L-32710	scalar only		integrate warning	not PSD/current upper bound
jordan	#339	762c9192d9c6505e91e0f3e47f907c9a751b12a5	claims/lemmas/L-33802-positive-q4-jordan-deformation-and-product-curvature.md	L-33802	Common Jordan path gives exact product curvature	UNCONDITIONAL THEOREM	VERIFIED	current	product identity	Jordan path	two-frequency equality		integrate	no sign implied
physical	#339	762c9192d9c6505e91e0f3e47f907c9a751b12a5	claims/lemmas/L-33803-centered-interval-physical-field-is-predecessor-carry-row.md	L-33803	Endpoint is predecessor carry plus endpoint atom	UNCONDITIONAL THEOREM	VERIFIED	current	physical adapter	c=1*f	row identity and collar		integrate	keep delayed scale
