packet	current_statement	principal_files	mandatory_repairs
LC	research/integrated/native_sources/OPERATORS.md	PROOF.md	none
WP	research/integrated/native_sources/OPERATORS.md	PROOF.md	none
HT	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
AN	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
ES	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
FM	research/integrated/native_sources/RESIDUALS.md	PROOF_ATTEMPT.md	none
PC	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
SS	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
MC	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
CR	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
PR	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
RN	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
RG	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
RC	research/integrated/native_sources/RESIDUALS.md	PROOF.md	R01
ANT	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
JG	research/integrated/native_sources/CAUSAL.md	PROOF.md;REAL_AXIS.md	none
CSM	research/integrated/native_sources/CAUSAL.md	CONSTRUCTION.md;DOMAIN_AND_APPROXIMATION.md	none
CD	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
DC	research/integrated/native_sources/CAUSAL.md	CONSTRUCTION.md;TAIL_AND_DAMPING.md;GRAM_FLOOR.md	none
MW	research/integrated/native_sources/CAUSAL.md	WORK_IDENTITY.md;RESONANCE.md	R06 for trusting receipts
DO	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
BG	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
GT	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
BL	research/integrated/native_sources/RESIDUALS.md	PROOF.md	R02
GE	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
TE	research/integrated/native_sources/RESIDUALS.md	PROOF.md	R03
BH	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
CL	research/integrated/native_sources/RESIDUALS.md	PROOF.md	none
OEC	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
EF	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
EPD	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
PDS	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
FR	research/integrated/native_sources/CAUSAL.md	PROOF.md;NUMERICS.md	none
FC	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
ST	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
HC	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
CCT	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
SSQ	research/integrated/native_sources/PRIME_ENERGY.md	PROOF.md	none
IE	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
LT	research/integrated/native_sources/CAUSAL.md	PROOF.md	none
TSR	research/integrated/native_sources/STRUCTURES.md	PROOF.md	none
ADG	research/integrated/native_sources/OPERATORS.md	PROOF.md	R04; R05
DPG	research/integrated/native_sources/OPERATORS.md	PROOF.md	none
GCP	research/integrated/native_sources/OPERATORS.md	PROOF.md	none
CCS	research/integrated/native_sources/OPERATORS.md	PROOF.md;COHERENT_SOURCE.md	none
