refutation_id	target_pr	target_claim	first_broken_arrow	evidence_pr	evidence_head	evidence_claim	verdict	surviving_local_result	current_descendant	notes
DELTA.R.BROWNIAN_BOHR	376	finite Brownian producer	selected-prime/vertical-limit Bohr instability destroys finite positive producer closure	388	ede3f2db2fe0c571964d2e603ba5d91ee463091a	Brownian Bohr instability	CONTROLLED_BY_LATER_REFUTATION	finite Brownian identities and compact scans	none in reviewed Bohr class	New work must prove it lies outside the reviewed class.
DELTA.R.SAFE_JORDAN_PICK	397-era	safe-Jordan critical continuation	safe-side Jordan positivity does not provide the critical Pick continuation across zero ports	398		safe-Jordan-to-Pick review	CONTROLLED_BY_LATER_REFUTATION	safe-side operator algebra	393-396/438-446	Keep port dictionary explicit.
DELTA.R.FACTOR54_WRAPPERS	375-450	successive complete factor-54 proposals	native-root/source/capacity/endpoint arrows fail under exact descendants	405/431/436/443/450		controlling review chain	CONTROLLED_BY_LATER_REVIEW	independent local endpoint and capacity lemmas	451 onward	Do not reconstruct obsolete manuscripts end-to-end.
DELTA.R.STOPPED_LEAF_HALL	451/455	stopped-leaf Hall premise	exact p=67,y=13 stopped leaf violates claimed Hall positivity	456		exact stopped-leaf fixture	DELTA_FALSE	direct-row Möbius response and single-SHARP normalization	458/470/652	First false arrow for both historical complete wrappers.
DELTA.R.FACTOR_THREE	451/455	balanced/reserve row realization	coefficients sum to 3, producing 3c_X rather than c_X	457		factor-three review	DELTA_FALSE	corrected single-SHARP normalization	455 then 463	Independent of the Hall failure.
DELTA.R.SCORE_CONE	464/469	root score/Hall closure	q=2 separates target and score cones; no common feasible row is produced	470		q=2 separator	DELTA_FALSE	score identities and Y4 repair cone	475/511/514	Canonical target/score firewall.
DELTA.R.GROUPED_CHILD	473	factor-67 SONTR composition	grouped child normalization is not the native current normalization	478		grouped-child review	DELTA_FALSE	local factor-67 response algebra	541/552	Preserve exact normalization type.
DELTA.R.TRIPLE_CLOSURE	476	triple composition	normalization, mass and refinement do not hold on one physical row	480		triple-closure review	DELTA_GAP	componentwise local algebra	later single-row packets	Archive complete wrapper.
DELTA.R.REPAIRED_PACKET	481	first producer identity	producer identity and benchmark bridge remain unproved/RH-bearing	482/484		two controlling reviews	DELTA_GAP	conditional transport lemmas	later native-source reviews	Not a minor documentation defect.
DELTA.R.POSITIVE_TELESCOPE	486/488	one-shot positive telescope	source identity required for positive telescope is absent	492		positive-telescope review	DELTA_GAP	finite one-shot bookkeeping	494/502	Recovery wrapper does not repair the source identity.
DELTA.R.STANDALONE_GATES	489	closing implementation	portful implementation does not establish the closing inequality	490/491		standalone-gates review	DELTA_GAP	explicit gate decomposition	494/502	Retain as roadmap, not theorem.
DELTA.R.CHILD_MARGINAL	494/496	two-ledger child marginal	full child marginal is not derived from available one-use ledger	502		comparison review	DELTA_GAP	shared conditional spine	511/514	Typed common-parent requirement remains.
DELTA.R.VOLTERRA_NEGATIVE	495	Volterra common-parent positivity	exact p=67,y=15,s=1005,j=14 generator is negative	503		negative causal generator	DELTA_FALSE	Volterra representation	none	Exact counterexample controls the mechanism.
