semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
API.PERRON.ABSORPTION	conjunctive	A fixed nonnegative subcritical matrix absorbs coupled negative masses.	697	e878c3717cd8124564e5400b2ec5db035e3a4088	claims/lemmas/L-101100-positive-completion-negative-mass-absorption.md	L-101100	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	finite fixed channel system	Perron matrix inequality		Native matrix rows on one fixed source are open.	abstract conditional API			NOT_APPLICABLE	CANONICALIZE	The inequality is exact; the arithmetic premises are separate.	
API.CONJUNCTIVE.SPARSITY_ENERGY	conjunctive	Bad-set length and derivative energy jointly bound negative mass by a Poincare inequality.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101103-bad-set-sparsity-times-derivative-energy.md	L-101103	A:VERIFIED	B×A:WEAKEN_INTERPRETATION	C:REPRESENTED	VERIFIED_WITH_FIXES	locally absolutely continuous log-scale scalar	Poincare inequality	Do not call subpower log-length an independent key; require power-saving or deep-excursion occupancy for genuine leverage.	Displayed sparsity premise is automatic on a logarithmic horizon.	abstract inequality, not independent RH key			NOT_APPLICABLE	CANONICALIZE_AS_INEQUALITY_ONLY	The mathematics survives, but its implication-matrix role was overstated.	
API.CONJUNCTIVE.REGIONAL_SCHUR	conjunctive	Source-owned regional row and column Schur masses pair losslessly when partitioned before observation.	698	a10d6a40105142de2708632589c458d7534f556a	claims/lemmas/L-101105-regionwise-two-sided-schur-cover.md	L-101105	A:VERIFIED_WITH_FIXES	B×A:AGREE_API	C:REPRESENTED	VERIFIED_WITH_FIXES	finite or subpower source-owned partition	matrix theorem	Require literal native row/column marginals and a compatible partition.	No native regional instance is proved.	abstract conditional API			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The abstract theorem is valid but not conclusion-bearing alone.	
API.CONJUNCTIVE.MATCHED_TRANSFER	conjunctive	One common transfer gives an exact infimal negative-part decomposition.	704	66f755df4321a03874e0da3f61b033300173e364	claims/lemmas/L-101500-matched-transfer-negative-part.md	L-101500	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	pointwise/measurable common transfer	negative-part identity		Both transferred arithmetic estimates are open.	carrier-preserving API			NOT_APPLICABLE	CANONICALIZE	A separate transfer for each side would lose the common carrier.	
API.CONJUNCTIVE.ROOT_EXCESS	conjunctive	Strict source-owned root return plus root-free packing controls detector negative mass.	706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104101-two-key-root-excess-absorption.md	L-104101	A:VERIFIED	B×A:AGREE_API	C:REPRESENTED	VERIFIED	dyadic blocks with strict theta<1	scalar Schur absorption		Both root return and root-free packing are open.	conditional two-key API			NOT_APPLICABLE	CANONICALIZE	The strict root-return hypothesis prevents excess-only tautology.	
REFUTATION.ROOT_EXCESS_ONLY	conjunctive	Positive excess alone does not control the unknown root in Q=|g|^2+E.	706	44828a27c63bfc57dce12d67e980db33f4d55c3a	claims/lemmas/L-104100-root-containing-square-firewall.md	L-104100	A:VERIFIED_REFUTATION	B×A:AGREE	C:REPRESENTED	REFUTED_MECHANISM	all Hilbert triples	exact countermodel		Excess-only closure is false.	canonical no-go			NOT_APPLICABLE	CANONICAL_REFUTATION	This controls HTOC/DGOC-style shortcuts.	
ARITH.STAIRCASE.VECTOR_REDUCTION	conjunctive	The survival-weighted mixed coboundary, one common carrier-free filter, and vector Vaughan identity reduce two channels to one balanced source packet.	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/lemmas/L-102100-survival-weighted-mixed-coboundary-and-staircase-telescope.md|claims/lemmas/L-102103-carrier-free-filter-for-the-quadratic-wavelet-bridge.md|claims/lemmas/L-102105-vector-vaughan-reduction.md	L-102100/L-102103/L-102105	A:VERIFIED_WITH_FIXES	B×A:AGREE	C:REPRESENTED	VERIFIED_WITH_FIXES	finite monotone staircases and identical cutoffs	operator/filter/decomposition theorem	Use the identical source, cutoff, and zero-safe compact filter in both coordinates.	The subcritical source-faithful matrix is open.	strong structural reduction			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The reduction is exact but does not prove the matrix estimate.	
OPEN.ARITH.CFBB	conjunctive	A source-faithful subcritical 2x2 Perron matrix controls the carrier-free balanced vector packet.	703	0a46dba5c74e573945e3612937606f6ca735a1d3	claims/theorems/T-102100-carrier-free-staircase-perron-frontier.md	CFBB102100	A:OPEN_SUFFICIENT	B×A:AGREE_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	global dyadic blocks	open arithmetic matrix estimate		OPEN.ARITH.CFBB	sufficient for RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	No local cone iteration substitutes for this matrix.	
ARITH.PHASE.CUBIC_AMPLITUDE	conjunctive	Carrier-normalized phase homotopy, cubic B-spline autocorrelation, and half-divisor source square root close the source/phase amplitude layer.	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/lemmas/L-103300-critical-carrier-normalized-balanced-homotopy.md|claims/lemmas/L-103303-centered-cubic-bspline-autocorrelation.md|claims/lemmas/L-103304-half-divisor-field-is-source-square-root.md	L-103300/L-103303/L-103304	A:VERIFIED	B×A:AGREE	C:REPRESENTED	VERIFIED	finite labelled source and fixed compactifier	operator/kernel/arithmetic factorization		Physical integer-product occupancy remains open.	strong structural theorem			NOT_APPLICABLE	CANONICALIZE	Positive amplitude/Gram is not yet a physical observation estimate.	
OPEN.ARITH.BPOE	conjunctive	Physical observation embeds the source/phase energy into one multiplicative shell at subpower cost.	707	7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	claims/theorems/T-103300-balanced-phase-amplitude-and-physical-occupancy-frontier.md	BPOE103300	A:OPEN_SUFFICIENT	B×A:AGREE_HIGHEST_PRIORITY_OPEN	C:CURRENT_GATE	OPEN_SUFFICIENT_FOR_RH	dyadic shell operators on one occurrence	open physical occupancy estimate		OPEN.ARITH.BPOE	sufficient through half-divisor energy to RH			NOT_APPLICABLE	REGISTER_OPEN_CUT	This is distinct from positive source/phase Gram amplitude.	
OPEN.CONJ.REGIONAL_ROW	conjunctive	Literal native regional row marginals satisfy the subpower Schur bound.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.REGIONAL_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.REGIONAL_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.REGIONAL_COLUMN	conjunctive	Compatible literal native regional column marginals satisfy the subpower Schur bound.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.REGIONAL_COLUMN	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.REGIONAL_COLUMN	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.QMT	conjunctive	The first matched-transfer arithmetic estimate holds on the common transfer.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.QMT	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.QMT	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.AMT	conjunctive	The second matched-transfer arithmetic estimate holds on the common transfer.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.AMT	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.AMT	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.SORR	conjunctive	Strict source-owned root return holds with contraction theta<1.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.SORR	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.SORR	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.RFCP	conjunctive	Root-free excess packing is subpower on the same source ledger.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.RFCP	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.RFCP	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.PERRON_CV_ROW	conjunctive	The source-faithful critical-variation row of the joint Perron matrix is subcritical.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.PERRON_CV_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.PERRON_CV_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
OPEN.CONJ.PERRON_XD_ROW	conjunctive	The source-faithful cross-dispersion row of the joint Perron matrix is subcritical.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.CONJ.PERRON_XD_ROW	A:OPEN	B×A:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global literal source	open arithmetic hypothesis		OPEN.CONJ.PERRON_XD_ROW	premise of a conjunctive sufficient criterion			NOT_APPLICABLE	REGISTER_OPEN_CUT	Final graph exposes every open hyperedge premise.	
