id	status	statement	scope_and_boundary	proof
THA26.N	PROPOSED_PROOF_COMPLETE	N(T)<=T log T for every real T>=100	Classical theta/Jensen and elementary gamma bounds; all multiplicities	PROOF.md#2-a-self-contained-coarse-zero-count-and-complete-tail-bound
THA26.B	PROPOSED_PROOF_COMPLETE_WITH_IMPORTED_ZERO_INPUTS	Positive Gaussian zero sum at all u>0; log xi squared-coordinate Bernstein	Imported H and one real low zero; complete analytic tail; not Stieltjes or RH	PROOF.md#3-a-positive-gaussian-zero-sum-and-a-genuine-bernstein-theorem
THA26.W	PROPOSED_PROOF_COMPLETE_WITH_IMPORTED_ZERO_INPUTS	Every scalar trace positive and factorial-weighted Hankels positive at every rank	All multiplicities and full sum; no inverse-factorial promotion	PROOF.md#all-scalar-traces-and-all-rank-factorial-weighted-hankel-forms
THA26.I	PROPOSED_PROOF_COMPLETE	Complete-tail interpolation form inequality uniform over coefficients	Separated positive interpolation nodes; bounded disk radius and absolute mass	PROOF.md#4-complete-tail-interpolation-unweighted-positivity-at-bounded-rank
THA26.X	PROPOSED_CERTIFICATE_BACKED_WITH_IMPORTED_ZERO_INPUTS	Unweighted rank25 every shift>=2; rank9 every shift>=1	25 external primitive zero intervals and finite height; no actual moment computation; not a maximal rank	PROOF.md#tha26x-application-to-the-original-xi-source
THA26.P	PROPOSED_PROOF_COMPLETE	Positive perturbed actual-theta density retains all proved positive properties and has nonreal zeros	Changed source; all original real zeros retained; no zeta counterexample	PROOF.md#5-a-perturbation-of-the-actual-theta-density-survives-all-these-tests
THA26.M	PROPOSED_CERTIFICATE_BACKED	Compact probability density has every scalar trace positive but negative H4 at shift2	Separate rational compact source; exact moments/cumulants and determinant	PROOF.md#6-an-independently-reconstructible-negative-hankel-example
THA26.F	PROPOSED_PROOF_COMPLETE	Every prescribed finite rank can pass all later shifts for a non-real-rooted compact source	Construction depends on the chosen finite rank; not all ranks for one source	PROOF.md#6-an-independently-reconstructible-negative-hankel-example
THA26.C	PROPOSED_CLASSICAL_CRITERION_APPLICATION	All unweighted ranks at shift2 or complete monotonicity of Gaussian sum implies RH	Hamburger/Bernstein--Widder explicit imports; neither full premise proved	PROOF.md#7-the-exact-end-to-end-criterion-and-the-unsuccessful-final-step
THA26.RH	OPEN	RH and actual unweighted all-rank trace-square positivity	No completed proof, spectral reality theorem, or zero-free improvement	ATTEMPT.md
