packet	source_key	packet_root	main_review_pass	pass3_depth	remaining_scope
LC	S803	standalone/2026-09-06-logarithmic-core	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
WP	S803	standalone/2026-09-06-logarithmic-core/window-one-positivity	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Keep pass2 certificate replay; full author-package rejection suite and upstream source audit remain separate.
HT	S803	standalone/2026-09-06-logarithmic-core/height-transfer-and-prime-squares	3	NEW_MAIN_MANUSCRIPT_REVIEW	Imported finite-height zero theorem not recomputed; elementary tail-budget reconstruction is not a zero census.
AN	S803	standalone/2026-09-06-logarithmic-core/annular-scalar-route	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
ES	S803	standalone/2026-09-06-logarithmic-core/euler-tail-stability	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
FM	S803	standalone/2026-09-06-logarithmic-core/fixed-moment-counting-attempt	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
PC	S803	standalone/2026-09-06-logarithmic-core/prime-curvature-and-failure-count	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
SS	S803	standalone/2026-09-06-logarithmic-core/sparse-sign-bootstrap	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
MC	S803	standalone/2026-09-06-logarithmic-core/balanced-mobius-contour	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
CR	S803	standalone/2026-09-06-logarithmic-core/completion-rigidity-review	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
PR	S803	standalone/2026-09-06-logarithmic-core/positive-residual-review	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
RN	S803	standalone/2026-09-08-residual-normalization-and-minima	3	NEW_MAIN_MANUSCRIPT_REVIEW	Four two-jet minima freshly reconstructed with all pair tails; author package not executed.
RG	S803	standalone/2026-09-08-residual-spectral-exponent	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
RC	S803	standalone/2026-09-08-rational-residual-capture	2	NEW_FINITE_MINIMA_RECONSTRUCTION	Three one-jet minima freshly reconstructed; correct equation (18) attribution; author package not executed.
ANT	S803	standalone/2026-09-08-arithmetic-norm-transfer	3	NEW_MAIN_MANUSCRIPT_REVIEW	4095-cell profile and complete tail reconstructed; auxiliary SYNTHESIS and author package not fully audited.
JG	S804	standalone/2026-09-06-astra-sharp-jordan-green	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
CSM	S804	standalone/2026-09-06-astra-critical-source-map	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
CD	S804	standalone/2026-09-06-astra-compact-domain-completion	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Older ramp/compact-source numerical certificates and full author packages remain unreplayed.
DC	S804	standalone/2026-09-06-astra-domain-cutoff	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
MW	S804	standalone/2026-09-06-astra-mobius-work-resonance	3	NEW_MAIN_MANUSCRIPT_REVIEW	Complete finite input work identities reconstructed; large N=65536 campaign not replayed; input is not output.
DO	S805	standalone/2026-09-06-astra-dilation-observability	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
BG	S805	standalone/2026-09-06-astra-block-gain	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
GT	S805	standalone/2026-09-06-astra-growth-transfer	3	NEW_MAIN_MANUSCRIPT_REVIEW	Balazard-Saias imported through exact Baez-Duarte lemma; original BS proof not independently reread; full package held.
BL	S805	standalone/2026-09-06-astra-balanced-lift	3	NEW_MAIN_MANUSCRIPT_REVIEW	Correct norm-versus-squared-norm prose; inherited source bindings and author package.
GE	S805	standalone/2026-09-06-astra-green-energy	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
TE	S805	standalone/2026-09-06-astra-terminal-endpoint	3	NEW_MAIN_MANUSCRIPT_REVIEW	Clarify prescribed first interval (0,1/M) versus maximal mesh cell when M is only a support bound; author package.
BH	S805	standalone/2026-09-07-astra-balanced-hyperbola	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
CL	S805	standalone/2026-09-07-astra-critical-line-attempt	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
OEC	S811	standalone/2026-09-07-astra-logarithmic-domain-transfer	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
EF	S811	standalone/2026-09-07-astra-entropy-feedback	3	NEW_MAIN_MANUSCRIPT_REVIEW	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
EPD	S811	standalone/2026-09-07-astra-endpoint-prime-discrepancy	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
PDS	S811	standalone/2026-09-07-astra-prime-discrepancy	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
FR	S812	standalone/2026-09-07-astra-future-realization	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Fixed-horizon ordinary-input numerical certificate remains unreplayed; not cleared by IE same-core replay.
FC	S812	standalone/2026-09-07-astra-feedback-and-conditioning	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
ST	S814	standalone/2026-09-07-astra-source-stability	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
HC	S817	standalone/2026-09-07-astra-quantitative-capture	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
CCT	S818	standalone/2026-09-08-astra-critical-cutoff-taper	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
SSQ	S818	standalone/2026-09-08-astra-square-grid-localization	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Actual finite Li_2 square-grid energy prefix certificate remains unreplayed; analytic BT detail bound separate.
IE	S819	standalone/2026-09-08-astra-intrinsic-entropy	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Keep pass2 full-tail trial; full author package; no J=0; preserve unit exponential target.
LT	S823	standalone/2026-09-08-astra-late-tail-zero-insertion	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
TSR	TSR	standalone/2026-09-07-astra-all-rank-spectral-intersection	1	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
ADG	S825	standalone/2026-09-08-astra-divisor-gap	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Retain pass2 inverse reconstruction and eleven-prime correction; full package and source application remain scoped.
DPG	S826	standalone/2026-09-08-astra-divisor-poincare	2	INHERIT_ONLY_NO_NEW_WHOLE_PACKET_VERDICT	Principal-paper scope only. Auxiliary source/attempt files, original CLI/checker/rejection suite and transitive inputs are not automatically cleared.
GCP	S828	standalone/2026-09-08-astra-grounding-capacity	3	NEW_MAIN_MANUSCRIPT_REVIEW	Both P13 logarithmic capacities reconstructed; full auxiliary/package audit; never identify root coupling with Weil without adapter.
CCS	S829	standalone/2026-09-08-astra-coherent-channel-synthesis	3	NEW_MAIN_MANUSCRIPT_REVIEW	Main proof and coherent source read; P13 overlap and finite root law reconstructed; full auxiliary/package audit.
