semantic_id	family	statement_short	source_pr	source_head_sha	source_path	source_claim_id	primary_review_verdict	cross_review_verdict	coverage_status	final_verdict	quantifier_scope	proof_kind	required_fix	first_broken_arrow	rh_relationship	supersedes	superseded_by	computation_status	canonicalization_recommendation	reconciliation_reason	notes
CONSUMER.MELLIN.FIXED_ROW	mellin_landau	A fixed row has a reciprocal-zeta Mellin transform after separating initial convergence from continuation.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	L-99602	A:VERIFIED_WITH_FIXES; B:VERIFIED	A×B:ACCEPT_WITH_FIREWALLS	C:REPRESENTED	VERIFIED_WITH_FIXES	fixed row; initially convergent half-plane then meromorphic continuation	Mellin identity	State z=s+1/2, finite abscissa, positive-real removability, and multiplicity.	No arithmetic sign/negative-mass witness.	analytic consumer API			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	Both primary and cross reviews accept the transform, while rejecting producer inheritance.	
CONSUMER.MELLIN.TWO_ROW	mellin_landau	Fixed rows 2 and 3 have no common numerator zero in Re z>0.	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	L-99602	A/B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	Re z>0; two fixed detectors	exact algebraic elimination		Native arithmetic witnesses for the fixed rows are open.	conditional consumer			NOT_APPLICABLE	CANONICALIZE	Exact elimination gives -3(a-1)(a-2), with |a|<1.	
CONSUMER.MELLIN.FIVE_THREE	mellin_landau	The fixed scalar 5c_X(2)+3c_X(3) has numerator -3(2^-z-1)(2^-z-2), zero-free in Re z>0.	649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	L-99261	A:VERIFIED; B:OMITTED	A×B:ADD/AGREE_VERIFIED	C:NEWLY_EXTRACTED	VERIFIED	Re z>0; one fixed scalar	exact factorization		Its eventual sign or subpower negative mass is open.	conditional consumer			NOT_APPLICABLE	CANONICALIZE	Cross-review and C both recovered the omitted fixed detector.	
CONSUMER.MELLIN.ANNULAR_ROWS23	mellin_landau	The fixed annular rows 2 and 3 retain reciprocal-zeta pole detection and common-zero exclusion.	547	d60f93b0e207a83a283fb229eb988aa4c404765d	claims/lemmas/L-96010-fixed-annular-row-reciprocal-zeta-mellin-transform.md|claims/lemmas/L-96011-exact-two-row-open-strip-noncancellation.md	L-96010/L-96011	A:VERIFIED_WITH_FIXES	B×A:PATH_SPLIT_REQUIRED	C:REPRESENTED	VERIFIED_WITH_FIXES	fixed annular detector family	Mellin transform and noncancellation	Use the corrected P_Lambda normalization and split the two source files.	Annular arithmetic positivity is open.	conditional consumer			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The path and normalization repairs are local.	
CONSUMER.MELLIN.ZERO_SAFE_BOX	mellin_landau	A fixed logarithmic box has a multiplier zero-free in Re s>0.	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	L-99270	A/B:VERIFIED	A×B:AGREE_VERIFIED	C:REPRESENTED	VERIFIED	one fixed width A>1	multiplier audit		The smoothed arithmetic estimate remains open.	analytic API			NOT_APPLICABLE	CANONICALIZE	Malformed Reviewer A SHA is repaired to the exact PR #653 head.	
CONSUMER.MELLIN.SPECIALIZED_LANDAU	mellin_landau	A nonnegative Mellin density is singular at its finite abscissa; the specialized application handles positive-real removability and multiplicities.	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	L-99272	A/B:VERIFIED_WITH_FIXES	A×B:AGREE_WITH_FIXES	C:REPRESENTED	VERIFIED_WITH_FIXES	nonzero locally integrable density with finite abscissa	analytic theorem	State local integrability, nonzero density, finite abscissa, and functional-equation reflection.	An arithmetic nonnegative witness or holomorphic correction is open.	analytic consumer API			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The analytic argument survives both independent reviews.	
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	mellin_landau	A fixed signed defect with Mellin transform holomorphic in Re s>0 cannot cancel a reciprocal-zeta pole.	650	3f9e80f09fe1f595927ea7dce6fb49ac68c5c21b	claims/lemmas/L-99282-holomorphic-perturbation-landau-transfer.md	L-99282	A:VERIFIED_WITH_FIXES; B:VERIFIED	A×B:WEAKEN_TO_FIXED_SOURCE/FIXED_ROW	C:REPRESENTED	VERIFIED_WITH_FIXES	one fixed source, row, and defect	analytic perturbation	Keep source, row, and signed defect fixed; do not relabel the defect as positive source.	Producer must supply the fixed decomposition.	conditional transfer			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	The fix is typing, not new analysis.	
API.MELLIN.SUBPOWER_NEGATIVE_MASS	mellin_landau	For a fixed zero-safe detector, subpower logarithmic negative mass plus the verified consumer implies RH.	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md|claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	L-99270/L-99272	A:VERIFIED_WITH_FIXES; B:CONFLATED_NODE	A×B:SPLIT_API_FROM_OPEN_ESTIMATE	C:REPRESENTED	VERIFIED_WITH_FIXES	fixed detector; every epsilon>0	conditional implication API	Represent the arithmetic estimate as a separate open premise.	OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	sufficient consumer API			NOT_APPLICABLE	CANONICALIZE_WITH_FIXES	This repairs the dangerous verified-consumer-to-RH graph edge.	
CONSUMER.MELLIN.MOVING_ROW_SELECTION	mellin_landau	Selecting a sufficiently large row after introducing a hypothetical zero is not a fixed detector.	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	L-99242/T-99240	B:GAP_BLOCKED	A×B:AGREE_NONMINOR_GAP	C:CONTROLLED	GAP_BLOCKED	zero-dependent row selection	quantifier audit	Replace with fixed rows 2,3 or the fixed 5:3 scalar.	Detector changes after the hypothetical zero.	invalid proof mechanism		CONSUMER.MELLIN.TWO_ROW|CONSUMER.MELLIN.FIVE_THREE	NOT_APPLICABLE	ARCHIVE_WITH_GAP	Both cross-reviews identify the same quantifier failure.	
OPEN.ARITH.ROWS23_NATIVE	mellin_landau	The literal native source supplies the two fixed rows with eventual nonnegativity or admissible fixed holomorphic defects.	0	0000000000000000000000000000000000000000	review/2026-08-22/reconciliation/OPEN_CUTS.md	OPEN.ARITH.ROWS23_NATIVE	A/B:OPEN	A×B:EXPLICIT_NODE_REQUIRED	C:OPEN	OPEN_SUFFICIENT_FOR_RH	global fixed detector	open arithmetic hypothesis		OPEN.ARITH.ROWS23_NATIVE	sufficient for RH with two-row consumer			NOT_APPLICABLE	REGISTER_OPEN_CUT	The final graph makes the producer premise explicit rather than hiding it in metadata.	
