item	frozen_head	disposition_in_consolidated_review
PR-202	d4c8e59f8f3f992a76fd48ad13bef78505dca7cc	import square-screw/Landau consumer only
PR-240	b64c8136c790c76db4d9527f938e809111bab3b8	canonical weighted-shell review branch
PR-248	5f2b25f89afbb90a3bc4ca6d40148f530303eb54	import parabolic seed, prime-only reduction, carry algebra
PR-265	e0ad1484d70098eb7c8be17655ea08568d5e2cd2	import continuum tail and endpoint-scale geometry
PR-269	51ce086be09be6849c89aa69e22fcff2665b0c03	mandatory dyadic source mutation; physical transference not imported as proved
PR-270	1efc886cc2cd41f01b51c9d8ca789379d174aad9	Green/affine finite interfaces retained; FAGD not canonical hinge
PR-271	9f5ac31cb975fd95a46eabf5af0b648e7c6bd126	zero-tax positivity retained; unweighted PTQ superseded
PR-274	c2e1a978a0156944c26132943fa41bcf7c838fec	prime-density-drift correction; squarefree SCL remains separate open route
L-23823	2f0fcc930c20449b73ef6084414921f839c40e63	proposed complete continuum shell theorem
L-23824	branch-head	proposed complete finite weighted transport
L-23825	branch-head	proposed complete finite shell and Stieltjes reduction
L-23826	branch-head	proposed complete in-support shell assembly
L-23827	branch-head	new proposed complete endpoint-atom tail theorem
T-23811	branch-head	proposed complete conditional WSTS-to-RH theorem
T-23812	branch-head	new proposed complete RH-to-WSTS converse
WSTS	OPEN	sole conclusion-producing arithmetic theorem
RH	UNPROVED	no unconditional proof claim
