semantic_id	reviewer_b_original_verdict	reviewer_a_cross_verdict	disposition	exact_source_pr	exact_source_sha	exact_source_path	evidence	local_or_nonminor	required_fix	downstream_effect	integration_recommendation	notes
CONSUMER.MELLIN.HOLOMORPHIC_DEFECT	VERIFIED	WEAKEN_TO_VERIFIED_WITH_FIXES	LOCAL_FIX	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99241-resolved-defect-is-mellin-holomorphic.md	The pole-transfer lemma is valid only for one fixed source and fixed row; Reviewer B states this in prose but the row should carry it.	local	Make fixed row/source and Re(s)>0 Mellin-holomorphy explicit.	No change to consumer after typing fix.	EXTRACT_WITH_LOCAL_FIX	Agrees with the arithmetic review's fixed-defect firewall.
CONSUMER.MELLIN.FIXED_ROW_MOVING_SELECTION	GAP_BLOCKED	WEAKEN_TO_GAP	AGREE_NONMINOR_GAP	641	19cd3939a54ccea73b055b3952b5dd7ed638c4fb	claims/lemmas/L-99242-positive-surrogate-preserves-reciprocal-zeta-poles.md	The proof selects a sufficiently large row after the hypothetical zero; this is not one fixed detector.	non-minor	Keep archived as a broken conclusion and route through PR #652.	Prevents PR #641 from entering proved reachability.	ARCHIVE_WITH_GAP	No disagreement with Reviewer B.
CONSUMER.MELLIN.TWO_ROW	VERIFIED	AGREE_VERIFIED	ACCEPT	652	24ab64551225f2dba9aa53a533eb9b0285c6e363	claims/lemmas/L-99602-exact-two-row-mellin-landau-consumer.md	Exact elimination gives -3(a-1)(a-2), a=2^-z; Re(z)>0 excludes a=1,2.	none	None.	Supplies a fixed finite analytic detector family, not its arithmetic sign.	CANONICALIZE	Keep the open row witnesses separate.
CONSUMER.MELLIN.SUBPOWER_NEGATIVE_MASS	VERIFIED	WEAKEN_TO_VERIFIED_WITH_FIXES	LOCAL_GRAPH_TYPING_FIX	652,653	24ab64551225f2dba9aa53a533eb9b0285c6e363,e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99603-subpower-harnack-negative-mass-is-enough.md;claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	The analytic implication is valid, but Reviewer B's node name conflates the verified implication with the unproved arithmetic estimate.	local	Split into verified API and OPEN arithmetic-premise node.	Repairs E-MELLIN-002, which otherwise appears as VERIFIED_CONSUMER -> RH.	CANONICALIZE_AFTER_SPLIT	The estimate itself remains open.
CONSUMER.MELLIN.ZERO_SAFE_BOX	VERIFIED	AGREE_VERIFIED	ACCEPT	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99270-zero-free-smoothing-and-negative-mass.md	The fixed logarithmic-box multiplier has no zero in Re(s)>0.	none	None.	Safe smoothing remains available only for a fixed width.	CANONICALIZE	No arithmetic sign is supplied.
CONSUMER.MELLIN.SPECIALIZED_LANDAU	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	653	e928fd615d753882706bb88c51b717bd8d4a86ba	claims/lemmas/L-99272-specialized-landau-and-scalar-firewall.md	Finite abscissa, local integrability, nonzero density, positive-real removability and multiplicity treatment are adequate after explicit hypotheses.	local	Retain exact Landau hypotheses and functional-equation reflection.	No change to the conditional conclusion.	EXTRACT_WITH_FIXES	Reviewer B's classification is accurate.
CONSUMER.MELLIN.FIVE_THREE	NOT_REGISTERED	MISSED_CLAIM_CANDIDATE	OMISSION	649	433fd3662f7b2e4ba384ce64f196380e88624090	claims/lemmas/L-99261-five-three-row-zero-free-mellin-witness.md	The assigned remit included the fixed 5:3 scalar; its numerator -3(2^-z-1)(2^-z-2) is absent as a separate Reviewer B node and replay check.	local coverage	Add the scalar node and an edge with a separate open sign/negative-mass premise.	Leaves an important overlap consumer unavailable to reconciliation.	ADD_DURING_RECONCILIATION	Reviewer C/D should confirm no duplicate semantic node.
CONSUMER.MELLIN.MINIMAL_WAVELET_ABSCISSA	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	claims/lemmas/L-100131-wavelet-energy-abscissa-equals-rightmost-zero.md	The spectral abscissa classification is consistent with the fixed reciprocal-zeta wavelet and does not turn the critical estimate into independent progress.	local	Retain endpoint/infimum and Mellin-Hardy growth qualifications.	Critical energy remains RH-equivalent.	EXTRACT_WITH_FIXES	Agrees with Reviewer A overlap packet.
OPERATOR.XI.PICK_ORDER3.DETERMINANT	VERIFIED	AGREE_VERIFIED	ACCEPT	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92000-three-node-caratheodory-determinant-factors-into-two-scalar-curvatures.md	Direct determinant expansion matches the two divided-difference factorization.	none	None.	Exact standalone algebra survives.	EXTRACT_STANDALONE	No high-zero input enters this row.
OPERATOR.XI.PICK_ORDER3.TP_CURVATURE	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	445	c079c2ef21022be951027de1316aecf1168422c1	claims/lemmas/L-92001-the-tp-curvature-of-the-actual-xi-logarithmic-derivative-is-unconditionally-negative.md	Orbitwise differentiation and sign are correct; normal convergence and multiplicity conventions should be explicit.	local	State grouped orbit counting and C2-local convergence.	Supplies one determinant factor.	EXTRACT_WITH_FIXES	No simplicity assumption is needed for this sign.
OPERATOR.XI.RECIPROCAL_CONCAVITY.SUM	VERIFIED	AGREE_VERIFIED	ACCEPT	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92100-reciprocal-concavity-is-closed-under-positive-sums.md	The cross term is an exact nonnegative square.	none	None.	Valid finite and C2-local sum closure.	EXTRACT_STANDALONE	No resource allocation issue here.
OPERATOR.XI.RECIPROCAL_CONCAVITY.ONE_ORBIT	VERIFIED	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92101-one-high-off-line-orbit-is-absorbed-by-a-small-critical-reserve-fraction.md	The exact cross-curvature formula and epsilon=2m*kappa/(1-kappa) absorption are coherent.	local	State c>r, kappa<1 and representative/multiplicity convention at theorem front.	Supports the global budget after source-lock fixes.	EXTRACT_WITH_FIXES	No reuse of reserve occurs orbitwise.
OPERATOR.XI.RECIPROCAL_CONCAVITY.BUDGET	VERIFIED_WITH_FIXES	AGREE_VERIFIED_WITH_FIXES	ACCEPT_LOCAL_FIXES	446	880d14cb4bcbf542ec199137d60c58d9a8fd723d	claims/lemmas/L-92102-the-complete-hypothetical-off-line-curvature-budget-uses-less-than-one-critical-orbit.md	The reciprocal-square Stieltjes tail and conservative representative counting give total allocation <1; external height is not rerun.	local	Correct publication metadata; distinguish line verification from simplicity; state the explicit N(T) bound source.	Global reserve remains valid.	EXTRACT_AFTER_SOURCE_LOCK_REPAIR	The single orbit is split once into disjoint coefficient fractions.
