pr	base_source_sha	observed_head_sha	head_commit_date_utc	relative_to_2026_08_22_release	changed_path	change_status	content_inspection	source_id	disposition
568	085d046905bfd32a5725632650039e58bb7fc1f7	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	2026-08-17T12:57:21Z	HEAD_COMMIT_PREDATES_RELEASE	experiments/X-97010-parity-grouping-hardening/verify.py	modified	full source read / see source ledger	S-568-NEW-CODE	C_REPLAY_DELTA_RESOLVED_NO_CLAIM_CHANGE
568	085d046905bfd32a5725632650039e58bb7fc1f7	3a70470e3a8bbd60e0b7387ea46fd391cfb1d2e2	2026-08-17T12:57:21Z	HEAD_COMMIT_PREDATES_RELEASE	experiments/X-97010-parity-grouping-hardening/results/verification.json	modified	full source read / see source ledger	S-568-NEW-JSON	C_REPLAY_DELTA_RESOLVED_NO_CLAIM_CHANGE
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	.gitattributes	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-ATTRIBUTES	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	.github/workflows/t97700-publish-pdf.yml	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-WORKFLOW	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	PR_BODY_97910.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-PRBODY	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	T97910_FACTOR67_PRODUCT_BOUNDARY_SHA256SUMS	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-CHECKSUMS	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	claims/lemmas/L-97910-near-critical-complete-small-prime-cube.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-L97910	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	claims/lemmas/L-97911-expanded-terminal-largest-prime-strip.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-L97911	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	claims/lemmas/L-97912-positive-euler-main-and-product-boundary-localization.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-L97912	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	claims/theorems/T-97910-near-critical-balanced-large-prime-debt-frontier.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-T97910	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	experiments/X-97910-near-critical-factor67/README.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-README	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	experiments/X-97910-near-critical-factor67/results/verification.json	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-JSON	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	experiments/X-97910-near-critical-factor67/verify.py	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-CODE	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	integration/2026-08-18/t97910-factor67-product-boundary-provenance.md	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-LINEAGE	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	integration/2026-08-18/t97910-factor67-product-boundary-source-lock.json	added	whole text read; see source ledger (no automatic proof acceptance)	S-599-SOURCELOCK	pending integrator reconciliation
599	223f11259b3e7134f78d6492795e6e94caca8be3	8daa0a5d94de56c68a1ce710824b26cacc1a9bbc	2026-08-18T06:10:22Z	HEAD_COMMIT_PREDATES_RELEASE	standalone/2026-08-18-lapbr-large-prime-typeii-hardening/lapbr-large-prime-typeii-hardening-97700-repository.pdf	added	not inspected; binary		pending integrator reconciliation
