fix_id	semantic_id	reviewer_b_source_pr	reviewer_b_source_sha	reviewer_b_source_path	defect	exact_replacement_or_action	severity	integration_effect	notes
P-A-B-001	REFUTATION.MELLIN.POSITIVE_FLOOR_KERNEL	675	7b28224ba1b072d4ccd5b93ad37c0a64e7939740	PR_BODY	Placeholder is not an exact proof path.	claims/refutations/R-100130-positive-floor-kernel-cancels-the-zeta-detector.md	LOCAL	Safe after path repair	Blob exists at the frozen head.
P-A-B-002	ANALYTIC.WAVELET.ABEL_MERTENS_FRAME	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	PR_BODY	Placeholder path.	claims/lemmas/L-100500-exact-abel-mertens-wavelet-frame.md	LOCAL	Safe after path repair	Use exact internal ID L-100500.
P-A-B-003	REFUTATION.MELLIN.CRITICAL_DESMOOTHING	689	1751b5d63d981f1d39e0679a5997a7e32d2f1649	PR_BODY	Placeholder path.	claims/lemmas/L-100501-critical-dyadic-inverse-and-frame-firewall.md	LOCAL	Safe after path repair	Record whether semantic role is lemma/firewall, not refutation path.
P-A-B-004	CRITERION.OWNER.HTOC	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	Placeholder path.	claims/lemmas/L-99960-htoc-dgoc-are-rh-equivalent.md	LOCAL	Safe after path repair	Same proof file contains both equivalences.
P-A-B-005	CRITERION.OWNER.DGOC	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	Placeholder path.	claims/lemmas/L-99960-htoc-dgoc-are-rh-equivalent.md	LOCAL	Safe after path repair	Keep separate semantic IDs.
P-A-B-006	REFUTATION.OWNER.ROOT_TERM_EXCESS	671	2889071e9ebdc412b94cf2cfe74f1fd5142b2857	PR_BODY	Placeholder path.	claims/refutations/R-99960-owner-squares-do-not-remove-the-root-obstruction.md	LOCAL	Safe after path repair	Exact source is deposited.
P-A-B-007	COMP.XI.EXTERNAL_ZERO_HEIGHT	446,460	880d14cb4bcbf542ec199137d60c58d9a8fd723d,db9a767e312d9928f5ef827762dcb4ef95494af0	literature/external/*verified-height*source-lock.md	Wildcard is not exact provenance.	Pin literature/external/2020-platt-trudgian-rh-to-3e12-source-lock.md at PR #438 and a corrected canonical journal citation/source lock.	MAJOR	Blocks canonical Xi extraction until repaired	Distinguish critical-line verification from simplicity.
P-A-B-008	COMPUTATION.SHARP.H67.POSITIVE_TO_1E8	653	e928fd615d753882706bb88c51b717bd8d4a86ba	experiments/X-99270-three-vulnerability-hardening/results/	Directory path is not the retained theorem object.	Pin exact verification JSON, compressed/raw transcript, proof-object and checksum-ledger paths.	MAJOR	Retain only as heavy certificate until exact objects are listed	Reviewer A owns arithmetic classification.
P-A-B-009	FINITE.POST_CUTOFF_SEARCHES	0		PR_BODY	No source PR, SHA, path or internal claim exists.	Move to a non-provenance observation queue or add exact candidate records individually.	MAJOR	Must not enter canonical claims	Metadata-only prose is insufficient.
P-A-B-010	BROWNIAN/WEIL/FREDHOLM/BESSEL PR_BODY rows	multiple	multiple	PR_BODY	Numerous accepted rows have no exact claim-file path.	Resolve each to PR/head/path/internal-ID before extraction; otherwise retain METADATA_ONLY.	MAJOR	Blocks object-level canonical extraction, not the broad family verdict	Reviewer C can assist with full path census.
P-A-B-011	Composite family aliases	multiple	multiple	multiple semicolon/comma values	One alias row represents several source objects.	Mark as FAMILY_ALIAS and create exact child alias records.	MODERATE	Prevents false exact-SHA interpretation	Do not rewrite history.
