pr	exact_head_sha	title	family	final_disposition	controlling_later_pr	strongest_surviving_result	first_broken_arrow	current_open_gate	lifecycle_recommendation	heavy_policy	notes
374	b0cb5a6360771ff7b890531e10fc03c70c394052	integration: second major review synthesis and live proof map	integration_provenance	ADMINISTRATIVE_TEST		Exact-SHA August 11 scientific status integration; no new theorem.	not applicable	not applicable	Retain as immutable integration/provenance record.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
377	3f3afb13f0435050e28700ae8d2d924eefd4b410	integration: correct late concurrent delta census for PRs #375 and #376	integration_provenance	ADMINISTRATIVE_TEST		Exact post-cutoff census correction for PRs #375/#376; no new theorem.	not applicable	not applicable	Retain as immutable integration/provenance record.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
378	e1d74d60956329486f94c45e26d105608c973397	breakthrough: fixed safe-Euler resolvent derivatives isolate terminal off-line pairs	heat_resolvent_first_hermite	DELTA_OPEN_RH_EQUIVALENT	389/393	Exact rational resolvent kernel, three safe Euler samples, target weight -2m, and a finite all-order RH criterion.	Unconditional scalar/Hankel positivity is not proved.	Prime-side all-order Hankel/Stieltjes positivity at the safe Euler samples.	Canonicalize the kernel and criterion; keep the terminal positivity explicitly RH-equivalent.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
379	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	advance: first-Hermite zero-heat monotonicity is a countable RH criterion	heat_resolvent_first_hermite	DELTA_OPEN_RH_EQUIVALENT	384/385/390/392	First-Hermite zero-heat reality criterion, confluent kernel, exact prime formula, and finite-witness reduction.	The all-parameter first-Hermite prime inequality is not proved.	Pointwise first-Hermite positivity in the joint high-centre/high-resolution regime.	Canonicalize the criterion and exact formula; alias later partial positivity theorems beneath it.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
380	23d93b0555bb70ee39b0d87ff278a062a51651bc	strengthen Brownian refutation: Bohr-hull zeros recur with positive vertical density	brownian_bohr_refutation	CONTROLLED_BY_LATER_REVIEW	388/391	Syndetic Bohr-phase recurrence strengthens the verified finite-Brownian producer no-go to positive vertical density.	No new broken arrow beyond the already verified Bohr-hull obstruction.	Only height-dependent truncations, redesigned non-Bohr producers, or an infinite canonical system remain live.	Retain as a strengthening of the #388/#391 Brownian firewall, not a separate closure route.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
381	8b32a5941a349df16bdce59909ad66741293cb0a	factor-64 advance: 51-state debt collapses to signed upward variation	carry_endpoint_critical_hinge	DELTA_OPEN_SUFFICIENT		Uniformly positive factor-64 reward prefixes and the exact signed upward-variation inequality; exact nonmonotonicity witness.	Cofinal control of the actual critical occupation base sign and upward variation is absent.	Cofinal base-sign plus upward-variation bound.	Canonicalize the finite inequality and counterexample; keep the cofinal producer open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
382	d5630815f68554649445cbe19989b562dc685bd3	critical-hinge correction: monotonicity and generic convexity fail; weighted response survives	carry_endpoint_critical_hinge	DELTA_OPEN_SUFFICIENT		Exact weighted-tail top-inverse cone, recursive-monotonicity and generic-convexity refutations, and the signed response representation.	The specific square-root weighted cancellation of the oscillatory response kernel is unproved.	Square-root weighted response cancellation / critical-hinge saturation.	Canonicalize the cone and both counterexamples; do not revive source-blind convexity.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
384	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	advance: prove broad-kernel and fixed-resolution first-Hermite positivity	heat_resolvent_first_hermite	DELTA_CONDITIONAL	385/390/392	Proposed unconditional broad-kernel positivity and fixed-resolution exterior positivity, reducing each resolution to a compact centre interval.	The joint microscopic diagonal q,x→∞ is untouched.	Joint growing-centre/growing-resolution first-Hermite positivity.	Retain as a proposed partial-region theorem pending analytic review; subordinate to #379.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
385	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	advance: first-Hermite positivity reaches the universal 4 log-log frontier	heat_resolvent_first_hermite	DELTA_CONDITIONAL	390/392	Proposed unconditional positivity through q≤(4−epsilon)loglog|x| and the sharp phase-blind constant-four firewall.	Absolute prime bounds fail at the constant-four frontier.	Signed prime-power cancellation near n≈(log|x|)^4.	Retain the scale localization and firewall; keep the signed boundary theorem open.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
387	388ba7feb9927025d46a70963389ec45c9ead2ac	Fredholm correction: every fixed nonlinear degree is high-carrier blind	fredholm_operator_firewall	DELTA_VERIFIED_WITH_FIXES	389/397	Fixed exterior/Hankel degrees become high-carrier positive even in a false-RH model; detecting degree must diverge.	The fixed-degree high-carrier strategy is structurally blind.	Fixed-carrier all-order determinant positivity or growing-degree uniform control.	Canonicalize as the controlling Fredholm fixed-degree firewall.	HEAVY_CAMPAIGN_NOT_RE_RUN	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
