reviewer	sequence	scope	working_directory	command	exit_code	classification	log	first_result
C	1	pass-two-partial-diagnostic	C:\riemann-pass2\c\formal	lake -Kjobs=1 exe cache get	0	PASS	raw/C/01_cache_get_command_result.log	Pinned dependencies only; no lake update
C	2	pass-two-partial-diagnostic	C:\riemann-pass2\c\formal	verify_source_locks.py; verify_c_repair_static.py; check_external_input_usage.py	0	PASS	raw/C/02_static_checks.log	139 locks, 9 C fixtures, 14 headline theorems and 18 fields
C	3	targeted-trusted	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannFormal.Operator.FiniteMatrix	0	PASS	raw/C/03_FiniteMatrix.trace.json	Target built successfully
C	4	targeted-trusted	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannFormal.Operator.ReciprocalConcavity	0	PASS	raw/C/04_ReciprocalConcavity.trace.json	Target built successfully; linter warning only
C	5	targeted-comparator-dependency	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannComparatorChallengeDeps.XiPickThreeNode	0	PASS	raw/C/05_XiPickThreeNode_ChallengeDeps.trace.json	Unique local ChallengeDeps target built
C	6	targeted-comparator-dependency	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannComparatorChallengeDeps.XiPickOrderThreeConditional	0	PASS	raw/C/06_XiPickOrderThreeConditional_ChallengeDeps.trace.json	Repeated-node and PSD-only statement retained
C	7	full-trusted	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannFormal	1	LEAN_COMPILE_FAILURE	raw/C/09_full_trusted_build_failure_excerpt.log	actualXiInputs_have_concrete_dependencies places ActualXiReserveAllocation : Type under And; build-time XiExternalInputs.lean:37:6, current line 40
C	8	targeted-trusted-after-proof-repair	C:\riemann-pass2\c\formal	lake -Kjobs=1 build RiemannFormal.Operator.PickAlgebra	0	PASS	raw/C/08_PickAlgebra.trace.json	Proof-body repairs only; target built successfully
C	9	independent-source-audit	C:\riemann-pass2\c\formal	inspect buildLockedActualXiReserveAllocation	—	LEAN_COMPILE_FAILURE	raw/C/09_full_trusted_build_failure_excerpt.log	Second frozen sort blocker at XiSourceSpecific.lean:568: bare ActualXiReserveAllocation grouped : Type under And
C	10	full-common-C-and-axiom-suite	C:\riemann-pass2\c\formal	run_c_repair_validation.sh plus common suite and complete axiom/comparator targets	—	BLOCKED_BY_LEAN_COMPILE_FAILURE	C_BUILD_REPORT_PASS_TWO.md	Not green-completed; no full comparator or axiom verdict
C	11	combined-reconciliation-gate	—	A+B+C rehearsal	—	BLOCKED_BY_LEAN_COMPILE_FAILURE	C_BUILD_REPORT_PASS_TWO.md	C trusted library is not green; combined rehearsal must not begin
