review_id	source_id	source_pr	source_sha	source_path	source_blob	claim_ids	verdict	independence	reason	proof_review	remaining_gap	extraction_target
A-001	MOTHER	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102500-common-compact-mother-and-bezout.md	db4590fc23b53ed601e108a77e4d064b7d9d13f9	L-102500	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	Compact support, endpoint regularity, exact Mellin multipliers and finite Bezout identity reconstructed.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-002	SHELL	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102502-cv-xd-channel-gram-and-shell-reserve.md	a3fdf5f60f82dfde2506de70827a9f3f235aa4b0	L-102502	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	Real/character-orthogonal field hypotheses pay orthogonality and one-octave Poincare constant; no arithmetic sign.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-003	SQUARED	715	99cc94c48bafd9b96141f7cef9f1e7aa83012747	claims/lemmas/L-102505-squared-core-physical-collapse-is-polylogarithmic.md	135b496421bbb0986946ae647e4e2b9058d8f22c	L-102505	VERIFIED_WITH_FIXES	Independent reconstruction	Relative squared-core norm bound valid; retain unsquared input norm and fixed duplicate-prime factor.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-004	EB	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/lemmas/L-103120-qpti-has-an-exact-euler-beta-owner-core-transform.md	5d70e9e5fc3cde193fbaa2ae5342dc4c54892df4	L-103120 finite Euler-Beta	VERIFIED_WITH_FIXES	Independent reconstruction	Finite product, Beta and distinct-owner algebra valid; labelled and collapsed injectivity must not be conflated.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-005	EB_SIGN	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/lemmas/L-103121-euler-beta-live-core-mass-and-detector-semiprime-moment.md	25672a02523a4667f004a6e5875178727b3fd4cd	L-103121	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	Absolutely convergent live-core coefficient positive and detector moment negative at 1/2.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-006	EB_REFUTE	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/refutations/R-103121-literal-qpti-euler-beta-field-has-a-negative-semiprime-main.md	d57c1757b95cc567cb026a007b4419f00b57afb1	R-103121 literal field	VERIFIED_CONDITIONAL	Independent reconstruction	Three-range domination with the classical semiprime asymptotic gives a negative main for the displayed source.	MATHEMATICAL_AUDIT.md#a-m08	Imported semiprime theorem; altered finite core/duplicate-67 normalization requires separate proof	reviewed mathematics; exact source-qualified namespace
A-007	EB_REFUTE	719	59654c02d13545d6c8c0972315db2628e9efa1f6	claims/refutations/R-103121-literal-qpti-euler-beta-field-has-a-negative-semiprime-main.md	d57c1757b95cc567cb026a007b4419f00b57afb1	R-103121 all finite exceptions lower-order	VERIFIED_WITH_FIXES	Independent reconstruction	Fixed owner exclusions are lower-order; changed core coefficients generally change the leading convergent constant.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-008	F1_STOKES	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105400-twisted-cubical-frobenius-stokes.md	7258ca8e54efb17bf04de224f0aaa5db2d65744a	L-105400	VERIFIED_WITH_FIXES	Independent reconstruction	Twisted Stokes and finite owner telescopes valid with local weak derivatives and causal boundary regularity explicit.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-009	F1_HODGE	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105401-toric-f1-owner-hodge-index.md	8443ae6f8184a259deb1405345da5ffd027e6f7e	L-105401	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	Top-degree expansion gives exact centred Hilbert variance and normalized gap one.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-010	F1_OLD	730	2db310ed742c2d980830614897ccd10eac852a24	standalone/2026-08-23-f1-finite-hodge/PROOF.md	080f8712bd7f36c546f3ee69765f9ce3f4018140	historical unquotiented packing front door	SUPERSEDED_SOURCE_FRONT_DOOR	Independent reconstruction	Old standalone prose must point to later carrier/source corrections; finite identity retained.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-011	TAIL_PAIR	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105501-balanced-vaughan-trilinear-is-a-native-tail-pair.md	34bdba7c36b83d0d96d4f6d730686acc52f0d549	L-105501 convolution identities	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	a=1*nu, a*mu=nu and b=a*nu are exact; both factors vanish below U.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
A-012	TAIL_PAIR	730	2db310ed742c2d980830614897ccd10eac852a24	claims/lemmas/L-105501-balanced-vaughan-trilinear-is-a-native-tail-pair.md	34bdba7c36b83d0d96d4f6d730686acc52f0d549	L-105501 equal-product energy	VERIFIED_AT_STATED_SCOPE	Independent reconstruction	Divisor majorants pay free and same-product sectors, not distinct-product cancellation.	MATHEMATICAL_AUDIT.md#a-m08	No cofinal RH estimate proved	reviewed mathematics; exact source-qualified namespace
