method	exact outcome	remaining obstruction
safe triple dyadic filter	factor-1024 annulus, stable inverse 64/21	none at scale interface
dyadic activation	10 exact Q(sqrt2) cubic bands	none
ratio decomposition	all active ratios <1024	none
gcd decomposition	common divisor sign-free; a,b,d pairwise coprime	mu(a)mu(b)
near diagonal	O(H log^2 X)	closed for H=polylog
large gcd	O(H log^2 X)	closed for threshold X/H
small reduced variable Type I	O(H log^2 X)	closed for a<=H
balanced Type II	exact finite-ratio bilinear/product forms	open square-root cancellation
large sieve	(2T+CX) diagonal bound	CX loss at fixed/polylog T
Mellin almost orthogonality	entire exponential-type kernels	frequencies spaced 1/X
pretentious distance	retains reciprocal-zeta source	known first-moment scale insufficient
positive-kernel completion	diagonal multiplier must be >= number active cores	macroscopic cost
square functions	randomized/diagonal model polylog	deterministic cross terms
log Sobolev	top Walsh coefficient representation	exponential denormalization
product reparametrization	one sign mu(k) with finite divisor-pair weight	still reciprocal-zeta cancellation
consumer	safe multipliers preserve every Re>0 pole	SACF implies RH
