edge_id	premise_semantic_ids	conclusion_semantic_id	edge_type	source_pr_sha	review_verdict	first_missing_input	rh_role	notes
EDGE.MELLIN.ROWS23	CONSUMER.MELLIN.TWO_ROW; ARITH.ROWS23.NONNEGATIVE	RH	CONDITIONAL_IMPLICATION	652@24ab64551225f2dba9aa53a533eb9b0285c6e363	CONDITIONAL_EXACT	ARITH.ROWS23.NONNEGATIVE	conclusion consumer	
EDGE.MELLIN.FIVE_THREE	CONSUMER.MELLIN.FIVE_THREE; ARITH.FIVE_THREE.NEGATIVE_MASS	RH	CONDITIONAL_IMPLICATION	649@433fd3662f7b2e4ba384ce64f196380e88624090	CONDITIONAL_EXACT	ARITH.FIVE_THREE.NEGATIVE_MASS	conclusion consumer	
EDGE.MELLIN.NEGATIVE_MASS	CONSUMER.MELLIN.NEGATIVE_MASS; ARITH.FIXED_DETECTOR.SUBPOWER_NEGATIVE_MASS	RH	CONDITIONAL_IMPLICATION	653@e928fd615d753882706bb88c51b717bd8d4a86ba	CONDITIONAL_EXACT	ARITH.FIXED_DETECTOR.SUBPOWER_NEGATIVE_MASS	conclusion consumer	
EDGE.NATIVE.ALPHA_PROMOTION	ARITH.SHARP.RN_CHILD	ARITH.ROWS23.NATIVE_POSITIVITY	PURPORTED_IMPLICATION	652@24ab64551225f2dba9aa53a533eb9b0285c6e363	FALSE	Native coefficient r versus contracted 2r^2/zero	dead source mechanism	
EDGE.NATIVE.FCHD	ARITH.SHARP.SEQUENTIAL_FIRST_OWNER; ARITH.FCHD67	ARITH.ROWS23.NONNEGATIVE	PROVED_CONDITIONAL	652@24ab64551225f2dba9aa53a533eb9b0285c6e363	CONDITIONAL_EXACT	ARITH.FCHD67	native producer	
EDGE.SHARP.POWER_TO_LINEAR	ARITH.SHARP.POWER_M_GE_2	ARITH.CV.CRITICAL_VARIATION	PURPORTED_DESCENT	663@fa081e81044a81e76f48cb9878a659d749e98427;668@15719b975115ecad1b23264c6a6303899b4c99dc	GAP_BLOCKED	critical m=1 weighted downward variation	not a proven edge	
EDGE.CV.TO_RH	ARITH.CV.CRITICAL_VARIATION	RH	EQUIVALENCE	668@15719b975115ecad1b23264c6a6303899b4c99dc	OPEN_RH_EQUIVALENT	critical variation estimate	RH-equivalent criterion	
EDGE.WAVELET.TO_RH	ARITH.WAVELET.SPECTRAL_ABSCISSA; ARITH.WAVELET.CRITICAL_ENERGY	RH	EQUIVALENCE	675@7b28224ba1b072d4ccd5b93ad37c0a64e7939740	OPEN_RH_EQUIVALENT	critical energy estimate	RH-equivalent criterion	
EDGE.XD.OLD_K0_K1	ARITH.XD.LPMW_K0	ARITH.XD.BVD_K1	PURPORTED_EQUIVALENCE	692@50c4862c801b6388a30363c336d275270025eff4;705@027ea8bd5c879a190e9e22620c245a81f7b93b73	FALSE	common kernel	invalid historical edge	K0/K1 mistype
EDGE.XD.SAME_K1	ARITH.XD.SAME_K1_LPMW	ARITH.XD.SAME_K1_BVD	EQUIVALENCE_MOD_L1	705@027ea8bd5c879a190e9e22620c245a81f7b93b73	VERIFIED	common terminal signed estimate	one corrected XD coordinate	
EDGE.DICKMAN.HEREDITARY	ARITH.DICKMAN.STIELTJES_TRANSFER; ARITH.DICKMAN.MESOSCOPIC_CORRIDOR	ARITH.DICKMAN.HEREDITARY_BELLMAN	PROVED	607@a28f8e5b8c90e3aef30e97053ed42e9ddde9c665;608@f362acf56bbbbd183976b6377fbe883193886e1a	CONDITIONAL_EXACT	classical VK input retained	unconditional corridor on classical theorem	
EDGE.DICKMAN.TO_CRITICAL	ARITH.DICKMAN.HEREDITARY_BELLMAN	ARITH.FCHD67	OPEN_EXTENSION	608@f362acf56bbbbd183976b6377fbe883193886e1a	GAP_BLOCKED	dynamic finite critical block/profile maximum principle	live route	
EDGE.VAUGHAN.HALF_FIELD	ARITH.VAUGHAN.LARGE_DIVISOR; ARITH.VAUGHAN.RATIO4_TWO_FIELD; ARITH.VAUGHAN.HALF_DIVISOR	ARITH.VAUGHAN.HHFE	PROVED_REDUCTION	696@f4016db548afceb31b150547cb6cd48b4cddb77d	CONDITIONAL_EXACT	HHFE field energy	live route	
EDGE.VAUGHAN.NEAR_COLLISION	ARITH.VAUGHAN.HAAR_GRAM; ARITH.VAUGHAN.DIAGONAL; ARITH.VAUGHAN.NEAR_COLLISION	ARITH.VAUGHAN.HHFE	EQUIVALENCE_AFTER_DIAGONAL	702@89f995450977c3590aada0c1447a7e6af7fcd9ac	CONDITIONAL_EXACT	HCNC103100	live route	
EDGE.HHFE.RH	ARITH.VAUGHAN.HHFE	RH	CONDITIONAL_IMPLICATION	696@f4016db548afceb31b150547cb6cd48b4cddb77d	OPEN_SUFFICIENT_FOR_RH	HHFE102010	live route	
EDGE.CVXD.PERRON	ARITH.CV.SCTV103210; ARITH.XD.CPXD103200; ARITH.PERRON.JOINT_MATRIX	RH	HYPEREDGE	697@e878c3717cd8124564e5400b2ec5db035e3a4088;705@027ea8bd5c879a190e9e22620c245a81f7b93b73	OPEN_SUFFICIENT_FOR_RH	both source-faithful arithmetic matrix inputs	minimal conjunctive cut	
EDGE.CONJ.SPARSITY_ENERGY	ARITH.BAD_SET.SPARSITY; ARITH.DERIVATIVE.ENERGY; ARITH.CONJUNCTIVE.SPARSITY_ENERGY	ARITH.FIXED_DETECTOR.SUBPOWER_NEGATIVE_MASS	HYPEREDGE	698@a10d6a40105142de2708632589c458d7534f556a	OPEN_SUFFICIENT_FOR_RH	both arithmetic premises	abstract genuine AND gate	
EDGE.CONJ.REGIONAL_SCHUR	ARITH.REGIONAL.ROW_MASSES; ARITH.REGIONAL.COLUMN_MASSES; ARITH.CONJUNCTIVE.REGIONAL_SCHUR	ARITH.FIXED_DETECTOR.SUBPOWER_NEGATIVE_MASS	HYPEREDGE	698@a10d6a40105142de2708632589c458d7534f556a	OPEN_SUFFICIENT_FOR_RH	native regional marginals and compatible partition	abstract genuine AND gate	
EDGE.MATCHED_TRANSFER	ARITH.QMT101500; ARITH.AMT101500; ARITH.CONJUNCTIVE.MATCHED_TRANSFER	ARITH.FIXED_DETECTOR.SUBPOWER_NEGATIVE_MASS	HYPEREDGE	704@66f755df4321a03874e0da3f61b033300173e364	OPEN_SUFFICIENT_FOR_RH	two matched transferred estimates	carrier-preserving AND gate	
EDGE.ROOT_RETURN	ARITH.SORR104100; ARITH.RFCP104100; ARITH.PERRON.ROOT_EXCESS_ABSORPTION	RH	HYPEREDGE	706@44828a27c63bfc57dce12d67e980db33f4d55c3a	OPEN_SUFFICIENT_FOR_RH	strict root return and root-free packing	scalar Perron quotient	
EDGE.STAIRCASE.CFBB	ARITH.STAIRCASE.SURVIVAL_COBOUNDARY; ARITH.STAIRCASE.COMMON_FILTER; ARITH.STAIRCASE.VECTOR_VAUGHAN; ARITH.STAIRCASE.CFBB	RH	HYPEREDGE	703@0a46dba5c74e573945e3612937606f6ca735a1d3	OPEN_SUFFICIENT_FOR_RH	CFBB102100 arithmetic matrix	carrier-free vector route	
EDGE.BPOE.HHFE	ARITH.PHASE.CARRIER_NORMALIZED_HOMOTOPY; ARITH.CUBIC.GRAM; ARITH.HALF_DIVISOR.SOURCE_SQRT; ARITH.OCCUPANCY.BPOE	ARITH.VAUGHAN.HHFE	HYPEREDGE	707@7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	OPEN_SUFFICIENT_FOR_RH	BPOE103300 physical occupancy	physical occupancy route	
EDGE.BPOE.RH	ARITH.OCCUPANCY.BPOE	RH	CONDITIONAL_IMPLICATION	707@7bf3308d40ac8ed1ba50e404ff6e9c47526d89e4	OPEN_SUFFICIENT_FOR_RH	physical occupancy embedding	highest-priority open route	
