issue	era	issue_label	family	issue_role	materiality	controlling_record	canonical_action	theorem_reachability	review_scope	notes
1	2026-07	finite compact-support Weil witness search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
2	2026-07	finite Robin witness search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
3	2026-07	literature atlas and atomic theorem library	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
5	2026-07	independent Arb Weil enclosure	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
6	2026-07	accelerated cutoff-free Weil search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
7	2026-07	certified off-line zero rectangles	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
8	2026-07	prime-power derivative jumps	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
9	2026-07	historical issue-methodology record	finite_witness_direct_xi	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
10	2026-07	historical issue-methodology record	finite_witness_direct_xi	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
11	2026-07	historical issue-methodology record	finite_witness_direct_xi	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
12	2026-07	historical issue-methodology record	finite_witness_direct_xi	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
13	2026-07	historical issue-methodology record	finite_witness_direct_xi	ADMINISTRATIVE_TEST	METHOD_OR_ADMIN		EXCLUDE	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
14	2026-07	Li coefficient finite search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
15	2026-07	Nicolas finite search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
16	2026-07	bounded-prime-sum criterion	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
17	2026-07	Speiser criterion search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
18	2026-07	de Bruijn–Newman route	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
20	2026-07	independent Robin replay	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
25	2026-07	proof-producing Robin branch-and-bound	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
26	2026-07	carrier-shifted Weil search	finite_witness_direct_xi	ISSUE_ONLY_METHOD_OR_RESEARCH_QUEUE	METHOD_OR_ADMIN		HISTORICAL_METHOD_RECORD; EXCLUDE_FROM_PROVED_REACHABILITY	EXCLUDE_UNLESS_EXACT_PR/CLAIM_OBJECT_EXISTS	issue-body archaeology; no heavy computation rerun	Exact issue number retained. Nonmaterial issue prose is not promoted into a theorem node.
