family_id	display_name	claim_count	strongest_verified_result	first_open_arrow	rh_role	live_or_dead	canonical_destination	notes
brownian_weil	Brownian/Weil/Fredholm	6	Brownian Bohr, Schur-rescue and fixed-degree Fredholm no-go results.	New non-Bohr producer or all-order arithmetic sign.	open nodes: OPEN.WEIL.CORRECTED_ARITHMETIC_FLOOR, OPEN.FREDHOLM.ALL_ORDER_PRIME_SIGN	mixed	research/integrated/operator_no_go/	Verdicts are claim-level; family labels never confer proof status.
c4mbi	C4MBI	1	Four-band identities and finite certificates.	Global one-sided critical boundary.	open nodes: OPEN.ARITH.C4MBI_BOUNDARY	live	research/integrated/c4mbi/	Verdicts are claim-level; family labels never confer proof status.
carry_critical_hinge	Carry critical hinge	3	Finite factor-64 payment, response representation, convexity no-go.	Square-root weighted signed response cancellation.	open nodes: OPEN.ARITH.CARRY_WEIGHTED_RESPONSE	live	research/integrated/carry_hinge/	Verdicts are claim-level; family labels never confer proof status.
conjunctive	Conjunctive APIs	18	Perron, Schur, matched-transfer, root/excess, staircase identities.	Literal native simultaneous premises.	open nodes: OPEN.ARITH.CFBB, OPEN.ARITH.BPOE, OPEN.CONJ.REGIONAL_ROW, OPEN.CONJ.REGIONAL_COLUMN, OPEN.CONJ.QMT, OPEN.CONJ.AMT, OPEN.CONJ.SORR, OPEN.CONJ.RFCP, OPEN.CONJ.PERRON_CV_ROW, OPEN.CONJ.PERRON_XD_ROW	live	research/integrated/conjunctive/	Verdicts are claim-level; family labels never confer proof status.
dickman_bellman	Dickman/Stieltjes/Bellman	3	Mesoscopic hereditary corridor with locked classical inputs.	Dynamic critical finite block.	open nodes: none	live	research/integrated/dickman_bellman/	Verdicts are claim-level; family labels never confer proof status.
direct_main_cauchy_jordan	Direct-main Cauchy/Jordan	3	Local source/scattering/storage/semigroup identities.	CJHI/first-chaos completed domination.	open nodes: DIRECTMAIN.CJ.T91005, OPEN.DIRECTMAIN.CJHI	live	research/integrated/direct_main/cauchy_jordan/	Verdicts are claim-level; family labels never confer proof status.
direct_main_mellin	Direct-main Mellin	4	Fixed-row transform and large-row noncancellation predecessor.	Simultaneous native all-row producer.	open nodes: OPEN.DIRECTMAIN.MELLIN.ALL_ROWS	historical_support	research/integrated/direct_main/mellin/	Verdicts are claim-level; family labels never confer proof status.
direct_main_p79	Direct-main P79	6	Exact split identities and nonduplicating packet budget; false Hall/surplus fenced.	Literal typed source-to-row recurrence.	open nodes: none	historical_support	research/integrated/direct_main/p79/	Verdicts are claim-level; family labels never confer proof status.
direct_main_taylor	Direct-main critical Taylor	6	Supercritical and Taylor-remainder positivity; fixed critical consumer.	Critical negative mass/envelope.	open nodes: OPEN.DIRECTMAIN.TAYLOR_CRITICAL	live	research/integrated/direct_main/taylor/	Verdicts are claim-level; family labels never confer proof status.
factor67_lorenz	Factor-67/Lorenz	1	Corrected local algebra, finite corridors and filters.	GPC67/CPSL67 critical signed boundary.	open nodes: OPEN.ARITH.FACTOR67_GPC_CPSL	live	research/integrated/factor67_lorenz/	Verdicts are claim-level; family labels never confer proof status.
finite_certificates	Finite certificates	2	Robin and finite Pick boxes at exact finite scope.	Cofinal/global theorem.	open nodes: none	finite	research/integrated/finite_certificates/	Verdicts are claim-level; family labels never confer proof status.
heat_hermite	Heat and First-Hermite	6	Uniform-center no-go and unconditional First-Hermite regions.	Fixed-center signed heat / constant-four cancellation.	open nodes: OPEN.HEAT.FIXED_CENTER_PHASE, OPEN.HEAT.HERMITE_CONSTANT_FOUR	live	research/integrated/heat_hermite/	Verdicts are claim-level; family labels never confer proof status.
historical_native_assets	Historical native-source assets	7	Finite Farkas, Y4 repair/null gauge, live marginal, Volterra and conditional integration APIs.	Live source-owned feasibility/producer.	open nodes: none	supporting	research/integrated/native_assets/	Verdicts are claim-level; family labels never confer proof status.
mellin_landau	Mellin–Landau consumers	12	Fixed rows 2,3; fixed 5:3; zero-safe smoothing and negative-mass API.	Literal fixed source-faithful sign or negative mass.	open nodes: OPEN.ARITH.ROWS23_NATIVE, OPEN.ARITH.FIVE_THREE_NEGATIVE_MASS, OPEN.ARITH.FIXED_DETECTOR_NEGATIVE_MASS	live	research/integrated/mellin_landau/	Verdicts are claim-level; family labels never confer proof status.
native_endpoint	Native endpoint	1	Normalization firewalls identify F_Lambda as the actual gap.	Literal arithmetic endpoint gap.	open nodes: OPEN.ARITH.NATIVE_ENDPOINT_GAP	live	research/integrated/native_endpoint/	Verdicts are claim-level; family labels never confer proof status.
owner_vaughan	Owner/Vaughan/half-divisor	6	Mixed coboundary, large-divisor rewrite, half-divisor and Gram diagonal.	Signed near-collision HCNC.	open nodes: OPEN.ARITH.HCNC	live	research/integrated/vaughan_half_divisor/	Verdicts are claim-level; family labels never confer proof status.
q4	Q4	11	Fourier/Haar/Jordan, annular Type-I/II, positive compiler and filter barriers.	SACF/UOSACF signed cancellation.	open nodes: OPEN.Q4.SACF, OPEN.Q4.UOSACF	live	research/integrated/q4/	Verdicts are claim-level; family labels never confer proof status.
review_infrastructure	Review infrastructure	3	Complete frozen review/coverage/direct-main audits.	No proof implication; preserve exact heads.	open nodes: none	infrastructure	integration/2026-08-22/review-locks/	Verdicts are claim-level; family labels never confer proof status.
safe_line_operator	Safe-line transforms	4	Hausdorff/Pick, radial, Catalan/VK and Green-removal local results.	Critical annular/radial sign.	open nodes: OPEN.OPERATOR.RADIAL_CURVATURE	live	research/integrated/safe_line/	Verdicts are claim-level; family labels never confer proof status.
sharp_native	SHARP and native source	9	RN child/cocycle, sequential first owner, m>=2 positivity.	FCHD67 or critical m=1 variation.	open nodes: OPEN.ARITH.FCHD67, OPEN.ARITH.CV	live	research/integrated/sharp_native/	Verdicts are claim-level; family labels never confer proof status.
suzuki_hardy	Suzuki/Hardy	4	Amplitude embedding and conditional first-chaos API.	Coefficient-one fully polarized domination.	open nodes: OPEN.OPERATOR.SUZUKI_FIRST_CHAOS_DOMINATION	live	research/integrated/suzuki_hardy/	Verdicts are claim-level; family labels never confer proof status.
terminal	RH terminal	1	No reviewed-only path reaches RH.	All listed conclusion-facing cuts remain open.	open nodes: RH	terminal	STATUS.md	Verdicts are claim-level; family labels never confer proof status.
wavelet_xd	Minimal wavelet and XD	9	Ratio-eight wavelet, Abel–Mertens frame, same-K1 translation.	Critical signed cross-core dispersion.	open nodes: OPEN.ARITH.XD	live	research/integrated/wavelet_xd/	Verdicts are claim-level; family labels never confer proof status.
xi_pick	Actual-Xi Pick and Loewner	13	Actual-Xi PSD through order three with mandatory fixes.	Order four and all higher packet sizes.	open nodes: OPEN.OPERATOR.XI.PICK_ORDER4_PLUS	live	research/integrated/xi_pick/	Verdicts are claim-level; family labels never confer proof status.
