review_id	programme	source_pr	source_sha	source_path	claim	verdict	proof_reason	required_fix_or_boundary	independent_checks	extraction	inspection_basis
B-001	763	781	83dca1a6b750feeffe9f446656bb01694131d74a	claims/theorems/T-108000-axiom-separation-table.md	T-108000 corpus	HOLD_FULL_CERTIFICATE_CENSUS	A theorem of declared instances is not a universal characterization. Header says 12 worlds; continuation caveat says 13.	Reconcile one exact corpus version and authenticate every claimed witness/import. No universal purity criterion accepted.		riemann-structures/FINITE_CORPUS.md	claim and programme report read; builders not rerun
B-002	763	781	83dca1a6b750feeffe9f446656bb01694131d74a	claims/theorems/T-108002-structure-detector-refusal-semantics.md	T-108002 refusal semantics	ACCEPT_SCOPED_STATEMENT_ONLY	Prefix reconstruction plus held-out tail is genuinely different from full-window reconstruction; degree-two purity includes trace-zero negative-product branch.	No finite prefix certifies an infinite rational series without degree/continuation assumptions. Implementation and entire refusal battery not rerun.		riemann-structures/LOCAL_DETECTOR_CONTRACT.md	claim read; algorithm execution omitted
B-003	763	781	83dca1a6b750feeffe9f446656bb01694131d74a	standalone/2026-08-31-gp-positive-family/PROOF.md	T-108514 GP threshold	ACCEPT_WITH_SUPPLIED_REPAIR	Block spectrum and negative-end Sturm argument survive. Published n=23 upper cutoff exceeds sqrt(8), so it alone does not prove the threshold.	Replace by fresh exact cutoff 7071/2500 < sqrt(8), with exactly one adjacency eigenvalue above it. Preserve n>=5 graph scope.	BCHK23	riemann-structures/GRAPH_THEOREMS.md	proof read/reconstruction
B-004	763	781	83dca1a6b750feeffe9f446656bb01694131d74a	claims/observations/O-108006-graph-purity-telescope.md	Minimal order sixteen	HOLD_EXHAUSTIVE_REPLAY	A minimum over all cubic graphs requires complete graph generation and exclusions, not a few Sturm examples.	Retain as source-reported finite classification until generators and all lower-order cases are authenticated.		riemann-structures/FINITE_CORPUS.md	PR/report and changed-path census; full claim/census not independently replayed
B-005	763	781	83dca1a6b750feeffe9f446656bb01694131d74a	claims/lemmas/L-108520-corridor-forcing.md;claims/lemmas/L-108521-frustration-negative-end.md	Corridor and frustration inequalities	ACCEPT_WITH_SCOPE_FIX	Zero extension of induced ladder modes and the bipartition sign-vector Rayleigh quotient prove the displayed bounds.	State k>=2 for the two-mode proof, hence k>=15 consequence. A trivial -3 eigenvalue in a bipartite cubic graph is not by itself a Ramanujan failure; use nontrivial spectrum.		riemann-structures/GRAPH_THEOREMS.md	proof read/reconstruction
B-006	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	standalone/2026-08-31-segre-defect-bridge/PROOF.md	T-108515 coarse cofactor bridge	ACCEPT_SCOPED_PROOF	Degreewise trace and tensor-power decomposition give K=N times excess determinants; this is additive syzygy Euler data.	Fix K versus cofactor N title/wording and the eight-variable/four-dimensional pd arithmetic typo 9-5. Fine Betti computation is not rerun.	BCHK11	generalized-l-objects/SEGRE_AND_RECURRENCES.md	proof read/reconstruction
B-007	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	standalone/2026-08-31-defect-codimension-law/PROOF.md	T-108510 backward deficit	ACCEPT_SCOPED_PROOF	Laurent expansion at infinity makes the first nonzero backward coefficient determine denominator-minus-numerator degree.	Retain properness and invertibility, normalized actual denominator and specialization dependence; no all-rank fixed deficit without nonvanishing.	BCHK12	generalized-l-objects/SEGRE_AND_RECURRENCES.md	proof read/reconstruction
B-008	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	standalone/2026-08-31-alternant-defect/PROOF.md	T-108522 alternant and multilinear degree	ACCEPT_GENERIC_WITH_SPECIALIZATION_FIX	Partial fractions prove polynomial numerator identities. Generic degree n-max(d) need not persist at every invertible specialization.	A=(2,3,5), B=(1,-1), C=(1) gives N=1+31T^2, denominator degree 6, not predicted numerator degree 3. Keep generic qualifier; stable-layer large symbolic calculations not rerun.	BCHK12	generalized-l-objects/SEGRE_AND_RECURRENCES.md	proof read/reconstruction
B-009	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	standalone/2026-08-31-torsion-resonance-threshold/PROOF.md	T-108513 entry versus persistence	FIX_REQUIRED_COUNTEREXAMPLE	First forced collision at m=2R+1 follows from crowded classes, but blanket persistence/iff contradicts the same note's m=6 exception.	At a=0,R=2,m=6, M=z^2-4 has discriminant 16. Put exceptions in every theorem/summary. m<=27 sieve remains bounded evidence; m>=28 converse open.	BCHK13	generalized-l-objects/TORSION_SCOPE.md	proof read/reconstruction
B-010	764	781	83dca1a6b750feeffe9f446656bb01694131d74a	claims/lemmas/L-108524-multiplicity-transversality.md	L-108524 interior multiplicity	ACCEPT_CONDITIONAL_WITH_REPAIR	Separated clusters with distinct linear slopes contribute mu(mu-1) to discriminant order. Defined associated polynomial is reciprocal to the actual blow-up slope polynomial.	For w=s lambda use sum c_(k,mu-k) lambda^(mu-k), not lambda^k. Nonzero endpoint coefficients and separability preserve theorem after reversal. Seven source cells not rerun; no boundary/even-m extension.	BCHK28	generalized-l-objects/TORSION_SCOPE.md	proof read/reconstruction
