edge_id	from_object	to_object	disposition	reason
D4-E001	literal q and divisor indicator	exact f,m coefficients	VERIFIED_IDENTITY	Closed sieve formula equals finite Euler convolution.
D4-E002	directed primitives and integer arithmetic	P61 finite intervals	VERIFIED_COMPUTATIONAL	All endpoint operations preserve inclusion; producer rerun twice.
D4-E003	P61 integer endpoints	all real x<=10^6	VERIFIED_IMPLICATION	Continuity and affine logarithmic cells.
D4-E004	R21 ramp plus compact mesh and Lipschitz36	global |A-12sqrt-C0|<5	VERIFIED_WITH_INPUT	Explicit analytic and directed compact estimates.
D4-E005	all divisor slabs plus final positive slope	unbounded P61 tail	VERIFIED_COMPUTATIONAL	No terminal horizon truncates the last interval.
D4-E006	finite and unbounded P61 regions	1/42<=F/M<=1/8	SUPPORTED_NEW_CERTIFICATE	Fixed prime set only.
D4-E007	old nearest-double C0 serialization	directed interval inclusion	FALSE	Exact independent interval excludes the saved singleton.
D4-E008	P61 bias	critical rough-prime source sign	NOT_ESTABLISHED	Fixed base positivity does not settle the signed rough completion.
D4-E009	supplied Pick68 rectangles	whole8x8 box PD	VERIFIED_CONDITIONAL	Exact LDL and complete radius.
D4-E010	exact box algebra	actual xi primitive containment	NOT_ESTABLISHED	Special-function primitive backend is separate.
D4-E011	Pick71 exit0/verified true	whole-matrix PD	INVALID_ACCEPTANCE_RULE	Unresolved checks use separate status fields.
D4-E012	bridge finite differences	reflected triangular Haar coefficients	VERIFIED_IDENTITY	No boundary cell omitted.
D4-E013	Chebyshev coefficient energy and Haar Parseval	fine normalized O(logN)	VERIFIED_IMPLICATION	All coarse and constant modes remain.
D4-E014	uniform Lebesgue energy	arbitrary physical-bank energy	CONDITIONAL_ONLY	Requires measure or sampling comparison.
D4-E015	compact continuous K0	Abel-Mertens identity	VERIFIED_IDENTITY	Vanishing endpoint terms.
D4-E016	dyadic critical inverse	subpower source-blind inverse	FALSE	Exact coefficient mass is comparable to sqrtX.
D4-E017	prescribed Hasse divergence	wavelet observation	VERIFIED_CONDITIONAL	No flow existence inferred.
D4-E018	PNT and squarefree short-window count	negative short-sector main	VERIFIED_WITH_CLASSICAL_INPUT	Uniform in number of prime factors for sufficiently large X.
D4-E019	Mertens bound and short main	positive long main	VERIFIED_WITH_CLASSICAL_INPUT	It is the cancellation partner, not disposable slack.
D4-E020	regional absolute norms	critical total estimate	NOT_ESTABLISHED	They destroy the order sqrtX/logX cancellation.
D4-E021	SHARP branch identity and causal67 inverse	wavelet derivative bridge	VERIFIED_IDENTITY	Distributional/a.e. domains explicit.
D4-E022	positive hinge mixture	all inverse coefficients nonnegative	NOT_ESTABLISHED	Response kernel is signed.
D4-E023	exact60/126 inverse reconstructions	generic convex/geometric shortcut refuted	VERIFIED_REFUTATIONS	All finite equations checked.
D4-E024	exact894 dual pullback	indefinite monotonicity induction refuted	VERIFIED_REFUTATION	It does not refute CHS.
D4-E025	factor64 primitive polynomial	reward sign and prefix geometry	VERIFIED_IDENTITY_AND_BOUND	Infinite tail is analytic, not a finite extrapolation.
D4-E026	reward prefixes	signed upward-variation payment	VERIFIED_CONDITIONAL	The actual occupation bound remains a premise.
D4-E027	Gamma product and xi functional equation	Brownian Mellin normalization	VERIFIED_WITH_CLASSICAL_INPUT	Entire continuation after valid integral half-plane.
D4-E028	independent tails and uniform moments	fixed-compact Brownian1/N expansion	VERIFIED_IMPLICATION	Complete Taylor remainder controlled.
D4-E029	fixed-compact expansion	fixed simple-root displacement	VERIFIED_IMPLICATION	No moving-height claim.
D4-E030	Euler/gamma source algebra	safe compensated xi log derivative	VERIFIED_IDENTITY	sigma>1; drift retained.
D4-E031	positive part of source measure	positive elementary K	FALSE	Actual prime2 has negative diagonal.
D4-E032	Wick signed factorization	complete critical positivity	NOT_ESTABLISHED	Two endpoint counterterms and drift remain.
D4-E033	Lean explicit hypothesis terms	conditional RH conclusion	SOURCE_TYPE_AUDIT	No fresh compilation or axiom audit.
D4-E034	conditional Lean theorem	proved arithmetic negative-mass premise	NOT_ESTABLISHED	Premise is not an axiom or established instance.
D4-E035	historical formal release log	fresh exact-tree machine verification	NOT_ESTABLISHED	Runner not executed here.
