source	finding	disposition	evidence
PR574	correct incidence product is H^T K	INDEPENDENTLY REPROVED	PROOF.md Section 5; L-97401 context
PR574	source columns require owner ordering for nonnegative incidence minors	ACCEPTED / INCORPORATED	L-97400 unique owner ledger
PR574	TP2/Cauchy-Binet does not imply global Hall	ACCEPTED / OLD CLAIM WITHDRAWN	R-97400; exact 2x2 countermodel
PR574	odd-history witness remains binding	ACCEPTED / REPRODUCED	L-97400; L-97403; PROOF.md Section 4
PR574	global Hall compensation remains open	ACCEPTED AS LIMITATION	CPSL67
PR575	completed parity owner ledger finite	INDEPENDENTLY REPROVED	L-97400
PR575	terminal ratio Q3/Q2 monotone	ACCEPTED AT NARROW SCOPE	L-97402 firewall
PR575	scalar exactness does not lift to two rows	ACCEPTED / ROUTE KEPT SCALAR	L-97402
PR575	finite scalar Hall is Lorenz LP	INDEPENDENTLY REPROVED	L-97401
PR575	one-parameter dual and separators	INDEPENDENTLY REPROVED	L-97401
PR575	uniform CPSL67 remains open	ACCEPTED AS FIRST UNSUPPORTED ARROW	T-97400
