claim_id	short_statement	mathematical_type	status	rh_relationship	notes
L-104537	bilateral partition variance and horizontal modulus curvature	UNCONDITIONAL THEOREM	PROVED EXACT	ROUTE INFRASTRUCTURE	D(it)=Xi'''^2-Xi''Xi''''; Q_t''(0)=2D(it)
L-104538	stationary horizontal-minimum density transfers alpha_3 to alpha_2	CONDITIONAL IMPLICATION	PROVED EXACT	CONDITIONAL IMPLICATION	alpha_2>=(2q-1)alpha_3; q premise load bearing
L-104539	positive-Fourier weighted finite-shift horizontal defect	UNCONDITIONAL THEOREM	PROVED EXACT	ROUTE INFRASTRUCTURE	complete untruncated source
L-104540	critical-value total-variation conservation	UNCONDITIONAL THEOREM	PROVED EXACT	ROUTE INFRASTRUCTURE	good critical-value amplitude exceeds wrong amplitude
L-104541	amplitude regularity converts weighted majority to count majority	CONDITIONAL IMPLICATION	PROVED EXACT	CONDITIONAL IMPLICATION	alpha_2>=eta alpha_3 if liminf(rho_T-v_T)>=eta
R-104519	real-axis log-convexity need not continue to imaginary stationary points	REFUTATION	VERIFIED	REFUTATION	Z=cosh z+(1/2)cosh 2z gives determinant -1/2 at i pi
SHMIN104580	more than half of real Xi''' zeros are horizontal minima	CONDITIONAL IMPLICATION	UNPROVEN / GAP	DIRECT FIXED-ORDER PRODUCER	strictly weaker than global LAG2XI
CSAMP104580	critical sampling of the positive bulk finite-shift defect	CONDITIONAL IMPLICATION	UNPROVEN / GAP	ROUTE INFRASTRUCTURE	must preserve finite shift and lose less than one half
AMPREG104580	critical-value amplitude bias exceeds coefficient of variation	CONDITIONAL IMPLICATION	UNPROVEN / GAP	DIRECT FIXED-ORDER PRODUCER	first/second critical-value moment target
T-104580	stationary-horizontal-minimum fixed-order frontier	PROPOSED COMPLETE THEOREM	UNPROVEN / GAP	XI''' TO XI''	three alternative terminal routes; no alpha_2 descent yet
RH	Riemann Hypothesis	OPEN PROBLEM	UNPROVEN	RH	no claim of proof
