pr	focus	reviewed_sha	review_verdict	review_report	review_report_commit	cutoff_state	present_state	present_head	head_evidence	dependency_code	conflict_and_next_action	advisory_disposition
44	Optimized carrier basin through c=10^11	48b76491e856b67e6f939b93985b3336815fcbe2	GAP/BLOCKED	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Empirical leading signs only; no frozen complete proof object.	GAP/BLOCKED
48	Derivative-free xi secants/divided differences/Loewner minors	ac4e8e7b36a95dd0bb325bcaf69ab79a10e68b12	VERIFIED	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
49	Independent carrier source audit and exact correction budgets	6fa9b278811eba563305510e58caa3409b8a95f4	VERIFIED WITH FIXES	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
50	Uncertainty-closed witness semantics	be30d6c3b8a6669079d81e165e89da05998275b2	VERIFIED WITH FIXES	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
51	Exact piecewise carrier archimedean/pole corrections	6e51017578544a0cff4f2614b6ed893886ce64e7	VERIFIED WITH FIXES	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	D0	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
52	Barycentric, two-channel, and matched-pole xi localizers	b19d2982d5cdc3c13eaa72a9064f7c994e0c6313	VERIFIED	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Extract the reviewed finite/conditional object at frozen scope.	MERGE CANDIDATE
53	Powered Robin production through 10^100	5ee7df986e6191e57df33b7e0f32a0e22e10497e	GAP/BLOCKED	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	RB	Complete terminal stream missing; hashes/counts do not replay coverage.	GAP/BLOCKED
56	Arb xi passivity producer/checker	940dd9ff4f1a35b9d205165a196bcde6551cfe68	VERIFIED WITH FIXES	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Apply review-listed fixes, then review the repaired object.	FIX THEN MERGE
58	Expanded matched-pole Arb scan	60e97a3b2701f94dede03a7c721741e4e2af5eda	VERIFIED WITH FIXES	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	PR title/body do not match frozen branch content.	FIX THEN MERGE
59	Matched-pole Arb trigger branch	401e843f3c4c1e0021487537a512aab9413cd15f	REJECTED	reports/gpt56-global-01/2026-08-01-pre-public-review-pr44-pr63.md	88617ac916d3df6e61ec5b4726e866743b8fc4a3	OPEN	OPEN (direct connector refresh 2026-08-02)		R_ONLY_PRESENT_HEAD_NOT_INDIVIDUALLY_REFRESHED	XI	Obsolete trigger/integration unit.	REJECT/CLOSE CANDIDATE
