item	required_deliverable	observed	presence	fidelity	verdict	fix_required
C01	A_UPSTREAM_REUSE.tsv	formal/registry/deltas/A_UPSTREAM_REUSE.tsv; 25 rows	PRESENT	Broad and mostly name-faithful; exact paths/blob locks are absent and two missing-result rows are correctly negative.	FORMALLY_VERIFIED_WITH_FIXES	Add exact upstream source paths and machine-checked declaration locks; retain negative Landau findings.
C02	A.tsv	formal/registry/deltas/A.tsv; 4 canonical rows	PRESENT	Statuses are conservative, but SPECIALIZED_LANDAU and SUBPOWER rows point to propositions whose measures/support do not match the reviewed claims.	STATEMENT_TOO_STRONG	Repair both proposition statements before retaining PROVED_CONDITIONAL.
C03	Mathlib RH/zeta bridge	RiemannFormal.Upstream.MathlibBridge	PRESENT	RH alias, zeta analyticity, completed normalizations, functional equations, zero-set finiteness and reciprocal order adapters are present.	FORMALLY_VERIFIED_WITH_FIXES	Restore compatibility declaration zeta23_bridge_preserves_RH or remove every trusted reference to it.
C04	Zeta23 zero and multiplicity bridge	RiemannFormal.Upstream.Zeta23Bridge	PRESENT	Open-strip zero convention, zeroMult, windows, reflection and multiplicity reflection are correctly adapted.	ADAPTER_VERIFIED	Add the analyticOrderAt-to-meromorphicOrderAt bridge needed to call the reciprocal API a multiplicity theorem.
C05	completed-zeta normalization bridge	projectCompletedZeta/projectEntireCompletedZeta and adapters	PRESENT	Entire versus meromorphic normalization and exceptional points 0,1 are kept distinct.	ADAPTER_VERIFIED	None for the stated bridge.
C06	centered-coordinate and reflection adapters	projectCenteredZero_reconstruct; projectReflectedZero_*; Reflection.lean	PRESENT	The sign convention gamma=(rho-1/2)/i and rho=1/2+i gamma is correct. Zeta23 reflection is exact; Mathlib-admissible reflection remains an explicit premise.	ADAPTER_VERIFIED	Optionally prove the admissible-zero adapter from the imported zeta reflection rather than leaving it abstract.
C07	Mellin dilation API	mellin_dilation	PRESENT	Exact for Mathlib's standard Mellin transform integral over (0,infinity) with x^(s-1).	FORMALLY_VERIFIED	Do not reuse it for the reviewed tail transform without an explicit inversion/support adapter.
C08	finite-combination API	hasMellin_linearCombination_two	PARTIAL	Two terms are proved; arbitrary finite combinations are asserted to follow by iteration but no Finset/list theorem is delivered.	FORMALLY_VERIFIED_WITH_FIXES	Either formalize the finite API or label the deliverable two-term only.
C09	compact-kernel transform API	compact_power_kernel_hasMellin	PRESENT	Exact primitive Ioc(0,1) power-kernel transform. It is not the logarithmic-box multiplier K_A of L-99270.	ADAPTER_VERIFIED	Add the source-specific logarithmic-box convolution and K_A nonvanishing theorem.
C10	strip holomorphy	mellin_analyticAt_of_power_bounds	PRESENT	Direct Mathlib adapter with local integrability and both endpoint power bounds explicit.	FORMALLY_VERIFIED	None at generic API scope.
