pr	status	prior_head	reconciled_head	reconciled_title	source	notes
374	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	b0cb5a6360771ff7b890531e10fc03c70c394052	integration: second major review synthesis and live proof map	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
377	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	3f3afb13f0435050e28700ae8d2d924eefd4b410	integration: correct late concurrent delta census for PRs #375 and #376	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
378	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	e1d74d60956329486f94c45e26d105608c973397	breakthrough: fixed safe-Euler resolvent derivatives isolate terminal off-line pairs	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
379	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	589f1c05ccaf248cf08c87fefa7d5ab6d2380708	advance: first-Hermite zero-heat monotonicity is a countable RH criterion	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
380	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	23d93b0555bb70ee39b0d87ff278a062a51651bc	strengthen Brownian refutation: Bohr-hull zeros recur with positive vertical density	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
381	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	8b32a5941a349df16bdce59909ad66741293cb0a	factor-64 advance: 51-state debt collapses to signed upward variation	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
382	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	d5630815f68554649445cbe19989b562dc685bd3	critical-hinge correction: monotonicity and generic convexity fail; weighted response survives	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
384	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	95ed673529fd4ed8ac9308f6ef43e11bda1954c1	advance: prove broad-kernel and fixed-resolution first-Hermite positivity	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
385	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	ea2d7c26c1fd3a58c3e31609cb2411ea0c0fd20a	advance: first-Hermite positivity reaches the universal 4 log-log frontier	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
387	EXACT_CURRENT_HEAD_RECOVERED	UNRESOLVED_OR_NOT_APPLICABLE	388ba7feb9927025d46a70963389ec45c9ead2ac	Fredholm correction: every fixed nonlinear degree is high-carrier blind	GitHub current PR metadata read-back	Exact current head/title read back from GitHub in Reviewer C pass two. No heavy campaign was rerun. Verdict is scoped to exact PR metadata, controlling reviews/refutations, and retained lightweight algebra; RH remains unproved.
