pr	reviewed_sha	claim	mathematical_type	local_verdict	end_to_end_effect	first_broken_arrow_or_scope	notes
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	R-92910	REFUTATION / FIREWALL	VERIFIED	SURVIVES	-	Correctly retires recursive full-capacity and port shortcuts.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	L-92910	UNCONDITIONAL COMPACT THEOREM	VERIFIED WITH DEPENDENCIES	CONDITIONAL INPUT	-	Finite reduction coherent; directed campaign not rerun.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	L-92911	PROPOSED PRODUCER THEOREM	FALSE	BLOCKS PROPOSAL	YES	X=10^12,k=3 activation lies inside a retained unit cell; source support and exact target cannot both be preserved.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	L-92912	PROPOSED ALL-COLUMN THEOREM	UNPROVEN / GAP	BLOCKED	DOWNSTREAM	Derivative proof omits source-activation jump terms.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	L-92913	CONDITIONAL NATIVE-COST LEMMA	VERIFIED CONDITIONALLY	BLOCKED	DOWNSTREAM	54983<55000 exact; no feasible row to price.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	L-92914	UNCONDITIONAL ASYMPTOTIC	VERIFIED WITH DEPENDENCIES	SURVIVES	-	Prime-square constant and moat survive independently of producer.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	T-92910	CONDITIONAL IMPLICATION	VERIFIED CONDITIONALLY	NOT REACHED	DOWNSTREAM	Formal finite-dual/Mellin/Landau consumer.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	T-92911	PROPOSED COMPLETE THEOREM	FALSE AS COMPOSITION	REQUEST CHANGES	L-92911	RH unproved.
518	3277b831b30f4783ed3b087df57e95b9f7dfd7b0	X-92910	REGRESSION	EMPIRICAL ONLY	NO REPAIR	-	Does not instantiate source-support activation inside a nominal cell.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	R-94020	REFUTATION	VERIFIED	SURVIVES	-	Finite/SHARP witness and negative q=2 child coordinate exact.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94020	UNCONDITIONAL SOURCE THEOREM	VERIFIED WITH SCOPE FIX	SURVIVES	-	Genuine source/path/owner registry; not physical feasibility.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94021	UNCONDITIONAL OUTER-FIBRE THEOREM	VERIFIED	SURVIVES	-	Independent 66-cell two-channel certificate.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94022 beta/gamma	ROUTE INFRASTRUCTURE	VERIFIED	SURVIVES	-	Exact normalized causal parent allocation.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94022 AVLT positivity	PROPOSED PRODUCER INPUT	UNPROVEN / EXCLUDED	NOT CREDITED	PR508 interval input	Invalid PR #508 interval certificate not imported.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94023	ROUTE INFRASTRUCTURE	VERIFIED WITH FIXES	OPEN GATE	JNTLC	Finite problem schema; feasibility and template completeness open.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	M-94020	OPEN PRODUCER SPECIFICATION	VERIFIED AS OPEN	OPEN	JNTLC	Correctly keeps joint native coupling open.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	L-94024	CONDITIONAL IMPLICATION	CONDITIONAL ONLY	NOT REACHED	JNTLC + excluded inputs	Correct q/4q order if antecedents hold.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	T-94020	FRONTIER THEOREM	VERIFIED WITH SCOPE FIX	RH UNPROVEN	JNTLC	Open boundary honest; PR508 certificate not credited.
521	b4a60a54b1d730a73ab1eb6bb571485dd40438d0	X-94020	EXACT FINITE REPLAY	VERIFIED AT REGISTRY SCOPE	NO CLOSURE	-	Deterministic source/owner files and local checks; not JNTLC.
